abil_skill_acidburstclose_name	酸液爆发
deathtip_physical_shield	装备<color=yellow>盾</color>是<color=#40b843>减少受到的物理伤害</color>的一种很好的方式，甚至能降低受到的技能伤害。
deathtip_rangedweapon	你<color=red>没有远程武器</color>！不管是什么职业，在快捷栏设置至少一个远程武器是<color=#40b843>很重要的</color>。
deathtip_recovery_flask	<color=#40b843>治疗药瓶</color>是非常关键的资源。使用它<color=yellow>并不消耗回合数</color>，如果遇到棘手的情况，请记得喝下它。
deathtip_recovery_header	治疗和恢复小贴士
deathtip_recovery_nofood	当你<color=red>饱腹</color>并无法再吃东西时，你依然可以<color=#40b843>使用药水</color>。你最好在物品栏里备上<color=yellow>至少一瓶</color>。
deathtip_recovery_withfood	当你生命值降低时，记得使用<color=#40b843>食物</color>或者<color=#40b843>药水</color>！你需要准备<color=yellow>至少一种</color>恢复道具。
deathtip_turns_toofast	你之前几个回合进行的<color=yellow>非常快</color>。请记住<color=#40b843>纷乱深渊</color>是一个<color=#40b843>回合制游戏</color>：可以尽情花时间考虑下一步怎么做。并且，确保在战斗中<color=red>关注生命值</color>。它可能迅速下降！
default_hero_name_0	美玲
default_hero_name_1	吉莉安
default_hero_name_10	洁德
default_hero_name_11	卡琳
default_hero_name_12	玻琳
default_hero_name_13	阿莎
default_hero_name_14	艾莉森
default_hero_name_15	凯瑟琳
default_hero_name_16	基拉
default_hero_name_17	杰蒂佳
default_hero_name_18	凯特
default_hero_name_19	海伦
default_hero_name_2	琴纳
default_hero_name_20	蒂娜
default_hero_name_21	娜乌西卡
default_hero_name_22	劳拉
default_hero_name_23	安雅
default_hero_name_24	小霞
default_hero_name_25	莉莉
default_hero_name_26	埃莉萨
default_hero_name_27	元子
default_hero_name_28	纳迪亚
default_hero_name_29	罗丝
default_hero_name_3	艾米
default_hero_name_30	阿莉娅
default_hero_name_31	罗娅
default_hero_name_32	贝莉
default_hero_name_33	阿莉耶尔
default_hero_name_34	凯塔
default_hero_name_35	莱妮
default_hero_name_36	泰拉
default_hero_name_37	霍莉
default_hero_name_38	朱莉
default_hero_name_39	米兰达
default_hero_name_4	瓦莱丽
default_hero_name_40	达丝莎
default_hero_name_41	梅格
default_hero_name_42	艾莉雅
default_hero_name_43	塞拉瑞亚
default_hero_name_44	萨米
default_hero_name_45	亚莉克莎
default_hero_name_46	塞瑞
default_hero_name_47	珍
default_hero_name_48	凯妮丝
default_hero_name_49	乔
default_hero_name_5	凯伦
default_hero_name_50	塞琳娜
default_hero_name_6	埃莉诺
default_hero_name_7	埃米莉
default_hero_name_8	凯思琳
default_hero_name_9	莎拉
deposit_slider_query	你有#cy#^tag1^#ec#金。\n你想存多少？手续费是200金。
des_obj_anchorvine_dname	飘荡藤蔓
des_obj_barrel_dname	爆炸桶
des_obj_bookshelf_dname	书架
des_obj_breathepillar_dname	净化
des_obj_broken_assembler_dname	停用的装配
des_obj_broken_medicbot_dname	停用的医疗机器人
des_obj_campfire_dname	营火
des_obj_cherrytree_dname	樱桃树
des_obj_coins_dname	硬币
des_obj_crate_dname	板条箱
des_obj_cratestack_dname	包装箱
des_obj_creepingdeath_dname	致命蔓延
des_obj_dangersquare_dname	危险区域
des_obj_electile_dname	导线
des_obj_electrictile_dname	静电能
des_obj_enemybomb_dname	敌方炸弹
des_obj_fireclaw_dname	史莱姆火焰
des_obj_flameslash_dname	火焰
des_obj_frozenflameshard_dname	火碎片
des_obj_giantchest_dname	巨型宝箱
des_obj_groundicetile_dname	极冻之地
des_obj_icetrap_dname	寒冰陷阱
des_obj_itemaltar_dname	神秘祭坛
des_obj_jobtrial_crystal_dname	实验水晶
des_obj_journalpage_dname	日记页
des_obj_largemetalchest_dname	大型金属宝箱
des_obj_largewoodenchest_dname	大型木制宝箱
des_obj_largewoodencrate_dname	大型木制箱
des_obj_lavatile_dname	岩浆
des_obj_mediumwoodencrate_dname	中型木制箱
des_obj_minisuperchest_dname	精致宝箱
des_obj_monsterspawner_dname	潘多拉之盒
des_obj_mossthorns_dname	凋零荆棘
des_obj_mudtile_dname	泥浆
des_obj_oriore_dname	奥利哈宝珠
des_obj_ornatechest_dname	华丽宝箱
des_obj_pathrock_dname	碎裂岩石
des_obj_phoenixwing_dname	重生区域
des_obj_plank_dname	板子
des_obj_playericeblock_dname	冰块
des_obj_playersquare_dname	玩家区域
des_obj_playertpsquare_dname	传送目的地
des_obj_pot1_dname	粘土罐
des_obj_pot2_dname	粘土锅
des_obj_regenfountain_dname	魔法之泉
des_obj_regenquestobject_dname	再生水晶
des_obj_shelves_dname	货架
des_obj_shinymetalchest_dname	耀眼金属宝箱
des_obj_shinymetalorb_dname	耀眼金属宝珠
des_obj_shrapnelbomb_dname	盗贼炸弹
des_obj_sleeptrap_dname	昏迷陷阱
des_obj_sludge_dname	污泥
des_obj_smallmetalchest_dname	小型金属宝箱
des_obj_smallwoodenchest_dname	小型木制宝箱
des_obj_smallwoodencrate_dname	小型木制箱
des_obj_ss_evokefire_dname	具现化熔火
des_obj_ss_evokeice_dname	具现化冰霜
des_obj_superchest_dname	奢侈的宝箱
des_obj_techcube_dname	神秘魔方
des_obj_testtubes_dname	测试管道
des_obj_townkitchen_dname	南多的厨房
des_obj_treasuresparkle_dname	闪光宝藏
des_obj_unbreakablefrozen_1_dname	永固冰
des_obj_voidtile_dname	致命虚空
des_obj_woodtable_dname	木制桌子
des_powerup_discipline_permanent_dname	纪律强化球
des_powerup_guile_permanent_dname	狡黠强化球
des_powerup_spirit_permanent_dname	精神强化球
des_powerup_strength_permanent_dname	力量强化球
des_powerup_swiftness_permanent_dname	迅捷强化球
des_quest_magical_herb2_dname	超级魔法药剂
des_quest_magical_herb_dname	魔法药剂
desc_battle_power	攻击造成的基础伤害，许多技能也基于这个属性。
desc_block_chance	你格挡即将到来的攻击的几率。格挡通常需要一块盾。
desc_boost_alldamage	增加所有攻击，效果和技能的伤害。此效果与单一的元素伤害加成叠加。
desc_boost_alldefense	你对所有伤害的抗性，不论伤害类型和来源。此效果与单一的元素抗性叠加。
desc_champs_killed	#heroname#击杀的精英怪数量。
desc_chargetime	每回合产生的额外充能。当到达100时，可以额外行动一回合，此回合内怪物不会移动。
desc_crit_damage	当你使出暴击时，可以造成的额外伤害。
desc_critical_chance	使用普通攻击时造成额外伤害的机会。根据武器不同，暴击可能还有额外加成。
desc_days_passed	从战役开始到现在经过的游戏内天数。溪石营地果园内的树木和大多数商店的商品会随游戏内天数的增加而更新。
desc_defeated_actor	<color=#0cffe6>^tag1^</color>使用<color=yellow>^tag2^</color>，把你<color=red>打败了</color>
desc_die_adventuremode	你失去了意识。这次倒下，你将失去<color=yellow>^tag1^</color>枚金币，并且会损失掉一部分职业点（<color=#40b843>尚未使用的职业点数一半</color>）和经验值（<color=#0cffe6>相当于升到下一级所需经验值的一半</color>）。
desc_died_championsdefeated	击败精英怪：<color=yellow>^tag1^</color>
desc_died_check_log	别忘记看看你在探险结束时的<color=yellow>战斗记录</color>！
desc_died_hardcore	<color=yellow>^tag1^</color>在纷乱深渊中消失了，再也没人听闻。你的旅程已被<color=red>遗忘</color>。
desc_died_heroic	<color=yellow>^tag1^</color>在纷乱深渊中失败了，但也许你的记忆可以得到传承。
desc_died_highestfloor	最高到达楼层：<color=yellow>^tag1^</color>
desc_died_joblevel	你的职业与等级：<color=yellow>^tag1^</color>，等级<color=yellow>^tag2^</color>
desc_died_monstersdefeated	消灭怪物：<color=yellow>^tag1^</color>
desc_died_numhealingitems	你被打败的时候，背包中还有<color=red>^tag1^</color>个治疗品。
desc_died_stepstaken	行走步数：<color=yellow>^tag1^</color>
desc_dodge_chance	你闪躲即将到来的攻击的几率，闪躲不受任何伤害。
desc_dreamitem	离开道具之梦后消失
desc_dualwield_penalty	双持惩罚
desc_element_fire	你的火#elementicon#协调性，影响了你对火属性伤害的抗性和可造成的额外伤害。\n火#elementicon#伤害一般由技能或附魔武器造成。
desc_element_lightning	你的电#elementicon#协调性，影响了你对电属性伤害的抗性和可造成的额外伤害。电#elementicon#伤害一般由技能或附魔武器造成。
desc_element_physical	你将能够造成更多的物理#elementicon#伤害，并且对物理伤害拥有更高的抗性。物理#elementicon#伤害一般由武器和怪物的爪牙造成。
desc_element_poison	你的毒#elementicon#协调性，影响了你对毒属性伤害的抗性和可造成的额外伤害。\n毒#elementicon#伤害一般由技能或附魔武器造成。
desc_element_shadow	你和暗影#elementicon#的亲和度，决定了你能造成的暗影伤害和对暗影伤害的抗性。技能和附过魔的武器可以造成暗影#elementicon#伤害。
desc_element_water	你的水#elementicon#协调性，影响了你对水属性伤害的抗性和可造成的额外伤害。水#elementicon#伤害一般由技能或附魔武器造成。
desc_energy	大多数元素攻击和魔法技能都需要能量。可以由食物，药剂和战斗中产生的强化道具恢复。
desc_favorite_job	#heroname#最喜欢的职业。
desc_grants_skill	授予能力：^tag1^
desc_health	战斗中你可以承受的伤害总量。一旦归零，你的冒险就会终结。
desc_health_ironman	战斗中你可以承受的伤害总量。一旦归零，你的冒险和任务都会终结。
desc_health_softcore	战斗中你可以承受的伤害总量。一旦归零，你会陷入无意识状态，随后被送回溪石营地。
desc_highest_floor	#heroname#在纷乱深渊中能到达的最高层。
desc_highest_floor_ever	当前战役中冒险者们达到的最深层。
desc_inherit_weapelement	使用武器的元素。
desc_knockout_actor	你被<color=yellow>^tag2^</color>的<color=#0cffe6>^tag1^</color><color=red>击倒了</color>
desc_monsters_killed	#heroname#击杀的怪物数量。
desc_pandora_boxes	#heroname#开启的潘多拉魔盒的数量。每开启一个魔盒，能获得的宝物的品质略微提高，同时提高所有怪物的强度。
desc_parry	你使用武器使近战攻击偏移，自己不受任何伤害的几率。此几率在对抗<color=#0cffe6>远程</color>攻击时<color=yellow>减半</color>。
desc_playtime	当前战役的游戏时间。
desc_powerup_drop	怪物掉落强化道具的基础几率。怪物越弱，几率越低。强化道具立刻恢复能量或体力。
desc_simple_upperyes	是！
desc_single_upperno	否！
desc_snackbag	查看你所有的<color=#40b843>治疗食物</color>和<color=#0cffe6>药剂</color>。
desc_spirit_power	许多技能和效果状态造成的基础伤害。
desc_stamina	大多数物理攻击和基于移动的技能都需要体力。可以由食物，药剂和战斗中产生的强化道具恢复。
desc_steps_taken	#heroname#冒险中移动过的步数。
desc_total_characters	当前战役创建过的角色数。
desc_unarmed_attack1	第二拳
desc_unarmed_attack2	附加踢
desc_weaponproperty_2handed	双手
desc_weaponproperty_projectile	弹射
desc_weaponproperty_range	远程
description_escapeportal	使用后开始传送回镇上（消耗#cy#^tag2^#ec#回合）。你将回到你离开的地方！\n再次使用可取消传送。\n原地等待并不能让回合流逝，请试试四处走走或左键双击自己。
description_experience	你向下一等级迈进的进度，升级可以提升你的状态，攻击和防御，同时也能将生命、体力和能量恢复至全满。
description_healingflask	在#cy#^tag3^#ec#回合内恢复#cg#^tag2^#ec#点生命值。找到魔法喷泉可以补充它的使用次数。
description_map	显示当前层的小地图。
description_warptoentrance	回到这个特别区域的入口。
dialog_adjust_quantity_main_btn_0	确定
dialog_adjust_quantity_main_btn_1	取消
dialog_adjust_quantity_main_txt	你想要多少<color=yellow>^tag1^</color>来<color=#0cffe6>^tag2^</color>呢？
dialog_alderwyn_part_1_main_txt	<size=50>不安的和平</size>\n我花了好几个月的时间，总算是成功取得了那个古怪的<color=yellow>污喙伯爵</color>的信任。我现在可以安全地通过<color=yellow>强盗据点</color>，然后去看看前方究竟是什么。\n我所有的选择很快就会被证实是正确的，我的牺牲是值得的。我不能被这些事继续影响下去。\n放心吧，等我回来，这些盗匪会迎来他们的<color=yellow>报应</color>……\n<color=#0cffe6>——奥尔德文</color>
dialog_alderwyn_part_2_main_txt	<size=50>事实与数字</size>\n我的计划进行的比想象中慢，然而我还是在努力成为<color=yellow>污喙公爵</color>最信赖的军需官。\n他是个容易取悦的老板，因为所有的库存记录，他一条都读不懂。只要朝一堆东西指一指并且在羊皮纸用闪亮的红笔圈一圈就能满足他的好奇心了。顺理成章的……我现在很有钱。我没法忍住不偷这个傻瓜的东西。\n<color=#0cffe6>——奥尔德文</color>
dialog_alderwyn_part_3_main_txt	<size=50>大计划</size>\n终于，<color=yellow>污喙公爵</color>就要被我的机智打败了！\n他视我为密友，并且邀请我参加他收获最丰富的掠夺。今晚，他问我要不要陪他去总部并与他并肩作战，击溃最近给他添麻烦的一些新入侵者。\n他似乎有了一个很棒的新武器，是<color=red>“头目女士”</color>给他的，而他也将在这次战斗中使用。在混战中，我打算利用这个武器来击倒污喙公爵，这个入侵者，以及任何想妨碍我的人！\n<color=#0cffe6>——奥尔德文</color>
dialog_archermerchant_dungeon_intro_txt	<color=yellow>拉多：</color>难道你不知道你可以<color=yellow>用弓来射箭吗</color>？！你为什么不买一把来自己试试看呢？
dialog_armor_walking_1_main_txt	<size=50>奇怪的盔甲之一</size>\n今天我在洞穴的废墟中翻找时有了个意外发现：一堆破旧的，千疮百孔的盔甲，看起来像是经历过很多场战争。我花了一天的时间把它挖了出来，不得不说，它一点也不像城镇里那些人卖的那种护甲。\n它里面那可怜的灵魂呢？只有金属和一堆我完全不懂的闪闪发光的东西。我想我要是把那些东西掏出来,说不定我能穿进去。但它是从哪来的呢？\n我想我明天还得接着挖。\n<color=#0cffe6>——泽弗·阿斯兰</color>
dialog_armor_walking_2_main_txt	<size=50>奇怪的盔甲之二</size>\n我想我发现这套奇怪的盔甲是哪里来的了。在我清掉洞穴入口的废墟后，我找到了一条路，通往一座有扇窗户，却没有门的金属建筑。\n我偷偷往里面看，结果看到了好多好多套盔甲在自己行走！不骗你，我用最快的速度跑回了营地。但这事始终萦绕在我的心头。它们在那里多久了，又在做什么事呢？\n我很害怕，但我必须回去。不知道有没有方法可以让它们放我进去。\n<color=#0cffe6>——泽弗·阿斯兰</color>
dialog_armor_walking_3_main_txt	<size=50>奇怪的盔甲之三</size>\n我骗过了它们！我一将自己塞进那套我找到的老旧盔甲里，一道门便打开了。即便我的盔甲看起来很破烂，那些行走的盔甲似乎还是把我当作他们的同类。\n就我看来，这些“金属人”非常独立，并且只在必要时跟其它盔甲沟通。我只是做着我自己的事，所以它们完全没在注意我。\n但我还是很想知道为什么它们如此的有条理。到底谁在领导它们？\n<color=#0cffe6>——泽弗·阿斯兰</color>
dialog_armor_walking_4_main_txt	<size=50>奇怪的盔甲之四</size>\n我把一切搞砸了！我本来好好的跟这些金属人混在一块，然而我却忍不住打了一个喷嚏。我一打完，它们便开始朝着我发出奇怪的声音。\n我不知道该说什么，于是它们把我抬起来然后丢进了某种垃圾槽。我好不容易才逃了出来！\n为了逃跑我只好将那套盔甲留在垃圾堆里，但我会说这是个好事。让别人去弄清楚那堆金属人好了。\n<color=#0cffe6>——泽弗·阿斯兰</color>
dialog_armormaster_chat_describe_masteries_btn_0	学习<color=yellow>轻甲精通</color>
dialog_armormaster_chat_describe_masteries_btn_1	学习<color=#0cffe6>中甲精通</color>
dialog_armormaster_chat_describe_masteries_btn_2	学习<color=#ffc80a>重甲精通</color>
dialog_armormaster_chat_describe_masteries_txt	<color=yellow>乔瑞驼</color>：<color=yellow>轻甲精通</color>，移动类技能的冷却时间减少一回合。\n<color=#0cffe6>中甲精通</color>，基于你的<color=#40b843>迅捷</color>提升你闪避攻击的几率，最高提高至10%。\n<color=#ffc80a>重甲精通</color>，受到的元素伤害降低，技能每升一级减少1点。
dialog_armormaster_chat_explain1_btn_0	是的，我需要保护自己。
dialog_armormaster_chat_explain1_txt	<color=yellow>乔瑞驼</color>：没错，<color=red>魔灵</color>是一个严酷的挑战，在与它们决斗的过程我了解了许多<color=yellow>精通之道</color>。\n你的眼神告诉我，你正在<color=yellow>寻求这些技巧</color>来助你的旅程一臂之力，是吧？
dialog_armormaster_chat_explain2_btn_1	我会回来的！
dialog_armormaster_chat_explain2_txt	<color=yellow>乔瑞驼</color>：我很高兴你知道<color=#40b843>保护自己</color>，因为这正是你能够从<color=yellow>护甲之道</color>上学习到的。\n如果你能到达<color=yellow>这巢穴的顶端</color>并打败等待你的魔灵，我会告诉你更多。
dialog_armormaster_chat_intro2_txt	<color=yellow>乔瑞驼</color>：当你打败巢穴顶端的<color=red>魔灵</color>后，回来找我，我会传授你<color=yellow>护甲精通之道</color>。
dialog_armormaster_chat_intro3_txt	<color=yellow>乔瑞驼</color>：我感觉到你已经完全准备好了，就像我所期望的那样。\n你已经准备好接受有关<color=yellow>护甲精通</color>的知识，你只要装备特定类型的护甲就能够拥有这些<color=yellow>被动</color>技能。\n目前我只能教你<color=yellow>一个技能</color>。在我介绍这些技能时记住这点。
dialog_armormaster_chat_intro4_btn_1	谢谢。
dialog_armormaster_chat_intro4_txt	<color=yellow>乔瑞驼</color>：我教你的技能或许能够帮助你，但只有你自己的力量和决心才能让你达成你的目标。\n愿你能找到你所追寻之物，#heroname#。
dialog_armormaster_chat_intro_btn_0	你要在这里训练吗？
dialog_armormaster_chat_intro_txt	<color=yellow>乔瑞驼</color>：向你致敬，勇敢的战士。\n这里是很多古老野蛮的<color=red>魔灵</color>之家。没有比这里更适合培养<color=yellow>肉体</color>和<color=#0cffe6>原能</color>之间联系的地方了。
dialog_armormerchant_dungeon_intro_txt	<color=yellow>阿曼多：</color>要买点防具吗？
dialog_banker_town_ask_expand_storage_btn_0	不用了，谢谢
dialog_banker_town_ask_expand_storage_btn_1	好，扩容吧
dialog_banker_town_ask_expand_storage_btn_2	还有别的事……
dialog_banker_town_ask_expand_storage_txt	<color=yellow>猩顿三世：</color>我很荣幸把您的道具储存空间从<color=yellow>^tag1^</color>个增加到<color=yellow>^tag2^</color>个。\n升级需要象征性收取<color=yellow>^tag3^个金币</color>。当然，<color=#40b843>作为溪石营地最好的银行</color>我们的安保措施物超所值，您觉得呢？
dialog_banker_town_bankerinfo_txt	<color=yellow>猩顿三世：</color>我最多能为您储存<color=yellow>^tag1^个道具</color>，以及您的所有<color=yellow>金币</color>。\n存放道具是<color=yellow>有偿的</color>，但<color=yellow>取回是免费的</color>。\n您的财物在我这里保证<color=yellow>安然无恙</color>，即使<color=yellow>您</color>放弃了它们。如果这种不幸又不可能的事情真的出现了，那<color=yellow>未来的冒险者将得到您慷慨的馈赠</color>。那些你不再适用的<color=yellow>强力武器和护甲</color>，为何不存放在这儿呢？\n
dialog_banker_town_bullion_btn_0	再多告诉我一些……
dialog_banker_town_bullion_btn_6	再见
dialog_banker_town_bullion_list_info_btn_0	我同意！
dialog_banker_town_bullion_list_info_txt	<color=yellow>猩顿三世：</color>我看看……我最多会用您<color=yellow>金币</color>的<color=yellow>^tag1^</color>。如果您的存款不足，请在给我<color=yellow>金条</color><color=yellow>前</color>补齐。\n该项投资将耗时<color=#40b843>^tag2^天</color>。到期之后，您将获得一份<color=#0cffe6>^tag3^%</color>的利息作为投资所得。利息的多少取决于您投入<color=yellow>^tag4^金币</color>！您觉得呢，我的朋友？\n
dialog_banker_town_bullion_nointro_btn_0	如数交给我！
dialog_banker_town_bullion_txt	<color=yellow>猩顿三世：</color>啊！那是<color=yellow>金条</color>吗？如果你能给我的话，我会尽最大努力给你提供<color=yellow>最好的回报</color>。\n对此<color=#40b843>我有绝对信心</color>能取得令人满意的收获。
dialog_banker_town_bullioninfo_btn_1	我会考虑一下
dialog_banker_town_bullioninfo_txt	<color=yellow>猩顿三世：</color>这很简单。使用<color=yellow>金条</color>作为原始资本，我会把<color=yellow>你的部分存款</color>用作短期投资。在此期间，你<color=red>不能取出</color>这部分存款。\n一旦我的投资有了回报，我会把<color=yellow>你投资的那部分钱</color>，以及<color=#40b843>额外利息</color>一起还给你。我保证这对我们来说绝对是双赢的。\n
dialog_banker_town_intro_btn_0	存放道具
dialog_banker_town_intro_btn_1	取回道具
dialog_banker_town_intro_btn_2	扩容
dialog_banker_town_intro_btn_3	存钱
dialog_banker_town_intro_btn_4	取钱
dialog_banker_town_intro_btn_5	你认识一个叫萨拉的人吗？
dialog_banker_town_intro_btn_6	为什么我要干这个？
dialog_banker_town_intro_txt	<color=yellow>猩顿三世：</color>欢迎来到我的<color=yellow>银行！</color>只要您根据市场行情支付我一笔合理的费用，我就能保证你的财物周全。这笔交易对我们都有好处啊，不是吗？
dialog_banker_town_shara_convo1_txt	<color=yellow>猩顿三世：</color>唔，我恐怕<color=red>不认识这号人物</color>。\n现在最有可能的情况是她和我做了一笔生意上的交易，并且在这笔交易中她可能用了另一个名字，或许是为了保证财产的<color=yellow>私密性</color>。\n我并不赞赏这种行为，因为这是对这个机构诚信的质疑！
dialog_banker_town_shara_convo2_btn_0	不要担心，我知道你是一只诚实的猴子。
dialog_banker_town_shara_convo2_txt	<color=yellow>猩顿三世：</color>不管如何，我都会<color=yellow>尽职调查</color>人员登记名单中是否有她的名字。如果我有所发现的话，我会尽快通知你的。
dialog_beatboss2_intro_txt	呼……<color=yellow>污喙公爵</color>使用的那个设备……看起来和梦境仪的原理差不多，不过似乎更加危险。\n我不能让他拥有那个仪器。天知道他会对溪石造成什么伤害呢？\n我必须找到他以及他一直提到的<color=yellow>头目女士</color>。
dialog_bigmode_main_txt	<size=50>变大模式！</size>每只怪物现在都<color=yellow>非常巨大</color>！
dialog_blessingofmastery	精通祝福
dialog_blessingofpower	力量祝福
dialog_blessingofprotection	防护祝福
dialog_blessingofwisdom	智慧祝福
dialog_bombmerchant_dungeon_intro_txt	<color=yellow>贝拉克：</color>既然你可以朝敌人<color=yellow>投掷我卖给你的东西</color>，你又为什么要使用剑和弓来战斗呢？\n小心点，我们可不希望这些东西伤到你了。呼！那样的话就太糟糕了。
dialog_buypetinsurance	购买宠物保险
dialog_callout_grove_frog_text	怎么这么吵？#cy#溪石营地#ec#似乎出事了，#cc#怪物栅栏#ec#那边传来了嘈杂声……\n\n我最好去查看下是什么情况！\n\n
dialog_campfire_cooker_branch2_txt	<color=yellow>罗佳</color>：恐怕我已经把我所有会做的菜都教给你了……\n我真心希望你能喜欢它们！
dialog_campfire_cooker_learnarecipe_txt	<color=yellow>罗佳</color>：这就是我最喜欢的啦！
dialog_campfire_cooker_main_btn_0	当然了！
dialog_campfire_cooker_main_btn_1	不用了，我讨厌食物
dialog_campfire_cooker_main_txt	<color=yellow>罗佳</color>：噢噢噢！一名旅行者啊。我已经很长时间没有见过<color=yellow>像你一样</color>的人啦。\n我是<color=#0cffe6>罗佳恩塞尔</color>，谦逊的流浪厨师。\n你想知道我最棒的两个食谱是什么吗？
dialog_campfire_cooker_nothing_txt	<color=yellow>罗佳</color>：呃……我觉得你应该比我更了解烹饪吧！我已经<color=red>没东西可以教你</color>了。
dialog_campfire_robbed2_intro_txt	好奇怪，我想知道他去哪儿了……？而且为什么我的背包比之前轻了许多？\n\n……等等，我的钱少了一些！
dialog_campfire_robbed_intro_txt	<color=yellow>鱼头人</color>：呵呵呵……<color=yellow>瞧瞧那个乡巴佬</color>。睡得跟个孩子一样！\n让我看看……你肯定不会错过这个的……
dialog_campfirethief_branch2_txt	<color=yellow>鱼头人</color>：这个提议不错吧？先让我来<color=yellow>站第一班岗</color>吧。\n你在<color=yellow>火堆旁睡一会</color>。
dialog_campfirethief_branch3_txt	<color=yellow>鱼头人</color>：睡得可好啊？看来我们是时候<color=yellow>分道扬镳</color>啦。\n哦，你可以拿一些我昨晚烹制的<color=yellow>剩菜</color>走。
dialog_campfirethief_branch4_txt	<color=yellow>鱼头人</color>：注意安全呀。
dialog_campfirethief_intro_btn_0	好吧，成交
dialog_campfirethief_intro_btn_1	我不需要睡觉
dialog_campfirethief_intro_txt	<color=yellow>鱼头人</color>：嘿，你自己一个人旅行是很危险的，特别是在这种地方。\n而且，我说啊，你看上去很疲惫啊……\n如果你愿意和我轮流<color=yellow>站岗</color>的话，我可以让你在这里睡觉。
dialog_captiveairacudas_intro_txt	<color=yellow>捕获的艾拉库达斯：</color>*无助地乱撞*\n
dialog_captivecavestalker_intro_txt	<color=yellow>捕获的洞穴跟踪者：</color>\n*嗒嗒声*
dialog_captivefungaltoad_inquire2_btn_0	呱呱。
dialog_captivefungaltoad_inquire2_txt	<color=yellow>捕获的菌子蟾蜍：</color>……呱。
dialog_captivefungaltoad_inquire_btn_0	呱呱！！
dialog_captivefungaltoad_inquire_txt	<color=yellow>捕获的菌子蟾蜍：</color>呱呱呱？！
dialog_captivefungaltoad_intro_btn_0	呱呱！
dialog_captivefungaltoad_intro_btn_1	对不起……
dialog_captivefungaltoad_intro_txt	<color=yellow>捕获的真菌蟾蜍：</color>呱呱？\n
dialog_captivegoliathbeetle_intro_txt	<color=yellow>捕获的花潜金龟子：</color>我还是不要待在这里吧。\n我是说，呃，*啾啾啾*
dialog_captivegrottoflyer_intro_txt	<color=yellow>捕获的洞穴飞蝇：</color>嗡嗡嗡……\n
dialog_captivejelly_intro_txt	<color=yellow>捕获的苔藓史莱姆：</color>啪叽……\n
dialog_captivepanthox_intro_txt	<color=yellow>捕获的金鬃蓝狐：</color>喵……\n
dialog_captivesalamander_intro_txt	<color=yellow>捕获的火蜥蜴：</color>嘶嘶……嘶嘶……\n
dialog_casino1_helpgames_btn_3	我想玩点儿什么！
dialog_casino1_info_rewards_txt	<color=yellow>赌场鲨鱼：</color>这些都是小菜一碟。每场游戏，你都有一次下注的机会，<color=yellow>下注</color>金额可以为<color=yellow>100</color>、<color=yellow>1000</color>或是<color=yellow>10000</color>金币。如果你<color=#40b843>获胜</color>了，那么你每下注<color=yellow>100金币</color>，就能获得一个<color=#0cffe6>筹码</color>。\n如果你<color=red>输了</color>，那么……有赢有输嘛，对吧朋友？\n你可以花费<color=#0cffe6>筹码</color>在我们的商店柜台换取<color=#40b843>超棒的物品</color>。
dialog_casino1_intro_btn_1	玩老虎机
dialog_casino1_intro_btn_3	掷骰子
dialog_casino1_intro_questcomplete_txt	<color=yellow>赌场鲨鱼：</color>来玩场游戏怎样，朋友？赢取一点金币和<color=yellow>筹码</color>吧，每个人在这里都能很开心。
dialog_casino1_intro_txt	<color=yellow>赌场鲨鱼：</color>……肮脏的<color=red>强盗</color>……把所有<color=yellow>钱包鼓鼓的客人</color>都赶走了……这样一来，我要怎么才能从这周围的人身上赚快钱呢？\n……！！\n噢，呃，我都没看见你在这儿，<color=yellow>朋友</color>。你是来这里玩<color=yellow>游戏</color>的吗？来赢取金币，换取<color=yellow>筹码</color>吧，每个人在这儿都能获得快乐。
dialog_casino1_placebets_txt	<color=yellow>赌场鲨鱼：</color>你想要下注多少呢？下的注越多，可以<color=yellow>赢得</color>的<color=#0cffe6>筹码</color>就越多。
dialog_casino2_casino_bandits_btn_0	我可以帮你忙的。
dialog_casino2_casino_bandits_help2_btn_0	嗯？
dialog_casino2_casino_bandits_help2_txt	<color=yellow>赌场鲨鱼：</color>……！\n现、现在，先等一下……
dialog_casino2_casino_bandits_help3_txt	<color=yellow>赌场鲨鱼：</color>好吧，朋友。你看出了我在<color=#0cffe6>虚张声势</color>。那你就去处理掉那些强盗，我随后会付给你相应的报酬的。
dialog_casino2_casino_bandits_help_btn_0	好吧，那你就好好享受你那强盗肆虐的顶楼吧。
dialog_casino2_casino_bandits_help_txt	<color=yellow>赌场鲨鱼：</color>那么你会冒着被发现的危险帮我的忙吗？我敢打赌，你一定想要一点<color=yellow>奖励</color>，对吗？好吧，那就<color=red>算了吧</color>。\n我<color=yellow>一个子儿</color>都不会给你的。
dialog_casino2_casino_bandits_txt	<color=yellow>赌场鲨鱼：</color>噢，你听到我说的话了啊。好吧，呃……\n那些<color=yellow>鸟人兄弟</color>真是让我寝食难安。他们设法进入了我那声誉良好的建筑<color=yellow>高层区域</color>。\n现在他们<color=red>把人都赶走了</color>，还用他们那一箱箱的食物和垃圾把那地方弄得一团乱。如果我不用照看这里的话，我早就去收拾他们了。
