abil_skill_acidburstclose_name	Estallido ácido
abil_skill_shieldslam_name	Golpe de escudo
abil_skill_shieldslam_shortdesc	¡Golpeas a un enemigo con tu escudo, derribándolo y aturdiéndolo!
abil_skill_shocktouch_name	Tacto eléctrico
abil_skill_shrapnelbomb_2_desc	Planta una bomba que explota en ^number1^ turno y daña a los enemigos cercanos.
abil_skill_shrapnelbomb_2_name	Bomba ígnea
abil_skill_shrapnelbomb_desc	Planta una bomba que explota en ^number1^ turnos y daña a los enemigos cercanos.
abil_skill_shrapnelbomb_extradesc	Daño: ^number1^ de Poder de armas como Fuego.
abil_skill_shrapnelbomb_shortdesc	Crea un bomba con un detonador de ^number1^ turnos; explota en ^number2^ casillas.
abil_skill_simplewarp_name	Teleporte eléctrico
abil_skill_sleeptraps_desc	Coloca ^number2^ trampas que dejan fuera de combate a los monstruos que las pisan con gas adormecedor.
abil_skill_sleeptraps_extradesc	El sueño dura ^number1^ turnos, o hasta que los monstruos reciben daño.
abil_skill_sleeptraps_name	Trampas de sueño
abil_skill_sleeptraps_shortdesc	Coloca ^number2^ trampas que dejan fuera de combate a los monstruos que las pisan con gas adormecedor.
abil_skill_slimehop_name	Salto de Mucílaga
abil_skill_slimesummonreaction_name	Partir Mucílagas
abil_skill_sludgeball_name	Bola de barro
abil_skill_sludgedeath_name	Muerte de fango
abil_skill_sludgefield_name	Barrizal
abil_skill_sludgehit_name	Golpe de fango
abil_skill_sludgehitweak_name	Golpe de fango débil
abil_skill_sludgesplash_name	Salpicadura de barro
abil_skill_smiteevil_2_desc	Golpea a un enemigo con poder divino en combate cuerpo a cuerpo, genera una Carga airada y reduce el tiempo de espera de Martillo bendito 1 turno.
abil_skill_smiteevil_2_extradesc	Daño: ^number1^ de Poder de armas como Rayo.
abil_skill_smiteevil_2_name	Destruye el mal
abil_skill_smiteevil_2_shortdesc	Ataca al enemigo en combate cuerpo a cuerpo, genera una Carga airada y baja el tiempo de espera del Martillo bendito.
abil_skill_smiteevil_desc	¡Golpea a un enemigo en cuerpo a cuerpo con poder divino y reduce su capacidad de ataque al mismo tiempo! Genera una Carga airada.
abil_skill_smiteevil_extradesc	Daño: ^number1^ de Poder de armas como Rayo. Reduce el daño del objetivo en ^number2^.
abil_skill_smiteevil_shortdesc	Ataca al enemigo en cuerpo a cuerpo y penaliza su ataque. Genera una Carga airada.
abil_skill_smokebomb_name	Bomba de humo
abil_skill_smokecloud_desc	Crea una nube de humo que se expande hasta llenar salas enteras y reduce la visibilidad a tus enemigos. Pillar a un enemigo por sorpresa da una probabilidad del ^number1^ de asestar un golpe crítico.
abil_skill_smokecloud_extradesc	Capa y espada y Paso sombrío infligen ^number2^ de daño a los enemigos en la nube.
abil_skill_smokecloud_ramirel_desc	Crea una nube de humo que se expande hasta llenar salas enteras; así aumenta tus probabilidades de asestar golpes críticos y reduce la visibilidad a tus enemigos. Al usarla, los monstruos dejan de ser agresivos contigo.
abil_skill_smokecloud_ramirel_extradesc	Capa y espada y Paso sombrío infligen ^number1^ de daño a los enemigos en la nube.
abil_skill_smokecloud_ramirel_name	Nube de humo
abil_skill_smokecloud_ramirel_shortdesc	Te ocultas en una nube de humo. Los monstruos dejan de ser agresivos contigo.
abil_skill_smokecloud_shortdesc	Te ocultas en una nube de humo.
abil_skill_sneakattack_desc	(Pasiva) Gana un ^number1^ de probabilidad de asestar un golpe crítico en tu primer ataque. Solo funciona con armas de combate cuerpo a cuerpo.
abil_skill_sneakattack_extradesc	El efecto se reactiva después de un mínimo de ^number2^ turnos, dependiendo de tu última acción en combate.
abil_skill_sneakattack_name	Ataque traicionero
abil_skill_songendurance_desc	Empieza a cantar la Canción del aguante y mejora tus atributos defensivos. ¡Amplía e intensifica su efecto recibiendo o infligiendo daño, bloqueando o parando! Solo puede haber UNA canción activa cada vez, pero cambiar de canción mantiene tu nivel de canto y no consume TC.
abil_skill_songendurance_extradesc	Niv. 1: ^number1^ de parada/bloqueo, niv. 2: ^number2^ de resistencias elementales, niv. 3: ^number3^ de probabilidad de ignorar efectos del suelo.
abil_skill_songendurance_name	Canción del aguante
abil_skill_songendurance_shortdesc	Empieza a cantar la Canción del aguante y mejora tus atributos defensivos.
abil_skill_songmight_desc	Empieza a cantar la Canción del poder y mejora tus ataques con armas. ¡Amplía e intensifica su efecto recibiendo o infligiendo daño, bloqueando o parando! Solo puede haber UNA canción activa cada vez, pero cambiar de canción mantiene tu nivel de canto y no consume TC.
abil_skill_songmight_extradesc	Niv. 1: ^number1^ de Daño cuerpo a cuerpo, niv. 2: probabilidad de causar Miedo al impactar, niv. 3: ^number2^ de probabilidad de golpear dos veces.
abil_skill_songmight_name	Canción del poder
abil_skill_songmight_shortdesc	Empieza a cantar la Canción del poder y mejora tus ataques con armas.
abil_skill_songspirit_desc	Empieza a cantar la Canción del espíritu y mejora otras muchas habilidades. ¡Amplía e intensifica su efecto recibiendo o infligiendo daño, bloqueando o parando! Solo puede haber UNA canción activa cada vez, pero cambiar de canción mantiene tu nivel de canto y no consume TC.
abil_skill_songspirit_extradesc	Niv. 1: ^number1^ de Poder espiritual, niv. 2: ^number2^ de coste de recursos, niv. 3: Recupera Salud al consumir Resistencia/Energía.
abil_skill_songspirit_name	Canción del espíritu
abil_skill_songspirit_shortdesc	Empieza a cantar la Canción del espíritu y mejora otras muchas habilidades.
abil_skill_soulfire_desc	Consume el ^number1^ de tus PV máximos para un ataque demoníaco superpoderoso que también añade vulnerabilidad de Sombra a tus enemigos.
abil_skill_soulfire_extradesc	Daño: ^number2^ de Poder de armas y Poder espiritual como Sombra.
abil_skill_soulfire_name	Fuego del alma
abil_skill_soulfire_shortdesc	Potente ataque de Sombra que consume el ^number1^ de los PV máximos y también penaliza la resistencia enemiga a la Sombra.
abil_skill_spearmastery1_desc	Una violenta estocada que también usa tu lanza para reposicionar al enemigo.
abil_skill_spearmastery1_name	Ensartar
abil_skill_spearmastery1_shortdesc	Ataca a un enemigo cercano y reposiciónalo con tu lanza.
abil_skill_spearmastery2_desc	^fp Atacar con tu lanza a distancia infligirá el total del daño, en vez de solo ^number1^ de daño.
abil_skill_spearmastery2_name	Colmillo de dragón
abil_skill_spearmastery3_desc	^fp ^number1^ de probabilidad de atacar automáticamente a un enemigo que se mueva junto a ti. La probabilidad aumenta por cada turno que estés en el sitio, hasta un máximo del ^number2^. Solo se activa si blandes una lanza.
abil_skill_spearmastery3_name	Cola de escorpión
abil_skill_spearmastery4_desc	Golpea a todos los enemigos en una amplia área y los inmoviliza si están lejos o los empuja si están cerca. Cuanto más alejados estén los enemigos, más daño reciben.
abil_skill_spearmastery4_extradesc	Daño: Los enemigos adyacentes reciben ^number1^ de Poder de armas y los que están más lejos, reciben ^number2^. Empuja a los enemigos si están en un radio de ^number3^ casillas y los inmoviliza si están a ^number3^ o más casillas de distancia.
abil_skill_spearmastery4_name	Valquiria
abil_skill_spearmastery4_shortdesc	Golpea a todos los enemigos: los que están más alejados reciben más daño y quedan inmovilizados; aleja a los enemigos adyacentes.
abil_skill_spellshapeburst_desc	Los hechizos tienen forma de un estallido a quemarropa y un coste de ^number1^ de Resistencia.
abil_skill_spellshapeburst_name	Forma del hechizo: estallido
abil_skill_spellshapeline_desc	Los hechizos tienen forma de línea rotable de un tamaño de ^number1^ y un coste de ^number2^ de Resistencia.
abil_skill_spellshapeline_name	Forma del hechizo: Línea
abil_skill_spellshaperay_desc	Los hechizos tienen forma de un rayo que emana de ti y un coste de ^number1^ de Resistencia.
abil_skill_spellshaperay_name	Forma del hechizo: Rayo
abil_skill_spellshapesquare_desc	Los hechizos tienen forma de cuadrado y un coste de ^number1^ de Resistencia.
abil_skill_spellshapesquare_name	Forma del hechizo: Cuadrado
abil_skill_spellshiftbarrier_desc	Las evocaciones se fusionan en un aura elemental con diversos efectos y un coste de ^number1^ de Resistencia.
abil_skill_spellshiftbarrier_extradesc	¡Las auras pueden acumularse! No obstante, no pueden usarse con otras formas o efectos de hechizo.
abil_skill_spellshiftbarrier_name	Forma del hechizo: Aura
abil_skill_spellshiftmaterialize_2_desc	Los efectos del hechizo se materializan en objetos duraderos (en función del elemento) que se alejan de ti en cada turno y a costa de añadir tiempo de espera.
abil_skill_spellshiftmaterialize_2_extradesc	Los objetos invocados se mueven un espacio por turno.
abil_skill_spellshiftmaterialize_2_name	Efecto del hechizo: Materialización
abil_skill_spellshiftmaterialize_desc	Los efectos de los hechizos se materializan en objetos duraderos en función del elemento y a costa de añadir tiempo de espera.
abil_skill_spellshiftpenetrate_desc	Los hechizos penetran las defensas mágicas, pero te sellan durante un turno tras lanzarlos.
abil_skill_spellshiftpenetrate_name	Efecto del hechizo: Penetración
abil_skill_spiritcollector_desc	^fp Todas las mejoras proporcionan Ecos que pueden usarse para alimentar las habilidades de Guardiana de almas.
abil_skill_spiritcollector_name	Colector de eco
abil_skill_spiritmaster_name	Maestra de los espíritus
abil_skill_spiritwalk_desc	Entra en el reino de los espíritus y hazte invisible durante un breve tiempo, durante el cual los enemigos no pueden atacarte.
abil_skill_spiritwalk_extradesc	Atacar o usar habilidades anula la invisibilidad.
abil_skill_spiritwalk_name	Andadura espiritual
abil_skill_spiritwalk_shortdesc	Te hace invisible unos cuantos turnos y el enemigo no puede atacarte mientras.
abil_skill_staffmastery1_extradesc	Daño: ^number1^ de Poder de armas y ^number2^ de Poder espiritual como Físico. Inflige hasta ^number3^ de daño cuando tu Energía está baja.
abil_skill_staffmastery1_name	Estallido de fuerza
abil_skill_staffmastery1_shortdesc	Golpea una pequeña zona con fuerza mágica.
abil_skill_staffmastery2_desc	^fp El gasto de Energía aumenta tu Poder espiritual un ^number1^ durante ^number2^ turnos. El efecto es acumulable, pero desaparece si dejas de usar un bastón.
abil_skill_staffmastery2_name	Resonancia de fuerza
abil_skill_staffmastery3_desc	^fp Mientras uses un bastón, hay un ^number1^ de probabilidades de absorber ^number2^ de daño elemental y convertir parte en Energía. (No se activa con efectos del suelo).
abil_skill_staffmastery3_name	Absorción de Savia
abil_skill_staffmastery4_desc	Invoca un campo de minas de trampas explosivas en una gran área. Si un monstruo pisa una de ellas, sufre daños y se reducen sus defensas.
abil_skill_staffmastery4_extradesc	Explotan bombas por ^number1^ de Poder espiritual como Físico y duran ^number2^ turnos.
abil_skill_staffmastery4_name	Bombas de maná
abil_skill_staffmastery4_shortdesc	Invoca un campo de minas de trampas explosivas en una gran área.
abil_skill_staticcharge_name	Carga estática
abil_skill_staticfield_desc	Tú y tu Cristal rúnico generáis un Campo estático durante un breve tiempo que suelta una descarga eléctrica a los enemigos cercanos en cada turno.
abil_skill_staticfield_extradesc	Daño: ^number1^ de Poder espiritual como Rayo por turno.
abil_skill_stealfood_name	Robar comida
abil_skill_steambuff_name	Energizar
abil_skill_steelresolve_desc	(Pasiva) No te pueden aturdir ni asestar un golpe crítico.
abil_skill_steelresolve_name	Resolución de acero
abil_skill_steeltoe_name	Puntera acerada
abil_skill_straddlemonster_desc	¡Salta sobre un monstruo cercano y luego cabalga sobre él hasta un espacio abierto! Es posible que también deje al monstruo confuso.
abil_skill_straddlemonster_extradesc	La confusión dura ^number1^ turnos y tiene una tasa de éxito del ^number2^.
abil_skill_straddlemonster_name	Jinete de monstruos
abil_skill_straddlemonster_shortdesc	¡Salta sobre un monstruo cercano y luego cabalga sobre él hasta un espacio abierto!
abil_skill_summonairacudas_name	Eclosionar Banco de airacudas
abil_skill_summonairacudas_shortdesc	Invoca un Banco de airacudas para que luche por ti durante 99 turnos.
abil_skill_summonanchorvine_desc	Invoca lianas con las que se puede usar Columpio de lianas. Ralentiza a los enemigos cercanos.
abil_skill_summonanchorvine_name	Conjurar Muro de lianas
abil_skill_summonanchorvine_shortdesc	Invoca lianas en esa área.
abil_skill_summonbogfrog_name	Eclosionar Rana pantanosa
abil_skill_summonbogfrog_shortdesc	Invoca una Rana pantanosa para que luche por ti durante 99 turnos.
abil_skill_summoncavestalker_name	Eclosionar Merodeador cavernario
abil_skill_summoncavestalker_shortdesc	Invoca un Merodeador cavernario para que luche por ti durante 99 turnos.
abil_skill_summoncrabbid_name	Eclosionar Cangresapo
abil_skill_summoncrabbid_shortdesc	Invoca un Cangresapo para que luche por ti durante 99 turnos.
abil_skill_summoncraggan_name	Eclosionar Craggan
abil_skill_summoncraggan_shortdesc	Invoca un Craggan para que luche por ti durante 99 turnos.
abil_skill_summoncrystalprojectile_name	Invocar plasma
abil_skill_summondarkcavelion_name	Eclosionar Pantax oscuro
abil_skill_summondarkcavelion_shortdesc	Invoca un Pantax oscuro para que luche por ti durante 99 turnos.
abil_skill_summonelectricjelly_name	Eclosionar Mucílaga eléctrica
abil_skill_summonelectricjelly_shortdesc	Invoca una Mucílaga eléctrica para que luche por ti durante 99 turnos.
abil_skill_summonelemspirit_2_desc	Invoca espíritus protectores de los elementos para que luchen por ti. Debe lanzarse sobre casillas con una afinidad elemental tal como Fuego o Agua.
abil_skill_summonelemspirit_2_extradesc	El tipo de espíritu invocado dependerá de la afinidad elemental de la casilla.
abil_skill_summonelemspirit_2_name	Llamada a Espíritu elemental
abil_skill_summonelemspirit_2_shortdesc	Invoca mascotas elementales en el área seleccionada.
abil_skill_summonelemspirit_desc	Invoca a un espíritu protector de los elementos para que luche por ti. Debe lanzarse sobre una casilla con un efecto de suelo elemental o en terreno de Fuego o Agua.
abil_skill_summonelemspirit_extradesc	El tipo de elemental invocado dependerá del efecto de suelo elemental o del terreno de la casilla.
abil_skill_summonfirejelly_name	Eclosionar Mucílaga ígnea
abil_skill_summonfirejelly_shortdesc	Invoca una Mucílaga ígnea para que luche por ti durante 99 turnos.
abil_skill_summonfood_shortdesc	Invoca un surtido de alimentos.
abil_skill_summonfrostedjelly_name	Eclosionar Mucílaga gélida
abil_skill_summonfrostedjelly_shortdesc	Invoca una Mucílaga gélida para que luche por ti durante 99 turnos.
abil_skill_summonfungaltoad_name	Eclosionar Sapo fúngico
abil_skill_summonfungaltoad_shortdesc	Invoca un Sapo fúngico para que luche por ti durante 99 turnos.
abil_skill_summongoliathbeetle_name	Eclosionar Escarabajo Goliat
abil_skill_summongoliathbeetle_shortdesc	Invoca un Escarabajo Goliat para que luche por ti durante 99 turnos.
abil_skill_summongrottoflyer_name	Eclosionar Mosquito cavernario
abil_skill_summongrottoflyer_shortdesc	Invoca un Mosquito cavernario para que luche por ti durante 99 turnos.
abil_skill_summonjadesalamander_name	Eclosionar Salamandra de jade
abil_skill_summonjadesalamander_shortdesc	Invoca una Salamandra de jade para que luche por ti durante 99 turnos.
abil_skill_summonlavaviper_name	Eclosionar Víbora de lava
abil_skill_summonlavaviper_shortdesc	Invoca una Víbora de lava para que luche por ti durante 99 turnos.
abil_skill_summonlivingvine_2_desc	Invoca a una feroz vegetobestia espinosa que usa un potente ataque de embestida para que luche por ti.
abil_skill_summonlivingvine_2_name	Invocar Floraconda toro
abil_skill_summonlivingvine_desc	Invoca a una feroz vegetobestia espinosa para que luche por ti.
abil_skill_summonlivingvine_extradesc	Sube de nivel contigo. No puedes tener más de una Floraconda invocada a la vez. El tiempo de espera se restablece cuando la Floraconda es derrotada.
abil_skill_summonmanyfrogs_shortdesc	Invoca un montón de ranas, tanto amigas como enemigas.
abil_skill_summonmedicbotlimit_name	Invocar médico
abil_skill_summonmedirays_name	Haz de energía
abil_skill_summonmonster1_name	Eclosionar monstruo débil
abil_skill_summonmonster1_shortdesc	Invoca un monstruo débil para que luche por ti un rato.
abil_skill_summonmonster2_name	Eclosionar monstruo medio
abil_skill_summonmonster2_shortdesc	Invoca un monstruo más fuerte para que luche por ti un rato.
abil_skill_summonmonster3_name	Eclosionar monstruo brutal
abil_skill_summonmonster3_shortdesc	Invoca un monstruo poderoso para que luche por ti un rato.
abil_skill_summonmossjelly_name	Eclosionar Mucílaga musgosa
abil_skill_summonmossjelly_shortdesc	Invoca una Mucílaga musgosa para que luche por ti durante 99 turnos.
abil_skill_summonmottledsandjaw_name	Eclosionar Faucearenosa moteada
abil_skill_summonmottledsandjaw_shortdesc	Invoca una Faucearenosa moteada para que luche por ti durante 99 turnos.
abil_skill_summonpanthox_name	Eclosionar Pantax
abil_skill_summonpanthox_shortdesc	Invoca un Pantax para que luche por ti durante 99 turnos.
abil_skill_summonplantturret_extradesc	Sube de nivel contigo. Puedes invocar varias Plantas escupidoras de golpe.
abil_skill_summonplantturret_name	Cultivar Planta escupidora
abil_skill_summonplantturret_shortdesc	Invoca una planta estática que dispara espinas mortíferas.
abil_skill_summonrockviper_name	Eclosionar Víbora de las rocas
abil_skill_summonrockviper_shortdesc	Invoca una Víbora de las rocas para que luche por ti durante 99 turnos.
abil_skill_summonsalamander_name	Eclosionar Salamandra
abil_skill_summonsalamander_shortdesc	Invoca una Salamandra para que luche por ti durante 99 turnos.
abil_skill_summonsentrybot2_name	Invocar Robot centinela
abil_skill_summonshade_2_extradesc	Usa ataques de Sombra a distancia y sube de nivel contigo.
abil_skill_summonshade_2_name	Invocar Sombra de alma
abil_skill_summonshade_2_shortdesc	Invocar mascota a la casilla indicada.
abil_skill_summonshade_desc	Invoca una Sombra de alma agresiva para que luche por ti durante ^number1^.
abil_skill_summonshadowturret_name	Invocar torreta sombría
abil_skill_summonskeletons2_name	Invocar banda de ranas
abil_skill_summonskeletons3_name	Invocar hervidero de ranas
abil_skill_summonskeletons_name	Invocar Cangrejóseos
abil_skill_summonslimerat_name	Eclosionar Alimaña mohosa
abil_skill_summonslimerat_shortdesc	Invoca una Alimaña mohosa para que luche por ti durante 99 turnos.
abil_skill_summonthornsreaction_name	Soltar espinas
abil_skill_summonverdigrizzly_name	Eclosionar Verdioso
abil_skill_summonverdigrizzly_shortdesc	Invoca un Verdioso para que luche por ti durante 99 turnos.
abil_skill_summonvinestalker_name	Eclosionar Merodeador de las lianas
abil_skill_summonvinestalker_shortdesc	Invoca un Merodeador de las lianas para que luche por ti durante 99 turnos.
abil_skill_sworddancerbonus2_desc	^fp Crea una Serpiente llameante al parar un ataque.
abil_skill_sworddancerbonus2_name	Estocada llameante
abil_skill_swordmastery1_extradesc	Daño: ^number1^ de Poder de armas, ^number2^ de parada y ^number3^ por impacto enemigo.
abil_skill_swordmastery1_name	Tajo cruzado
abil_skill_swordmastery1_shortdesc	Asestas cuchilladas a enemigos cercanos en formación cruzada y al mismo tiempo adoptas una postura defensiva. Aumenta la parada por cada golpe enemigo.
abil_skill_swordmastery2_desc	^fp Tras parar con una espada, ciegas brevemente al atacante.
abil_skill_swordmastery2_name	Parada cegadora
abil_skill_swordmastery3_desc	^fp Tus contraataques con una espada infligen ^number1^ de daño.
abil_skill_swordmastery3_name	Respuesta letal
abil_skill_swordmastery4_desc	Avanza en línea mientras hiendes a los enemigos cercanos y subes tu parada brevemente a ^number1^. Al siguiente turno, los enemigos impactados sufrirán daños.
abil_skill_swordmastery4_extradesc	Daño: ^number2^ de Poder de armas a todos los enemigos cerca de tu trayectoria.
abil_skill_swordmastery4_name	Mandoble aéreo
abil_skill_swordmastery4_shortdesc	Avanza en línea mientras atacas a todos los enemigos cercanos y subes tu parada a ^number1^.
abil_skill_teleport_name	Teletransporte
abil_skill_teleport_shortdesc	Te teletransporta a la casilla indicada.
abil_skill_terroregg_shortdesc	Invoca tres Espectros para que luchen por ti brevemente.
abil_skill_thankful_bandit_echo_name	Agradecimiento del bandido
abil_skill_thickhide_name	Pellejo grueso
abil_skill_thirstquencher_name	Apagased
abil_skill_thornedskin_desc	(Pasiva) Cuando te atacan, tu piel llena de espinas devuelve de cuando en cuando el daño. ¡Tus Floracondas y Plantas escupidoras también desarrollan pellejos espinosos!
abil_skill_thornedskin_extradesc	^number1^ de probabilidad de reflejar ^number2^ de daño cuerpo a cuerpo como daño Físico.
abil_skill_thornedskin_name	Piel espinosa
abil_skill_thornhide2_name	Piel espinosa
abil_skill_throwstone_desc	Lanza un guijarro mágico que siempre acierta.
abil_skill_throwstone_extradesc	Daño: Nivel x ^number1^ de daño como daño Físico.
abil_skill_throwstone_name	Lanzar piedra
abil_skill_throwstone_shortdesc	Lanza una piedra al objetivo.
abil_skill_thunderinglion_desc	(Activable) Canaliza qì en un aura eléctrica. Gana una carga por movimiento a costa de ^number1^ de Energía. Ataca con un arma de combate cuerpo a cuerpo para liberar cargas que infligen daño extra o retenerlas para aumentar la probabilidad de parar.
abil_skill_thunderinglion_extradesc	Daño: ^number2^ de Poder de armas + ^number3^ de Poder espiritual como Rayo por carga.
abil_skill_thunderinglion_name	León atronador
abil_skill_tornadostance_desc	Adoptas una postura cuando te atacan; repelerás instintivamente a los enemigos y les infligirás daños.
abil_skill_tornadostance_extradesc	Daño: ^number1^ de Poder de armas como Físico.
abil_skill_tornadostance_name	Postura tornado
abil_skill_tornadostance_shortdesc	Cuando te atacan, empujas instintivamente a los enemigos y les infliges daño.
abil_skill_toughness_name	Fortaleza
abil_skill_triplebolt_desc	¡Tras un turno, dispara ^number1^ flechas elementales que electrifican todo lo que tocan!
abil_skill_triplebolt_extradesc	Daño: Los objetivos electrificados pierden un ^number2^ de PV máximos por turno y encadena a otros objetivos electrificados.
abil_skill_triplebolt_name	Dardo triple
abil_skill_triplebolt_shortdesc	Tras un turno, dispara ^number1^ flechas elementales que electrifican todo lo que tocan.
abil_skill_turtleshield_name	Caparazón de tortuga
abil_skill_twohandspecialist_desc	(Pasiva) Mientras uses un arma de cuerpo a cuerpo a dos manos, tu Poder de armas y Puntería aumentan un ^number1^, y tu probabilidad de golpe crítico y parada aumentan un ^number2^.
abil_skill_twohandspecialist_name	Especialista en dos manos
abil_skill_unarmed1_name	Combate sin armas I
abil_skill_unarmed2_name	Combate sin armas II
abil_skill_undying_name	Inmortal
abil_skill_unstablemagic_name	Magia inestable
abil_skill_unstablemagic_shortdesc	Explosión con un elemento aleatorio (¡permite elegir la forma del hechizo!)
abil_skill_vampire_melee_name	Toque drenante
abil_skill_vampire_ranged_name	Drenaje vital
abil_skill_vault_name	Brinco
abil_skill_venombite_name	Mordisco venenoso
abil_skill_versechallenges_desc	Añade la Estrofa de los desafíos a tu canción actual. El enemigo afectado se vuelve más agresivo, pero también aumenta tu daño y defensa cada vez que te golpea.
abil_skill_versechallenges_extradesc	^number1^ de daño y ^number2^ de defensa por cada vez que el objetivo enemigo te golpee a ti.
abil_skill_versechallenges_name	Estrofa de los desafíos
abil_skill_versechallenges_shortdesc	Añade la Estrofa de los desafíos a tu canción actual. El enemigo afectado se vuelve más agresivo, pero tu daño/defensa aumentan cada vez que te golpea.
abil_skill_verseelements_2_extradesc	Daño: ^number1^ de Poder espiritual como Fuego, Agua, Rayo, Veneno o Sombra (al azar).
abil_skill_verseelements_2_name	Estrofa de los elementos
abil_skill_verseelements_2_shortdesc	Añade Estrofa de los elementos a tu canción actual y golpea a los enemigos adyacentes con elementos aleatorios en cada turno.
abil_skill_verseelements_extradesc	Reduce las resistencias elementales enemigas en ^number1^ en cada turno. La penalización dura ^number2^ turnos.
abil_skill_verseelements_shortdesc	Añade la Estrofa de los elementos a tu canción actual y reduce las resistencias elementales de los enemigos adyacentes en cada turno.
abil_skill_versesuppression_2_extradesc	Es menos probable que los monstruos te vean y te ataquen.
abil_skill_versesuppression_2_name	Estrofa de supresión
abil_skill_versesuppression_2_shortdesc	Añade la Estrofa de supresión a tu canción actual para que tus movimientos sean más silenciosos y difíciles de detectar para el enemigo.
abil_skill_versesuppression_extradesc	^number1^ de probabilidad cada turno de infligir estados a los enemigos en un radio de ^number2^ casillas mientras la canción esté activa.
abil_skill_versesuppression_shortdesc	Añade Estrofa de supresión a tu canción actual e inflige, aleatoriamente, Parálisis, Inmovilización o Sellado a los enemigos cercanos.
abil_skill_vinebullrush_desc	Test Push Skill
abil_skill_vinebullrush_name	Embestida de lianas
abil_skill_vineheal_name	Curación de liana
abil_skill_vinepull_name	Lazo de lianas
abil_skill_vineswing_2_desc	¡Agarra una liana cercana y balancéate en ella, invocando nuevas lianas mientras tanto!
abil_skill_vineswing_2_name	Columpio de lianas
abil_skill_vineswing_2_shortdesc	Te mueves hasta la liana seleccionada y luego invocas nuevas lianas en el destino.
abil_skill_vineswing_desc	¡Agarra una liana cercana y balancéate en ella!
abil_skill_vineswing_shortdesc	Te lleva hasta la liana seleccionada.
abil_skill_vortex2_name	Gran vórtice
abil_skill_vortex_name	Vórtice
abil_skill_vortexarmor_shortdesc	¡Atrae a todos los enemigos cercanos justo a tu lado y refuerza a la vez tu defensa!
abil_skill_warcry_desc	Lanzas un potente grito de batalla que aumenta temporalmente tus PV máximos un ^number1^.
abil_skill_warcry_name	Grito de guerra
abil_skill_watercross_name	Cruz de agua
abil_skill_waterorb_name	Orbe de agua
abil_skill_watershot_name	Disparo de agua
abil_skill_wateryheal2_name	Sanación acuosa
abil_skill_waveshot_name	Disparo de ondas
abil_skill_weakbullrush_name	Estampida de ranas
abil_skill_webshot_name	Disparo arácnido
abil_skill_wildcards_desc	(Pasiva) Saca una carta cada vez que asestas un golpe crítico o, aleatoriamente, al matar un monstruo. (Activa) Juega tu mano actual. ¡A mejor mano, mejores efectos!
abil_skill_wildcards_extradesc	No se sacan cartas tan a menudo al luchar contra enemigos más débiles.
abil_skill_wildcards_name	Comodines
abil_skill_wildcards_passive_desc	^fp Reúne cartas para tu mano de póquer derrotando enemigos y asestando golpes críticos.
abil_skill_wildcards_passive_name	Jugadora de póquer
abil_skill_wildcards_shortdesc	Juega la mano de cartas que tienes en este momento (se muestra en la parte inferior de la pantalla).
abil_skill_wildhorse_2_desc	Salta grácilmente hasta un enemigo cercano y golpéalo con oleadas en el siguiente turno.
abil_skill_wildhorse_2_extradesc	Daño de olas: ^number1^ de Poder de armas y Poder espiritual como Agua.
abil_skill_wildhorse_2_name	Caballo salvaje
abil_skill_wildhorse_2_shortdesc	Salta grácilmente hasta un enemigo cercano y libera olas que rompen contra él en el siguiente turno.
abil_skill_wildhorse_desc	¡Abalánzate sobre un enemigo cercano con un grácil ataque penetrante!
abil_skill_wildhorse_extradesc	Daño: ^number1^ de Poder de armas.
abil_skill_wildhorse_shortdesc	Abalánzate sobre un enemigo cercano y atácalo.
abil_skill_wolflunge_name	Embestida lobuna
abil_skill_xvortex_name	Pozo gravitatorio
add_item_loving_to_name	^tag2^ con afición por ^tag1^
all_resist_down_desc	^number1^ Resistencia
all_resist_down_dname	Reducir Resistencia
angry_cause_blocked_log	¡A ^tag1^ le enfurece que ^tag2^ le impida llegar al tesoro!
armor_heavy_desc	Movimiento más ruidoso que puede atraer a los monstruos.
armor_light_desc	"+5 de ganancia de TC, haces menos ruido al moverte."
armor_medium_desc	10 % de probabilidad mínima de evadir habilidades.
Back	Retroceder
bank_max_items	¡Solo puedes almacenar ^tag1^ objetos en el banco!
bark_new_goods	¡Tengo <color=yellow>buenas noticias!</color>
bark_new_rumors	¡Tengo <color=yellow>nuevos rumores que contarte!</color>
battletext_resiststatus	¡RESISTE ESTADO!
bell_ring_bt	¡Ding, ding!
blessed_jp	<color=yellow>¡Sientes que tu cuerpo está listo para dominar habilidades más rápido!</color>
blessed_protection	<color=yellow>¡Sientes como te rodea una protección mágica!</color>
blessed_xp	<color=yellow>¡Sientes que tu mente se abre a nuevas ideas y experiencias!</color>
boost_stat_level_up	¡Ganas <color=yellow>3</color> <color=#0cffe6>^tag1^!</color>
break_object_log	^tag1^ rompe ^tag2^.
button_backtomenu	Volver a la pantalla de inicio
button_continue_game_no_mods	Continuar la partida #cy#sin los modificadores#ec#
button_donot_clear	No borrar
button_quit_application	Salir sin guardar
cant_learn_no_jp	¡No tienes PO suficientes para dominar eso!
cant_learn_wrong_job	¡No puedes aprender ^tag1^; ¡no tienes el oficio adecuado!
card_name_ace	As
card_name_jack	Sota
card_name_king	Rey
card_name_queen	Reina
card_num_of_suit	^tag1^ de ^tag2^
card_suit_clubs	Tréboles
