abil_skill_acidburstclose_name	Säurestoß
dialog_dialog_mvrancher_intro2_txt	<color=yellow>ALEXIS</color> Heda! Das Tal hier ist voll mit zahmen Monsterchen. Sie sind alle freilaufend und friedlich.\n\nSag mal du, wenn du <color=yellow>deine eigenen Monster</color> in Windbach aufziehst, hätte ich da 'n paar <color=yellow>Vorräte</color>, die dir gefallen könnten.\n\nOh, übrigens suche ich immer noch nach 'nem <color=yellow>Banditen</color>, den ich gern großziehen würde, wenn du mir einen bringen könntest.\n
dialog_dialog_mvrancher_intro3_txt	<color=yellow>ALEXIS</color> Also nächstes Mal kostet es dich was, haha! Dem <color=yellow>Banditen</color>, den du mir gebracht hast, geht es hier blendend. Danke noch mal, dass du dem Frieden mit Monstern 'ne Chance gibst.\n\nSag mal du, wenn du <color=yellow>deine eigenen Monster</color> in Windbach aufziehst, hätte ich da 'n paar <color=yellow>Vorräte</color>, die dir gefallen könnten.\n
dialog_dialog_mvrancher_learnmallet_intro_txt	<color=yellow>ALEXIS</color>: Das wars auch schon! Jetzt brauchst du das Vieh bloß noch auf <color=red>20 % Gesundheit oder darunter</color> zu bringen, und dann <color=yellow>haust du ihm einfach eins mit dem Hammer über das Köpfchen</color>!\n
dialog_dialog_mvrancher_main_btn_1	Wonach suchst du denn?
dialog_dialog_mvrancher_main_txt	<color=yellow>ALEXIS</color> Heda! Das Tal hier ist voll mit zahmen Monsterchen. Sie sind alle freilaufend und friedlich.\n\nSag ma du, wenn du <color=yellow>deine eigenen Monster</color> in Windbach aufziehst, hätte ich da 'n paar <color=yellow>Vorräte</color>, die dir gefallen könnten.\n\nAch und da gäbs auch noch so 'n <color=#0cffe6>bestimmtes Monster</color>, das ich gern hätte … meinst du, du könntest mir vielleicht aushelfen?\n
dialog_dialog_mvrancher_questcomplete_intro_txt	<color=yellow>ALEXIS</color>: Na das is' ja auch net schlecht! Du hast dich für mich mit 'nem <color=yellow>Banditen</color> angelegt. Keine Sorge, um die kümmern wir uns hier im Park mit <color=yellow>Liebe und Fürsorge</color>.\n\nDa schulde ich dir wohl einen, was? Ich mach dir mal 'nen Vorschlag … Ich zeig dir 'ne <color=#40b843>geheime Technik</color>, mit der du Monster schon bei <color=red>20 % Gesundheit </color> anstatt erst bei <color=red>15 %</color> ausknocken kannst. Na, was sagste?\n
dialog_dimrift_callout_main2_btn_0	Und wie! Ich lege mich mit allem an!
dialog_dimrift_callout_main2_btn_1	Nein! Ich habe Angst …
dialog_dimrift_callout_main2_txt	<color=yellow>VERRÜCKTER WISSENSCHAFTLER:</color> Allem Anschein nach <color=yellow>beschädigt und transformiert</color> die <color=#0cffe6>Energie</color> der anderen Welt die Biester in unserer. Die beschädigten Kreaturen, die du bekämpft hast, sind bloß ein Vorgeschmack.\n\nDu bist sicher ganz neugierig darauf, endlich eine <color=red>richtig mutierte Kreatur</color> zu sehen, oder?\n
dialog_dimrift_callout_main3_txt	<color=yellow>VERRÜCKTER WISSENSCHAFTLER:</color> Ich hatte gehofft, dass du das sagen würdest.\n\nEine kleine Warnung am Rande, ich erwarte nicht, dass du diese Begegnung <color=red>überleben</color> wirst. Nichtsdestotrotz, die Daten, die du dabei sammeln wirst, werden sehr nützlich sein.\n
dialog_dimrift_callout_main_txt	<color=yellow>VERRÜCKTER WISSENSCHAFTLER:</color> Faszinierend. Du hast diese Kreaturen hier viel schneller erledigt, als ich erwartet hätte.\n\nDu bist recht <color=#40b843>mutig</color>, und dennoch hast du keine Ahnung, was dir bevorsteht.\n\nKräfte, die sich unserem <color=yellow>Verständnis entziehen</color>, haben diesen <color=#0cffe6>Riss in Raum und Zeit</color> erzeugt und unsere Welten dadurch miteinander verbunden.\n\n
dialog_dirtbeak_library_defeat_intro_btn_0	Wenn ich du wäre, würde ich die Fliege machen!
dialog_dirtbeak_library_defeat_intro_txt	*KRÄHÄCHZ!*\n\nMeine <color=#40b843>Stärke und Lesefertigkeiten</color> werden gerade <color=red>ganz dringend woanders gebraucht</color>!\n
dialog_dirtbeak_library_intro_intro_2_btn_0	Was machst du in der Bibliothek?
dialog_dirtbeak_library_intro_intro_2_txt	*KRÄÄÄCHZ*\n\nDU schon wieder?!?\n
dialog_dirtbeak_library_intro_intro_3_btn_0	Also das … ist ja super!
dialog_dirtbeak_library_intro_intro_3_btn_1	Lasst bloß all diese wunderbaren Bücher in Ruhe!
dialog_dirtbeak_library_intro_intro_3_txt	Auf jeden Fall <color=red>NICHT</color> Lesen lernen. Nein. Ich kenne mehr Buchstaben als die meisten Leute. Genaugenommen bringe <color=yellow>ich</color> nämlich <color=yellow>diesen</color> dämlich aussehenden Vögeln das Lesen bei.\n
dialog_dirtbeak_library_intro_intro_4_txt	… Dieses dumme Grinsen wird dir gleich vergehen!\n\n<color=yellow>Flatterjungz</color>, macht, dass ihr herkommt! Verwendet eure Schriftrollen, die ich <color=yellow>auf jeden Fall lesen könnte</color>, wenn ich es wollte, <color=yellow>was ich aber einfach nicht will</color>!
dialog_dirtbeak_library_intro_intro_btn_0	Störe ich?
dialog_dirtbeak_library_intro_intro_txt	D… die… fl… flauschige… Ka… Katze… spielt…\n\n„Die flauschige Katze spielt gern!“ Ist das richtig?\n
dialog_dirtbeak_library_intro_learning_01_txt	Lesen zu lernen, äh, ich meine, es deinen Freunden <color=yellow>beizubringen</color>, ist eine wunderbare Sache! In Tangledeep gibt es SO VIELE fantastische Bücher, dass dir niemals der Lesestoff ausgehen würde. In Büchern findet man … ja also alles Mögliche!\n\nInteressante Geschichten, alte Legenden und richtige Wissenschaften.
dialog_dirtbeak_library_intro_learning_02_btn_0	Aber natürlich!
dialog_dirtbeak_library_intro_learning_02_btn_1	Ha! Als ob ich meine Zeit damit vergeuden würde, so einem Flatterhirn wie dir was beizubringen.
dialog_dirtbeak_library_intro_learning_02_txt	*KRÄHÄ … HÄCHZ?* Du mei… äh …\n\nIch meine, also JA, das weiß ich natürlich! Über Bücher weiß ich Bescheid, ich bin ja ein <color=yellow>vorzüglicher</color> Läser!\n\nAber … erzählst du mir etwas mehr über diese Interessanten Geschichten und Richtigen Wissenschaften? Die <color=yellow>Bossdame</color> hat immer gesagt, dass mir diese Bücher wehtun würden, wenn ich sie nur ansehe.
dialog_dirtbeak_library_intro_learning_03_txt	Liebend gerne! Über das Lesen lerne ich selbst noch …\n\n… Also ich lerne über <color=yellow>geheime Symbole und antike Ruinen</color>, aber das Prinzip ist das gleiche! Hier, lass mich dir ein paar Tipps geben, wie du deine <color=yellow>Freunde unterrichten kannst …</color>\n
dialog_dirtbeak_library_intro_learning_04_txt	*KRÄCHZ PFEIF PFEEEIF* Ja, oh ja, wow! Also, *KRÄCHZ* <color=yellow>selbstverständlich</color> wusste Baron Schmutzschnabel das ja schon alles, aber, äh, für meine Freunde ist das ein richtig guter Tipp.\n\nDu warst <color=yellow>sehr großzügig</color>, das hast du sicher von mir gelernt. Ich gehe dann wohl besser mal zu meinem Nest … mit all diesen neuen Büchern!\n\n<color=yellow>*KRÄÄÄ KRÄÄÄ KRIII!*</color>\n\n
dialog_dlc_disabled_loadwarning_text	^tag2^Bitte stelle sicher, dass diese Erweiterungsinhalte installiert und autorisiert wurden, und starte das Spiel dann erneut.\n\n
dialog_dreamcaster_modify_main_btn_0	<color=yellow>Entferne</color> einen Mod.
dialog_dreamcaster_modify_main_btn_1	<color=#0cffe6>Extrahiere</color> einen Mod (<color=red>LÖSCHT GEGENSTAND</color>).
dialog_dreamcaster_modify_main_extractmod_txt	Wähle den Magiemod, der von ^tag1^ extrahiert werden soll. GRUNDPREIS: <color=yellow>^tag2^ G</color>.\n\nDies wird den Gegenstand <color=red>löschen</color> und einen <color=#0cffe6>Klarorbsplitter</color> erzeugen. Kombinierst du drei Splitter mit demselben Magiemod, so erzeugt das einen <color=#0cffe6>Klarorb</color> mit diesem Mod.\n
dialog_dreamcaster_modify_main_removemod_txt	Wähle den Magiemod, der von ^tag1^ entfernt werden soll. GRUNDPREIS: <color=yellow>^tag2^ G</color>.\n
dialog_dreamcaster_modify_main_txt	Magiemods können von ^tag1^ <color=yellow>entfernt</color> oder <color=#0cffe6>extrahiert</color> werden, und zwar zu folgendem Preis: <color=yellow>^tag2^ G</color> und mindestens <color=#0cffe6>^tag3^</color> Träumereiorben, je nach Mod.\n\n<color=yellow>Entfernst</color> du einen Mod, so kann der ausgewählte Mod durch <color=yellow>andere Mods</color> ersetzt werden.\n\n<color=#0cffe6>Extrahierst</color> du einen Mod, so wird der Gegenstand <color=red>für immer gelöscht</color>, und dafür ein <color=#0cffe6>Klarorbsplitter</color> aus der Essenz des Mods erzeugt.\n\nKombinierst du <color=#0cffe6>drei Splitter</color> mit demselben Mod, so erzeugst du einen ganzen <color=#0cffe6>Klarorb</color>, welcher ebenfalls diesen Mod beinhaltet.\n
dialog_dreamcaster_no_orbs_intro_txt	<color=yellow>TRAUMGIEẞER</color>: <color=#0cffe6>AKTUELLER STATUS: OPERATIV</color>.\n\n<color=red>FEHLER</color>: Keine <color=yellow>Träumereiorben</color> oder <color=yellow>Klarorben</color> gefunden.\n\nFür die Bedienung wird ein Orb <color=yellow>benötigt</color>. Wird heruntergefahren …\n
dialog_exit	(exit)
dialog_feat_unlock_intro_txt	<size=50><color=#40b843>GLÜCKWUNSCH!</color></size>\n\nDu hast das <color=yellow>^$getstring:unlockfeat$^</color>-Spezialtalent für diesen Speicherplatz freigeschaltet!\n\nDu kannst dieses Spezialtalent nun auswählen, wenn du in diesem Speicherplatz <color=yellow>neue Charaktere</color> erstellst.\n
dialog_final_sidearea1_clear_main_btn_0	Diese Maschinen wurden zur Verteidigung gebaut. Gibt es auch Maschinen, die für den Krieg bestimmt sind?
dialog_final_sidearea1_clear_main_txt	<color=yellow>#HERONAME#.AVATAR</color>\nDIE VERTEIDIGUNGSANLAGE IST NUN INAKTIV. DU BESITZT BEMERKENSWERTE KAMPFFERTIGKEITEN.\n\nMOBILE VERTEIDIGUNGSPLATTFORMEN IM KERN WURDEN NUN DEAKTIVIERT.
dialog_final_sidearea1_clear_part2_txt	MOBILE VERTEIDIGUNGSPLATTFORMEN SIND FÜR DIE MOBILE VERTEIDIGUNG.
dialog_final_sidearea2_clear_main_btn_0	Mit jeder replizierten Maschine konnte ich fühlen, wie mich das Flow durchströmt. Wo ist das bloß alles hergekommen?
dialog_final_sidearea2_clear_main_txt	<color=yellow>#HERONAME#.AVATAR</color>\nDIE REPLIKATOREN WURDEN VORERST DEAKTIVIERT. DIES IST DER BESTMÖGLICHE AUSGANG.\n\nDIE MASCHINENREPLIKATOREN IM KERN SIND NUN EBENFALLS OFFLINE.
dialog_final_sidearea2_clear_part2_txt	KEINE SORGE. DIE FLOWENERGIE-LEVEL SIND AUSGEZEICHNET. ICH KANN DIESEN LEISTUNGSLEVEL FÜR WEITERE 3.219 ROTATIONSZYKLEN BEIBEHALTEN.
dialog_final_sidearea3_clear_main_btn_0	Diese Kristalle zu vernichten, hat wirklich weh getan. Ich konnte fühlen, wie das Flow gebrannt und gelitten hat. Hattest du auch Schmerzen?
dialog_final_sidearea3_clear_main_txt	<color=yellow>#HERONAME#.AVATAR</color>\nDAS NETZWERK IST FREI VON ÜBERSCHÜSSIGEN REGENERATOREN. DANKE FÜR DEINE PROFESSIONELLE ARBEITSLEISTUNG.\n\nDIE FREMDEN REGENERATOREN IM KERN WURDEN STILLGELEGT.
dialog_final_sidearea3_clear_part2_txt	SCHMERZ.CPP WURDE VOR LANGER ZEIT MIT EINEM PATCH ENTFERNT. DOCH DIE FLOWSENSOREN SIND JEDES MAL STARK ANGESTIEGEN, WENN DIE KRISTALLE HERUNTERGEFAHREN WURDEN.
dialog_final_sidearea3_inprogress_main_txt	Ich habe <color=yellow>einen Kristall</color> zerstört, aber ich kann immer noch sehen, wie Energie durch die Stromfelder fließt.\n\nIch sollte nach <color=yellow>mehr Kristallen wie diesem</color> suchen und <color=#0cffe6>sie vernichten</color>.\n
dialog_final_sidearea4_clear_main_btn_0	Warum hast du denn nicht die Abwehrplattform verwendet, um die Banditen aufzuhalten?
dialog_final_sidearea4_clear_main_txt	<color=yellow>#HERONAME#.AVATAR</color>\nDIE KREATUREN DER BANDITEN-KLASSE WURDEN BEZWUNGEN. DEINE REPARATURARBEITEN SIND AUSGEZEICHNET.\n\nDIE IN DIESEM LABOR ERZEUGTEN WILDEN MONSTER FLÜCHTEN BEREITS AUS DEM KERN.
dialog_final_sidearea4_clear_part2_txt	SIE WURDEN VON <color=yellow>SHARA.AVATAR</color> BEREITGESTELLT, UND DEMZUFOLGE WAR ES IHRE AUFGABE, GUTE ARBEIT ZU LEISTEN UND REPARATUREN DURCHZUFÜHREN.\n\nWELCH MERKWÜRDIGE FRAGE.
dialog_finalboss_defeated_dialog_intro_txt	Der Endboss wurde besiegt! Jetzt musst du nur noch bis an die Spitze von Tangledeep reisen!\n
dialog_first_boss_defeat_intro2_btn_0	Komm zurück, du fette Henne!
dialog_first_boss_defeat_intro2_txt	Bah! <color=yellow>Flatterjungz</color>, ihr habt <color=yellow>den Baron</color> im Stich gelassen, fliegt davon und wartet auf eure angemessene aber gerechte Strafe! Machen wir, dass wir hier wegkommen!\n
dialog_first_boss_defeat_intro_txt	*kräää-hä-hääächz* Wie kann sie bloß so <color=yellow>stark</color> sein?!? Sie kämpft ja fast wie … nein! <color=yellow>Nein, das kann nicht sein</color>, oder vielleicht doch? Unmöglich! Sie ist was Besonderes, aber du bist bloß ein Grünschnabel!\n
dialog_first_boss_intro_ending_defense_txt	Ach wirklich? *kräää-hähä-HÄÄÄCHZ* Niemand schlägt <color=yellow>den Baron</color>, weder heute noch an einem anderen Tag! <color=red>Los gehts!</color>\n
dialog_first_boss_intro_ending_offense_txt	*KRÄCHZ* BOAH DER TEPPICH IS JA DER HAMMER! DER THRONSAAL IST ECHT DER HAMMER! <color=yellow>DER BARON WEIẞ WIRKLICH, WIE MAN EIN NEST DEKORIERT!</color>\n
dialog_first_boss_intro_ending_spirit_txt	Dieser kleine rosa Mund spuckt ja ganz schön große Worte aus! *kräää-hähä-HÄÄÄCHZ* Der Baron wird dir gleich den <color=red>Mund damit stopfen</color>!\n
dialog_first_boss_intro_intro2_btn_0	Wer glaubst du eigentlich, dass du bist?!?
dialog_first_boss_intro_intro2_btn_1	Das hört sich gar nicht gut an …
dialog_first_boss_intro_intro2_btn_2	Anscheinend habe ich ein paar Störenfriede gefunden!
dialog_first_boss_intro_intro2_txt	Und dann, wenn ich meinen Schnabel endlich um den Hals dieser Katie Twinkles lege, dann … <color=red>hey</color>!\n
dialog_first_boss_intro_intro_txt	… direkt hinter der Baumgrenze. Wenn ich das Signal gebe, kommst du dazu und machst Randale!\n\nAls erstes haust du die <color=yellow>doofe Schildkröte</color> auf ihren Panzer. Das wird alle genug schockieren, damit der Rest von uns diesen <color=yellow>nervtötenden Affen</color> fesseln und seinen Tresor zum Nest bringen können.\n\n
dialog_first_boss_intro_opening_response_a_btn_0	Ich lasse nicht zu, dass ihr meinen Freunden weh tut!
dialog_first_boss_intro_opening_response_a_btn_1	Weder du noch sonst was in Tangledeep kann mich aufhalten!
dialog_first_boss_intro_opening_response_a_btn_2	Ich werde dich in noch kleinere Stücke zerfetzen als diesen billigen Teppich!
dialog_first_boss_intro_opening_response_a_txt	Ha! Ich bin der Vogel, der sich an all deinen Schätzen bedienen wird und ihn sich dann mit seinen <color=yellow>Bird Boyz</color> teilt, weil <color=yellow>Baron Schmutzschnabel</color> so unglaublich nett und großzügig ist.\n\nUnd dann? Dann benutzen wir die besten Sachen dazu, die ganzen Trottel in <color=yellow>Windbach</color> zu vermöbeln, weil sie denken, dass sie besser sind als wie wir!\n
dialog_first_boss_intro_opening_response_b_txt	Schaut mal, <color=yellow>Flatterjungz</color>, es sieht so aus, als ob etwas Kleines und Leckeres in den falschen herrlichen Thronsaal gewandert ist. Ich bekomme ihre besten Schätze, aber ich teile mit euch, weil <color=yellow>Baron Schmutzschnabel</color> ja nett und großzügig ist.\n\nWärmen wir uns mit diesem Frühschlüpfer auf, bevor wir es den Trotteln in <color=yellow>Windbach</color> endlich zeigen\n
dialog_first_boss_intro_opening_response_c_txt	Ha! Alles, was du dir eingefangen hast, <color=red>ist ein Schnabel voller Prügel</color>!\n\nAuf gehts, <color=yellow>Bird Boyz</color>, erleichtern wir diese Möchtegernheldin um ihre Schätze und lassen sie dann irgendwo liegen. Wenn du hart arbeitest, darfst du sogar ein bisschen davon behalten, denn <color=yellow>Baron Schmutzschnabel</color> ist nun mal ein großzügiger Vogel.\n\nSobald wir mit diesem Müll fertig sind, fliegen wir nach <color=yellow>Windbach</color> und geben diesen selbstgefälligen Nichtsnutzen das, was sie verdienen!\n
dialog_first_boss_wounded_intro_btn_0	Ich wärme mich gerade erst auf!
dialog_first_boss_wounded_intro_txt	Dieser Wurm zappelt doch mehr, als ich dachte! Jetzt gehts zur Sache, <color=yellow>Flatterjungz</color>, zeigen wir dieser Made mal, wer in der Torhöhe das sagen hat!\n
dialog_firsttime_keysetup	<color=#0cffe6>ERSTEINSTELLUNG</color>\n\nBitte wähle deinen bevorzugten <color=yellow>Eingabestil</color>.\n(Das kann später geändert und angepasst werden.)\n\nGamepads werden automatisch gefunden und sind sofort einsatzbereit!\n
dialog_flask1_upgrade_main_btn_0	<color=#40b843>Teeblatt</color>: Stellt mit jedem Zug 3 Ausdauer und Energie wiederher, solange die Flasche aktiv ist.
dialog_flask1_upgrade_main_txt	Du hast <color=yellow>Stufe 5</color> erreicht und erhältst dafür einen <color=#40b843>Flaschenaufguss</color>!\nWelchen möchtest du haben?\n
dialog_flask2_upgrade_main_btn_1	<color=#0cffe6>Basilikum</color>: Heilt zusätzliche +1.2 CT der max. Gesundheit, solange die Flasche aktiv ist.
dialog_flask2_upgrade_main_txt	Du hast <color=yellow>Stufe 10</color> erreicht und erhältst dafür einen neuen <color=#40b843>Flaschenaufguss</color>!\nWelchen möchtest du haben?\n
dialog_flask3_upgrade_main_btn_1	<color=yellow>Grüner Apfel</color>: Erhöht Ausweichchance um 15 %, solange Flasche aktiv ist.
dialog_flask3_upgrade_main_txt	Du hast <color=yellow>Stufe 15</color> erreicht und erhältst dafür einen neuen <color=#40b843>Flaschenaufguss</color>!\nWelchen möchtest du haben?\n
dialog_floraconda_cooking_main_txt	Expedition, Tag 15 Die Vorräte gehen mir aus, ich habe fast kein Essen mehr … Halb am Verhungern habe ich versucht, diese saftig aussehende Ranke in einem Topf zu kochen.\n\nEin Riesenfehler! Wie sich herausstellt, war das eine zusammengerollte <color=#40b843>Floraconda</color>.\n\nIch hatte schon geglaubt, dass ich so gut wie erledigt bin, aber dann habe ich ihr mit meinem guten alten Kochlöffel eins auf die Nuss gegeben. Wie sich herausstellt, schmeckt Floraconda alles andere als gut. Nicht der Mühe wert.\n\n<color=#0cffe6> – Sue Veed</color>\n
dialog_flow_snowmachine_first_shard_btn_0	Splitter in Gerät einsetzen
dialog_flow_snowmachine_first_shard_btn_1	Später vielleicht
dialog_flow_snowmachine_first_shard_txt	Das Gerät scheint auf den <color=yellow>feuerroten Splitter</color> zu reagieren, den ich gefunden habe.\n
dialog_flow_snowmachine_intro_txt	Was für ein komisches Gerät … Dieser <color=yellow>eingefrorene Wissenschaftler</color> muss es wohl verwendet haben … Doch anscheinend ist <color=yellow>die Batterie fast leer</color>.\n
dialog_flow_snowmachine_need_shards_txt	Das Gerät ist inaktiv. Ich sollte wohl besser noch mehr <color=red>Feuersplitter</color> finden.\n
dialog_foodcart_intro_explain2_txt	<color=yellow>LANGDON:</color> Ja logo.\n\n…\n\n<color=#40b843>*quak*</color>\n\n
dialog_foodcart_intro_explain_btn_0	Du, äh, hast dir das wirklich durch den Kopf gehen lassen.
dialog_foodcart_intro_explain_txt	<color=yellow>LANGDON:</color> Dieser <color=yellow>Nando</color> oder wie der heißt tut Essen und so verkaufen, oder? Also du hast hier einen <color=#40b843>*quak*</color> Baum, auf dem Früchte wachsen tun. Wahrscheinlich.\n\nIch bereite eine <color=yellow>Schmauskarre</color> vor und du kannst mir <color=yellow>Essen geben</color>, das ich drauf tun kann. Und tun wir uns den <color=#40b843>*Quawinn*</color> teilen. Ganz einfach.\n
dialog_foodcart_intro_main_btn_0	Was sagst du?
dialog_foodcart_intro_main_txt	<color=yellow>LANGDON:</color> Heda! Nur dass du es weißt, einer deiner <color=#40b843>Bäume</color> ist schon ganz <color=#40b843>*quak*</color> ausgewachsen. Hast du dir schon mal überlegt, ein paar der Früchte gegen einen Gewinn eintauschen zu tun?\n\nIch könnte <color=#40b843>*quak*</color> das für dich erledigen.\n
dialog_found_quest_herb_branch_0_txt	Das sieht wie diese besonderen <color=#40b843>Kräuter</color> aus, nach denen dieser arrogante Kerl gesucht hat. Dann bringe ich es ihm mal lieber! Vielleicht werde ich diesmal auch nicht angeschrien.\n\n
dialog_friendlybandit1_branch1_btn_0	Das mache ich gerne
dialog_friendlybandit1_branch1_txt	<color=yellow>BEZO</color>: Ich hoffe, das ist kein zu großer Gefallen, aber würdest du jemandem bitte einen Brief von mir geben?\n\nEs ist für, also … eine schöne Frau … und ich kann das nicht wirklich selbst machen, weißt du?\n\nDas wäre ja peinlich.\n
dialog_friendlybandit1_completed_txt	<color=yellow>BEZO</color>: Danke noch mal, dass du meinen Brief zugestellt hast!\n
dialog_friendlybandit1_duringquest2_btn_0	Also weißt du …
dialog_friendlybandit1_duringquest2_txt	<color=yellow>BEZO</color>: Da bist du ja wieder! Ich war die ganze Zeit, als du weg warst, total nervös! Was hat sie gesagt?\n
dialog_friendlybandit1_duringquest3_txt	<color=yellow>BEZO</color>: Oh … mein Geldbeutel? Ich dachte, ich hätte ihn an dem Tag verloren, an dem ich sie zum ersten Mal gesehen habe.\n\nAber viel wichtiger ist, dass sie mir eine Chance geben will! Einfach wird es nicht, aber ich finde schon, dass <color=yellow>Liebe etwas Anstrengung wert ist</color>.\n
dialog_friendlybandit1_duringquest4_txt	<color=yellow>BEZO</color>: Sie ist keine schlechte Person, sie hat es nur gerade nicht leicht …\n\nAber zusammen werden wir das schon überwinden. Wir werden keine <color=yellow>Waffen</color> mehr brauchen.\n\nHier, nimm das, bitte. Das ist das Mindeste, was ich für dich tun kann!\n
dialog_friendlybandit1_duringquest_txt	<color=yellow>BEZO</color>: Hast du <color=yellow>meinen Brief schon zugestellt</color>? Die tolle Frau ist <color=yellow>zwei Ebenen über uns</color>.\n
dialog_friendlybandit1_givequest_txt	<color=yellow>BEZO</color>: Ah! Wenn du jetzt losgehst, solltest du sie <color=yellow>zwei Ebenen über uns</color> finden.\n\nGib ihr einfach den Brief und lass mich dann wissen, was sie gesagt hat.\n
dialog_friendlybandit1_main_btn_0	Was ist denn los?
dialog_friendlybandit1_main_txt	<color=yellow>BEZO</color>: Verzeihung, bist du zufälligerweise ein Abenteurer?\n
dialog_friendshipforest_bossmon_main_txt	Puh Das waren die letzten. Jetzt würde ich nur noch gern wissen, wo diese Rosenblüten sind …\n\n…\n\nMoment mal, was ist denn das für ein Geräusch?\n
dialog_fun_sat_dirtbeakthrone_main_txt	<color=yellow>Wie gemütlich!</color>\n\nSorry, Flatterjungz. Der gehört jetzt mir.\n\n
dialog_functest_01_intro_btn_0	Das hört sich gerade etwas stressig an
dialog_functest_01_intro_txt	^$isjob:brigand:You are a Brigand!:You are not a Brigand$^\n^$isnotjob:husyn,hunter:You are not a HuSyn or Hunter!:You are a HuSyn or Hunter!$^\n\n^$vargt:ancientcube,1:You've activated the Dreamcaster!:You have not activated the Dreamcaster.$^\n
dialog_gameover_ko_main_txt	^tag1^
dialog_gamingjelly_intro_btn_0	Echsjack spielen
dialog_gamingjelly_intro_btn_1	4-5-blubb spielen
dialog_gamingjelly_intro_txt	<color=yellow>ZOCKERSCHLEIM</color>: Hallo. Möchtest du dein Glück gegen das Haus in einem unserer fabelhaften Tischspiele versuchen?\n
dialog_gamingjelly_placebets_btn_0	100 G einsetzen (1 Marke gewinnen)
dialog_gamingjelly_placebets_btn_1	1.000 G einsetzen (10 Marken gewinnen)
dialog_gamingjelly_placebets_btn_2	10.000 G einsetzen (100 Marken gewinnen)
dialog_gamingjelly_placebets_txt	Wie hoch ist dein Einsatz? Je höher dein Einsatz, desto höher dein <color=yellow>Gewinn</color> an <color=#40b843>Spielmarken</color>.\n
dialog_goldfrog_gold_mine_main_txt	Angeblich gibt es keinen besseren Weg, ganz schnell stinkreich zu werden, als sich einen <color=yellow>Goldfrosch</color> an Land zu ziehen. Das Problem ist aber, dass <color=yellow>Goldfrösche</color> verdammt schnell sind und sich aus dem Staub machen, sobald sie einen sehen.\n\nAber ich hatte eine Idee: Ich suche mir einfach ein Junges und sperre es in einen Käfig, bis es groß und voller Gold ist. Ich habe einen gefunden, der gerade frisch geschlüpft war, aber das kleine Kerlchen war einfach <color=yellow>so verdammt süß</color> … der hat noch nicht mal geglitzert.\n\nIch ziehe diesen Racker jetzt schon seit Ewigkeiten groß, und ich kann nicht mal den Gedanken ertragen, ihn gehen zu lassen. Er bringt mir mehr Freude, als alles Gold der Welt jemals könnte.\n\n<color=#0cffe6> – Jeffery Biddle</color>\n
dialog_goldfrog_info2_btn_0	Cool, kann ich etwas Gold haben?
dialog_goldfrog_info2_txt	<color=yellow>GOLDFROSCH</color>: Quaaaaaaaaaak.\n\n<color=#0cffe6>(Das Glück war mir an jenem Tag hold.)</color>\n\n<color=#0cffe6>(Nun bin ich ein Wanderer, so wie du.)</color>\n
dialog_goldfrog_info3_txt	<color=yellow>GOLDFROSCH</color>: Quak? Quak. Qua qua.\n\n<color=#0cffe6>(Verdammt sei er, dieser güldene Körper! Er ist mir seit jeher ein Ärgernis.)</color>\n\n<color=#0cffe6>(Er wird mich nicht länger in Fesseln gefangen halten.)</color>\n
dialog_goldfrog_info_btn_0	Das ist ja unglaublich.
dialog_goldfrog_info_txt	<color=yellow>GOLDFROSCH</color>: Quak. Qua-ak. Quaaaak. Qua. Aak.\n\n<color=#0cffe6>(Unzählige Zyklen lang habe ich mich danach gesehnt, dem Labyrinth eines vergessenen Gegenstandstraumes zu entfliehen.)</color>\n\n<color=#0cffe6>(Ich bin durch ein Portal gestolpert und habe mich in Tangledeep wiedergefunden.)</color>\n
dialog_goldfrog_intro_btn_0	Boah, was machst du denn da?
dialog_goldfrog_intro_txt	<color=yellow>GOLDFROSCH</color>: Quak quak.\n\n<color=#0cffe6>(Bitte … lass mich in Ruhe. Es ist so friedlich hier.)</color>\n
dialog_grove_harvest	Seit deinem letzten Besuch haben deine Bäume <color=yellow>^tag1^</color> Früchte abgeworfen. Möchtest du <color=#0cffe6>alle Gegenstände</color> sofort in dein Inventar übertragen?\n
dialog_grovetree_intro_btn_0	Einen Grünenden Obststock pflanzen
dialog_grovetree_intro_btn_1	Einen Mächtigen Kornschatten pflanzen
dialog_grovetree_intro_btn_2	Einen Blühenden Würzhain pflanzen
dialog_grovetree_intro_btn_3	Einen Glänzenden Funkelhorn pflanzen
dialog_grovetree_intro_txt	Dies sieht nach einem perfekten Ort aus, um einen <color=#40b843>Baum zu pflanzen</color>.\n
dialog_grovetreeharvest_intro_btn_0	Auflesen
dialog_grovetreeharvest_intro_btn_1	Liegen lassen
dialog_grovetreeharvest_intro_txt	Deine Bäume haben Früchte getragen!\n
dialog_halfdemon_campfire_concerned2_btn_1	Nein, danke
dialog_halfdemon_campfire_concerned2_txt	<color=yellow>CYRUS</color>: Der Trank macht einen, sagen wir mal, den Bewohnern von Tangledeep gegenüber <color=red>attraktiver</color>.\n\nNatürlich hält dieser Effekt nur <color=yellow>vorübergehend</color> an. Und mit deinen <color=#40b843>verschärften Kampfertigkeiten</color> dürftest du keine Probleme haben, mit ihnen fertig zu werden.\n\nAlso, was sagst du?\n
dialog_halfdemon_campfire_concerned_btn_0	Und der Haken?
