abil_skill_acidburstclose_name	酸の炸裂
des_obj_playersquare_dname	自分のマス
des_obj_playertpsquare_dname	テレポート地点
des_obj_pot1_dname	土のツボ
des_obj_pot2_dname	土のツボ
des_obj_regenfountain_dname	魔法の泉
des_obj_regenquestobject_dname	再生の水晶
des_obj_shelves_dname	たな
des_obj_shinymetalchest_dname	キラキラの金属の宝箱
des_obj_shinymetalorb_dname	キラキラの金属のオーブ
des_obj_shrapnelbomb_dname	義賊の爆弾
des_obj_sleeptrap_dname	眠りのわな
des_obj_sludge_dname	ヘドロ
des_obj_smallmetalchest_dname	金属の宝箱（小）
des_obj_smallwoodenchest_dname	木の宝箱（小）
des_obj_smallwoodencrate_dname	木箱（小）
des_obj_ss_evokefire_dname	物質化した火
des_obj_ss_evokeice_dname	物質化した氷
des_obj_superchest_dname	宝箱（特大）
des_obj_techcube_dname	謎のキューブ
des_obj_testtubes_dname	試験管
des_obj_townkitchen_dname	ナンドの厨房
des_obj_treasuresparkle_dname	きらめくお宝
des_obj_unbreakablefrozen_1_dname	割れない氷
des_obj_voidtile_dname	死の常闇
des_obj_woodtable_dname	木のテーブル
des_powerup_discipline_permanent_dname	規律のオーブ
des_powerup_guile_permanent_dname	才知のオーブ
des_powerup_spirit_permanent_dname	精神のオーブ
des_powerup_strength_permanent_dname	筋力のオーブ
des_powerup_swiftness_permanent_dname	俊敏のオーブ
des_quest_magical_herb2_dname	強化マジックハーブ
des_quest_magical_herb_dname	マジックハーブ
desc_battle_power	攻撃や多くのスキルで与えられる、基本ダメージを表します。
desc_block_chance	敵からの攻撃をブロックする確率を表します。通常は盾が必要です。一部の特殊攻撃はブロックできません。
desc_boost_alldamage	あらゆる攻撃、状態異常、スキルから生じるダメージがこの割合だけ上昇します。この効果は、個々の元素ダメージボーナスに追加されます。
desc_boost_alldefense	あらゆる発生源のあらゆるダメージへの耐性が、この割合だけ上昇します。この効果は、個々の元素耐性に追加されます。
desc_champs_killed	#heroname#が戦いで倒した、チャンピオン系の敵の数です。
desc_chargetime	毎ターン追加されるチャージタイム(CT）量です。ゲージが100になると、敵は動けないフリーターンを獲得します。
desc_crit_damage	クリティカルヒット時に与える追加ダメージを表します。
desc_critical_chance	通常の物理攻撃で追加ダメージを与える確率です。武器によっては追加効果が付与されます。
desc_days_passed	現在のキャンペーンの開始時から経過した、ゲーム内での日数です。リヴァーストーン村の多くの店や果樹園は、経過日数に応じて状況が変化します。
desc_defeated_actor	あなたは<color=yellow>^tag2^</color>で、<color=#0cffe6>^tag1^</color>によって<color=red>倒されました</color>
desc_die_adventuremode	気を失っている間に、あなたは<color=yellow>^tag1^</color>G、<color=#40b843>所持JP</color>の半分、次のレベルまでの<color=#0cffe6>獲得XP</color>の半分を失いました。
desc_died_championsdefeated	倒したチャンピオン: <color=yellow>^tag1^</color>
desc_died_check_log	<color=yellow>バトルログ</color>を見返して、あなたの冒険が終わった状況を確認しましょう！
desc_died_hardcore	<color=yellow>^tag1^</color>はタングルディープで消息を絶ち、二度と姿を見せなかった。あなたの冒険は<color=red>忘れられてしまった</color>。
desc_died_heroic	<color=yellow>^tag1^</color>はタングルディープで消息を絶ったが、その記憶だけは生き続けるだろう。
desc_died_highestfloor	最高到達フロア: <color=yellow>^tag1^</color>
desc_died_joblevel	あなたのジョブとレベル: <color=yellow>^tag1^</color>、レベル <color=yellow>^tag2^</color>
desc_died_monstersdefeated	倒したモンスター: <color=yellow>^tag1^</color>
desc_died_numhealingitems	あなたはリュックの中に<color=red>^tag1^</color>個の回復アイテムを持っていながら、力尽きました。
desc_died_stepstaken	歩数: <color=yellow>^tag1^</color>
desc_dodge_chance	敵からの攻撃をよけ、全ダメージを回避する確率を表します。特殊攻撃に対しては、回避率が半減します。
desc_dreamitem	モノの夢を出ると消滅する。
desc_dualwield_penalty	二刀流ペナルティ
desc_element_fire	火#elementicon#との調和を表し、この値に応じて火ダメージが軽減、追加されます。火#elementicon#ダメージは通常、スキルや魔力を帯びた武器によって発生します。
desc_element_lightning	雷#elementicon#との調和を表し、この値に応じて雷ダメージが軽減、追加されます。雷#elementicon#ダメージは通常、スキルや魔力を帯びた武器から発生します。
desc_element_physical	追加で物理#elementicon#ダメージを与えたり、物理ダメージに耐えたりする能力です。物理#elementicon#ダメージは通常、武器、爪、牙などによって発生します。
desc_element_poison	毒#elementicon#との調和を表し、この値に応じて毒ダメージが軽減、追加されます。毒#elementicon#ダメージは通常、スキルや魔力を帯びた武器から発生します。
desc_element_shadow	影#elementicon#との調和を表し、この値に応じて影ダメージが軽減、追加されます。影#elementicon#ダメージは通常、スキルや魔力を帯びた武器から発生します。
desc_element_water	水#elementicon#との調和を表し、この値に応じて水ダメージが軽減、追加されます。水#elementicon#ダメージは通常、スキルや魔力を帯びた武器から発生します。
desc_energy	大半の元素系や魔法系スキルの発動に消費します。食べ物やポーション、敵が落とす回復玉で回復できます。
desc_favorite_job	#heroname#が気に入っているジョブです。プレイヤーの選択に準じます。
desc_grants_skill	スキルを習得: ^tag1^
desc_health	戦いで負った傷に耐える力を表します。ゼロになると、あなたの冒険は終了します。
desc_health_ironman	戦いで負った傷に耐える力を表します。ゼロになるとあなたの冒険とキャンペーンは終了します。
desc_health_softcore	戦いで負った傷に耐える力を表します。ゼロになると意識を失い、リヴァーストーン村へ戻されます。
desc_highest_floor	#heroname#がタングルディープを探検中に到達した、最上階です。
desc_highest_floor_ever	現在のキャンペーンにて、冒険者が今までに探検した最上階です。
desc_inherit_weapelement	武器の元素属性が適用される。
desc_knockout_actor	あなたは<color=yellow>^tag2^</color>で、<color=#0cffe6>^tag1^</color>によって<color=red>気を失いました</color>
desc_monsters_killed	#heroname#が戦いで倒した敵の数です。
desc_pandora_boxes	#heroname#が開けたパンドラの箱の数です。この箱を開けるたび、タングルディープ内で得られるお宝の質がわずかに上昇しますが、あらゆる敵が強くなります。
desc_parry	近接攻撃を武器でもって受け流し、全ダメージを回避する確率を表します。<color=#0cffe6>遠隔攻撃</color>に対しては、この確率が<color=yellow>半減</color>します。一部の特殊攻撃は受け流せません。
desc_playtime	今回のキャンペーンの総プレイ時間です。
desc_powerup_drop	敵が回復玉を落とす基本的な確率です。弱い敵ほど確率が下がります。回復玉を拾うと、瞬時にエナジーやスタミナが回復します。
desc_simple_upperyes	はい！
desc_single_upperno	いいえ！
desc_snackbag	<color=#40b843>回復用の食べ物</color>と<color=#0cffe6>ポーション</color>をすべて表示します。
desc_spirit_power	多くのスキルや状態異常で与えられる、基本ダメージを表します。
desc_stamina	大半の物理系や移動系スキルの発動に消費します。食べ物やポーション、敵が落とす回復玉で回復できます。
desc_steps_taken	#heroname#が冒険中に歩いたマスの数です。
desc_total_characters	あなたが今回のキャンペーンで作成した、冒険者の合計数です。
desc_unarmed_attack1	連続パンチ
desc_unarmed_attack2	だめ押しキック
desc_weaponproperty_2handed	両手持ち
desc_weaponproperty_projectile	飛び道具
desc_weaponproperty_range	射程
description_escapeportal	#cy#^tag2^#ec#ターンかけてテレポートし、出発地点の村へ戻ります。\n\nもう一度使うとキャンセルできます。
description_experience	次のレベルに必要な経験値の獲得状況。レベルが上がると能力値やダメージ、防御力が強化され、さらにライフ、スタミナ、エナジーもフル回復する。
description_healingflask	#cy#^tag3^#ec#ターンかけて#cg#^tag2^#ec# HPを回復。魔法の泉を見つけると補充されます。
description_map	現在のフロアの簡素なマップを表示します。
description_warptoentrance	このサイドエリアの入口へ戻る。
dialog_adjust_quantity_main_btn_0	決定
dialog_adjust_quantity_main_btn_1	キャンセル
dialog_adjust_quantity_main_txt	何個の<color=yellow>^tag1^</color>を<color=#0cffe6>^tag2^</color>？
dialog_alderwyn_part_1_main_txt	<size=50>不穏な平和</size>\n\n何か月もかかったが、私はついにあの、愚かな<color=yellow>ダートビーク公爵</color>の信頼の輪に入ることができた。これでようやく<color=yellow>盗賊の砦</color>を安全に通過し、その先にあるものを見ることができる。\n\nわがすべての選択が立証され、わが犠牲が正当化される瞬間はもう目の前だ。ここまで来て、ことの重圧に押しつぶされてたまるか。\n\n心配はいらない。向こうから戻ったあかつきには、私は盗賊どもに<color=yellow>復讐する</color>。奴らの数え切れない罪を償わせてやる...\n\n<color=#0cffe6>- アルダーウィン</color>
dialog_alderwyn_part_2_main_txt	<size=50>事実と数字</size>\n\n思ったよりも計画が遅れているが、私はこの先も、<color=yellow>ダートビーク公爵</color>の頼れる物資調達官であり続けよう。\n\n公爵はちょろいボスだ。すぐに喜ぶ。なぜならあいつは在庫記録簿に書いてあることを、何ひとつ読むことができない。物資の山を指し、キラキラの赤いペンで羊皮紙の上に丸を書いてやれば、それだけで納得する。そうやって...私は富を得た。このバカ鳥から物資をくすねることはやめられない。\n\n<color=#0cffe6>- アルダーウィン</color>
dialog_alderwyn_part_3_main_txt	<size=50>大一番</size>\n\nついに来た。<color=yellow>ダートビーク公爵</color>がわが巧妙なる手にかかって、敗北を喫する時は近い！\n\n公爵は私のことを愉快なチャンピオンだとみなし、一番儲かる襲撃に私を誘った。今夜、公爵にこう言われたのだ。今から一緒に司令部へおもむき、公爵に多大な迷惑を及ぼしている新しい厄介者と戦ってほしいと。\n\nどうやら公爵は“<color=red>女大将</color>”から強力な新兵器を授かったらしく、今回の戦いで使用する算段のようだ。そこで私は戦いの混乱に乗じてこの武器を奪い、公爵をぶっ倒してやろうと思う。この厄介者と、私のジャマをするすべての者たちと一緒にな！\n\n<color=#0cffe6>- アルダーウィン</color>
dialog_archermerchant_dungeon_intro_txt	<color=yellow>ランド:</color> <color=yellow>弓で矢を撃てる</color>って知ってたかい？試しにひとつ買ってみて、自分の目で確かめたらどうだい？\n
dialog_armor_walking_1_main_txt	<size=50>奇妙な鎧に関する手記（その1）</size>\n\n今日、崩落地点のガレキを引っかき回してたら、意外な発見があった。多くの修羅場をくぐってきたと思しき、くたびれた、古い鎧一式が見つかったのだ。一日の大部分を費やして鎧を掘り出した今、こう言わざるを得ない。こいつは故郷で売ってるようなものとは、似ても似つかない鎧だと。\n\nそして、中から哀れな魂は見つからなかった。どっちが前だか後ろだから分からない、ピカピカの何かがいくつか入っていただけだ。そいつを取り出したあとなら、自分でも十分着込めそうだった。しかし、こいつは一体どこから来たんだ？\n\n明日また戻ってきて、もっと詳しく調べてみよう。\n\n<color=#0cffe6> - ゼファイア・アースランド</color>\n
dialog_armor_walking_2_main_txt	<size=50>奇妙な鎧に関する手記（その2）</size>\n\nどうやら、例の奇妙な鎧の出どころが分かった。崩落場所のガレキを片づけたら、一本の通路が見つかった。たどっていくと、そこには窓はあるが入口が見当たらない、金属の建物が立っていた。\n\n中をのぞくと、似たような鎧がいくつもあって...勝手に歩き回っていたんだ！ウソじゃない。私は一目散に村まで駆け戻った。しかし、どうも落ち着かない。彼らはいつからあそこにいる？そして何を企んでいるんだ？\n\n私だって恐ろしいが、あそこへ戻らなければならない。どうにか中へ入り込めないものか。\n\n<color=#0cffe6> - ゼファイア・アースランド</color>\n
dialog_armor_walking_3_main_txt	<size=50>奇妙な鎧に関する手記（その3）</size>\n\nあいつら、まんまと引っかかったぞ！例のオンボロ鎧を着込んでみたら、目の前にドアが現れたのだ。見てくれはボロボロでも、他の歩く鎧たちは仲間に見えているようだった。\n\nはっきり言えるのは、この“鋼鉄人”たちは極めて独立心が強く、必要な時しか関わり合わないということだ。私は余計なことは一切せず、自分に注意が集まるのを避けた。\n\nそれでも、彼らがこうも組織立っているのはなぜだろうか。本当の責任者は誰なのだ？\n\n<color=#0cffe6> - ゼファイア・アースランド</color>\n
dialog_armor_walking_4_main_txt	<size=50>奇妙な鎧に関する手記（その4）</size>\n\nああ、やっちまった！鋼鉄人たちと一緒にガチャガチャ歩いていたら、くしゃみを我慢できなかった。くしゃみをした瞬間、彼らは私に向かって変な音を鳴らしはじめた。\n\n私がどう応じていいか分からず、まごまごしていたから、彼らは私を持ち上げて、ある種のゴミ捨てシュートへ放り込んだ。かろうじて危機を脱することができた！\n\n変装はゴミ山に置いてくしかなかったが、正直せいせいした。あの鋼鉄人の謎は、他の誰かが解明してくれるにちがいない。\n\n<color=#0cffe6> - ゼファイア・アースランド</color>\n
dialog_armormaster_chat_describe_masteries_btn_0	<color=yellow>ライトアーマーの奥義</color>を学ぶ
dialog_armormaster_chat_describe_masteries_btn_1	<color=#0cffe6>ミディアムアーマーの奥義</color>を学ぶ
dialog_armormaster_chat_describe_masteries_btn_2	<color=#ffc80a>ヘビーアーマーの奥義</color>を学ぶ
dialog_armormaster_chat_describe_masteries_txt	<color=yellow>ジョリト</color>: <color=yellow>ライトアーマーの奥義</color>は移動系スキルのクールダウンが1ターン、短縮される。\n\n<color=#0cffe6>ミディアムアーマーの奥義</color>は<color=#40b843>俊敏の値</color>に応じて、攻撃の回避率が<color=#40b843>10%</color>まで上昇する。\n\n<color=#ffc80a>ヘビーアーマーの奥義</color>は経験レベルごとに1ポイント、受ける元素ダメージが減少する。\n
dialog_armormaster_chat_explain1_btn_0	ええ、身を守る術は必要よ
dialog_armormaster_chat_explain1_txt	<color=yellow>ジョリト</color>: いかにも。<color=red>精霊たち</color>は強大な敵であり、それがしは彼らと戦う中で、多くの<color=yellow>奥義の道</color>を歩んできた。\n\nそなたの目を見れば分かる。冒険の一助とすべく、<color=yellow>そうした技を求めている</color>のだな？\n
dialog_armormaster_chat_explain2_btn_1	すぐに戻るわ！
dialog_armormaster_chat_explain2_txt	<color=yellow>ジョリト</color>: そなたが<color=#40b843>己の身を守りたい</color>と知って安心した。それこそが、<color=yellow>防具の奥義へと至る道</color>で学べることだからだ。\n\nそなたが<color=yellow>この岩窟の最上階へ到達し</color>、そこで待ち受ける精霊たちを倒してきたら、続きを話そう。\n
dialog_armormaster_chat_intro2_txt	<color=yellow>ジョリト</color>: この岩窟の最上階にいる<color=red>精霊たち</color>を倒したら、戻ってこい。 <color=yellow>防具の奥義</color>について教えてやろう。\n
dialog_armormaster_chat_intro3_txt	<color=yellow>ジョリト</color>: ほほう、勝ったか。それがしの期待に応えてみせたな。\n\n今ならそなたに<color=yellow>防具の奥義</color>を授けてもよかろう。特定のタイプの防具を装備中に効果を発する、<color=yellow>パッシブ型のスキル</color>だ。\n\n今のところは<color=yellow>奥義を1つだけ</color>、そなたに教えることができる。説明をよく聞いて考えるとよいぞ。\n
dialog_armormaster_chat_intro4_btn_1	ありがとう
dialog_armormaster_chat_intro4_txt	<color=yellow>ジョリト</color>: それがしの技が戦いに役立つとはいえ、使命とは己の力と信念によってのみ達成されるもの。\n\nそなたの探し物が見つかるとよいな、#heroname#よ。\n
dialog_armormaster_chat_intro_btn_0	ここで訓練を？
dialog_armormaster_chat_intro_txt	<color=yellow>ジョリト</color>: ようこそ、勇敢なる戦士よ。\n\nこの地には太古の荒ぶる<color=red>魂</color>が数多く眠っている。<color=yellow>肉体</color>と<color=#0cffe6>フロウ</color>の絆を育む上では理想的な場所だ。\n
dialog_armormerchant_dungeon_intro_txt	<color=yellow>アルマンド:</color> 防具は間に合ってるかい？\n
dialog_banker_town_ask_expand_storage_btn_0	いえ、結構よ
dialog_banker_town_ask_expand_storage_btn_1	そうね、拡張して
dialog_banker_town_ask_expand_storage_btn_2	ほかのことを...
dialog_banker_town_ask_expand_storage_txt	<color=yellow>W.R.チンパートン3世:</color> お客様のアイテム保管数を喜んで、<color=yellow>^tag1^個</color>から<color=yellow>^tag2^個</color>へ増やして差し上げましょう。\n\nこのサービスには<color=yellow>^tag3^ G</color>のわずかな手数料が発生します。<color=#40b843>リヴァーストーン村いち優秀な保管庫</color>にて、アイテムの安全性が保証されるのであれば、お安い投資だとは思いませんか？\n
dialog_banker_town_bankerinfo_txt	<color=yellow>W.R.チンパートン3世:</color> 当行ではお客様のアイテムを<color=yellow>^tag1^個</color>まで、<color=yellow>お金</color>については幾らでもお預かりすることができます。<color=yellow>保管料</color>がかかりますが、<color=yellow>お引き出しは無料</color>ですぞ。\n\n当行に預けておけば、お客様のアイテムとお金は<color=yellow>安全に保管</color>され、<color=yellow>お客様</color>の身に万が一のことがあった場合も、心配はいりません。お客様の愛他的精神に基づき、<color=yellow>未来の冒険者の皆様</color>がお使いになることができましょう。\n\nもう使わなくなった<color=yellow>強力な武器や防具</color>をお持ちでしたら、当行に預けてはいかがでしょう？\n\n（#cy#他のセーブスロット#ec#からでも引き出せます。）\n
dialog_banker_town_bullion_btn_0	詳しく聞かせて...
dialog_banker_town_bullion_btn_6	またね
dialog_banker_town_bullion_list_info_btn_0	投資するわ！
dialog_banker_town_bullion_list_info_txt	<color=yellow>W.R.チンパートン3世:</color> どれどれ...現時点では<color=yellow>^tag1^</color>ゴールドまで、お客様の<color=yellow>ご預金</color>を投資に回すことができます。<color=yellow>金塊</color>をお渡し頂く<color=yellow>前に</color>、この預金額に達していることが望ましいでしょうな。\n\n投資が実を結ぶまでには<color=#40b843>^tag2^日</color>かかり、現時点では投資額に対して<color=#0cffe6>^tag3^%</color>のリターンが見込まれます。\n\n最大<color=yellow>^tag4^ G</color>の利益が得られるというわけですな！どうなさいますか、お客様？\n
dialog_banker_town_bullion_nointro_btn_0	儲かるってどのくらい？
dialog_banker_town_bullion_txt	<color=yellow>W.R.チンパートン3世:</color> おお！お客様がお持ちなのはもしや、<color=yellow>金塊</color>では？私に預けてくださるなら、<color=yellow>大きく儲けさせて</color>差し上げますぞ。\n\nこの私めが<color=#40b843>絶対の確信</color>をもって、好ましい配当を確保してみせましょう。\n
dialog_banker_town_bullioninfo_btn_1	考えておくわ
dialog_banker_town_bullioninfo_txt	<color=yellow>W.R.チンパートン3世:</color> 単純な話です。この<color=yellow>金塊</color>を着手金に、<color=yellow>お客様のご預金の一部</color>を短期の投資へお回しします。この間、お預けになったお金は<color=red>ご利用いただけません</color>。\n\nそして投資が実を結んだら、<color=yellow>ご投資金額</color>に<color=#40b843>利益</color>を上乗せしてお返しします。\n\nどちらにとっても損のないお話ですぞ。\n
dialog_banker_town_intro_btn_0	アイテムを預ける
dialog_banker_town_intro_btn_1	アイテムを引き出す
dialog_banker_town_intro_btn_2	容量を増やす
dialog_banker_town_intro_btn_3	お金を預ける
dialog_banker_town_intro_btn_4	お金を引き出す
dialog_banker_town_intro_btn_5	シャラって知ってる？
dialog_banker_town_intro_btn_6	預ける必要なんてあるの？
dialog_banker_town_intro_txt	<color=yellow>W.R.チンパートン3世:</color> 当<color=yellow>銀行</color>へようこそ！\n\n相場に沿った妥当な手数料をお支払い頂ければ、お客様の所持金とアイテムを安全に保管して差し上げます。どちらにとっても損のない取引でしょう？\n
dialog_banker_town_shara_convo1_txt	<color=yellow>W.R.チンパートン3世:</color> ふーむ、申し訳ない。そういったお名前の方は<color=red>存じ上げておりませんな</color>。\n\n過去に当行と取引された経験はあるかもしれませんが、財務状況を<color=yellow>秘とく</color>するため、偽名を使っていた可能性も考えられますゆえ。\n\nそうした行為は当行の健全性を損ないかねませんし、褒められたものではありませんが！\n
dialog_banker_town_shara_convo2_btn_0	気にしないで、あなたって正直なおサルさんね。
dialog_banker_town_shara_convo2_txt	<color=yellow>W.R.チンパートン3世:</color> とにかく<color=yellow>必要相当な注意義務</color>を履行しつつ、その方のお名前をご利用者名簿で照会してみましょう。見つかりしだい、ご連絡を差し上げますので。\n
dialog_beatboss2_intro_txt	ふう...<color=yellow>ダートビーク</color>が使ったあの装置って、ドリームキャスターと同じテクノロジーのように見えたわ。はるかに邪悪なタイプの。\n\n公爵にあれを持たせてはおけない。リヴァーストーンにどれだけの被害をもたらすか、想像がつかないもの。\n\n公爵を探さなきゃ。そして彼が何度も口にしていた<color=yellow>女大将</color>を。\n
dialog_bigmode_main_txt	<size=50>巨大化モード！</size>\n\nすべての魔物が<color=yellow>超巨大化した</color>！\n
dialog_blessingofmastery	技巧の祝福
dialog_blessingofpower	力の祝福
dialog_blessingofprotection	守りの祝福
dialog_blessingofwisdom	知性の祝福
dialog_bombmerchant_dungeon_intro_txt	<color=yellow>ベラク:</color> 剣や弓で戦うのはもう古い！これからは<color=yellow>当店自慢の爆弾</color>を、敵に向かってぶん投げれよいぞ！\n\nただし、取り扱いには注意せよ。自分にかすりでもしたら目も当てられんからな！痛いじゃすまんぞ。\n
dialog_buypetinsurance	ペット保険を買う
dialog_callout_grove_frog_text	今の音は何？#cy#リヴァーストーンの森#ec#で何かあったみたい。#cc#モンスター牧場#ec#のほうから聞こえたけど...\n\n確かめたほうがよさそう！\n\n
dialog_campfire_cooker_branch2_txt	<color=yellow>ラージャ</color>: 残念じゃが、ワシの得意料理のレシピはすべて教えた...\n\nゆっくり味わうがよいぞ！\n
dialog_campfire_cooker_learnarecipe_txt	<color=yellow>ラージャ</color>: ワシのお気に入りレシピをご覧あれい！\n\n
dialog_campfire_cooker_main_btn_0	もちろん！
dialog_campfire_cooker_main_btn_1	結構よ、食べ物は嫌い
dialog_campfire_cooker_main_txt	<color=yellow>ラージャ</color>: オーホホホ！これは旅のお方。<color=yellow>おぬしのような冒険者</color>は久しぶりに見るわい。\n\nワシは<color=#0cffe6>ラージャ・エンシェル</color>。つましき放浪のシェフじゃ。\n\nワシの得意レシピを2つ、知りたいかのう？\n
dialog_campfire_cooker_nothing_txt	<color=yellow>ラージャ</color>: ふむ...どうやらおぬしはワシよりも、料理に詳しいみたいじゃな！<color=red>教えることは何もないわ</color>。\n
dialog_campfire_robbed2_intro_txt	ヘンね、彼はどこへ行ったのかしら...？それにポッケがやけに軽いのはどうして？\n\n...ちょっと待って、お金が盗まれてる！\n
dialog_campfire_robbed_intro_txt	<color=yellow>ムグズモ</color>: ヘヘヘッ... <color=yellow>あの田舎モンを見ろよ</color>。赤ん坊みたいに眠りこけてやがら！\n\nさてさて...こんなチャンスを逃すわけにゃいかねえ...\n
dialog_campfirethief_branch2_txt	<color=yellow>ムグズモ</color>: 悪い話じゃねえだろ？しかもだ、オレが<color=yellow>先に見張りに立ってやる</color>。\n\nおまえさんは<color=yellow>たき火のそばでぐっすり眠りな</color>。\n
dialog_campfirethief_branch3_txt	<color=yellow>ムグズモ</color>: ぐっすり眠れたかい、お嬢さん？どうやら<color=yellow>お別れの時</color>が来たようだ。\n\nああ、それと昨晩の料理の<color=yellow>残りモノ</color>でよけりゃ、少し持ってきな。\n
dialog_campfirethief_branch4_txt	<color=yellow>ムグズモ</color>: 外では油断すんなよ。\n
dialog_campfirethief_intro_btn_0	わかった、いいわ
dialog_campfirethief_intro_btn_1	休憩は必要ないわ
dialog_campfirethief_intro_txt	<color=yellow>ムグズモ</color>: おい、この辺りは危険だぜ。ひとりで旅する場所じゃねえ。\n\nそれにおまえさん、疲れ切ってるじゃねえか。だったらこうしよう...\n\nおまえさんはここで休んでいきな。ただし、ふたりで<color=yellow>交代で見張りをすんのさ</color>。\n
dialog_captiveairacudas_intro_txt	<color=yellow>飼育下のアイラクーダ:</color> （ピチピチ跳ね回っている...）\n
dialog_captivecavestalker_intro_txt	<color=yellow>飼育下のケイヴストーカー:</color> カチカチッ、カチチッ。\n
dialog_captivefungaltoad_inquire2_btn_0	ゲコゲコ。
dialog_captivefungaltoad_inquire2_txt	<color=yellow>飼育下のきのこガエル:</color> ...\n\nゲコゲコ。\n
dialog_captivefungaltoad_inquire_btn_0	ゲコゲコ！！
dialog_captivefungaltoad_inquire_txt	<color=yellow>飼育下のきのこガエル:</color> ゲコゲコ？\n
dialog_captivefungaltoad_intro_btn_0	ゲコゲコ！
dialog_captivefungaltoad_intro_btn_1	ごめんね...
dialog_captivefungaltoad_intro_txt	<color=yellow>飼育下のきのこガエル:</color> ゲコゲコ？\n
dialog_captivegoliathbeetle_intro_txt	<color=yellow>飼育下のゴリアテビートル:</color> ココカラデタイヨウ...\n\nア、シマッタ...カチッ、カチカチッ...\n
dialog_captivegrottoflyer_intro_txt	<color=yellow>飼育下の洞くつバエ:</color> ブーン、ブーン...\n
dialog_captivejelly_intro_txt	<color=yellow>飼育下のモスジェリー:</color> ゴブグブ...\n
dialog_captivepanthox_intro_txt	<color=yellow>飼育下のパンスオックス:</color> ミャオーン...\n
dialog_captivesalamander_intro_txt	<color=yellow>飼育下の火トカゲ:</color> シューッ、シューッ...\n
dialog_casino1_helpgames_btn_3	ゲームで遊びたい！
dialog_casino1_info_rewards_txt	<color=yellow>ラウンジシャーク:</color> なあに、簡単さ。難しいことは一切ねえ。お嬢ちゃんは各ゲームに、<color=yellow>100</color>G、<color=yellow>1000</color>G、または<color=yellow>10000</color>Gを<color=yellow>賭ける</color>。ゲームに<color=#40b843>勝ったら</color>、賭け金100Gにつき、少なくとも1枚の<color=#0cffe6>ラウンジチップ</color>がもらえる。\n\n逆にゲームに<color=red>負けちまったら</color>、まあ、悪銭身につかずってやつさ...わかるだろ？\n\n<color=#0cffe6>ラウンジチップ</color>は受付カウンターで、<color=#40b843>素敵なアイテム</color>と交換できるぞ。
dialog_casino1_intro_btn_1	スロットを回す
dialog_casino1_intro_btn_3	ダイスを投げる
dialog_casino1_intro_questcomplete_txt	<color=yellow>ラウンジシャーク:</color> ゲームはどうだい、お嬢ちゃん？金を増やし、<color=yellow>コイン</color>を勝ち取って、みんなで笑顔になろうぜえ。\n
dialog_casino1_intro_txt	<color=yellow>ラウンジシャーク:</color> ...うす汚い<color=red>盗賊ども</color>め...あいつらのせいで、<color=yellow>金をたんまり持った客</color>が寄りつきゃしねえ...こんな状況で、どうやってカモから金を巻き上げろってんだよ？\n\n...！！！\n\nああ、これは失礼しました、<color=yellow>お客様ぁ</color>！まったく気づきませんで...<color=yellow>ゲーム</color>で遊んでいかれますかい？<color=yellow>チップ</color>を勝ち取り、<color=yellow>豪華賞品</color>と引き換えて、みんなでニッコニコになりましょう！\n
dialog_casino1_placebets_txt	<color=yellow>ラウンジシャーク: いくら賭ける？賭け金がでかいほど、多くの<color=#0cffe6>ラウンジチップ</color>を<color=yellow>勝ち取れるぜ</color>。\n
dialog_casino2_casino_bandits_btn_0	私が手を貸すわ
dialog_casino2_casino_bandits_help2_btn_0	どうしたの？
dialog_casino2_casino_bandits_help2_txt	<color=yellow>ラウンジシャーク:</color> ...！！\n\nいや、待った。ちょっと待て...\n
dialog_casino2_casino_bandits_help3_txt	<color=yellow>ラウンジシャーク:</color> わかったよ、お嬢ちゃん。オレ様の<color=#0cffe6>ハッタリ</color>を見破られちまったか。この盗賊どもを追い払ってくれたら、その労に報いてやろうじゃねえかい。\n
dialog_casino2_casino_bandits_help_btn_0	わかったわ、盗賊どもと仲良く過ごして
dialog_casino2_casino_bandits_help_txt	<color=yellow>ラウンジシャーク:</color> なら、お嬢ちゃんがこのオレのためにサメ肌脱ごうってわけかい？当然、<color=yellow>見返り</color>を期待してのことだろうがよ？ま、<color=red>そいつは忘れちまいな</color>。\n\nオレの金はオレのもんだ。<color=yellow>銅貨一枚</color>だって渡したくねえ。\n
dialog_casino2_casino_bandits_txt	<color=yellow>ラウンジシャーク:</color> おおっと、聞かれちまったか。実はその...\n\nあの<color=yellow>バードボーイズ</color>ってのは、マジでエラの上のたんこぶなのさ。あいつら、オレ様の高級リザードラウンジの<color=yellow>真上</color>に、トンネルを掘りやがってよぉ。\n\nおかげで<color=red>客は逃げちまうし</color>、奴らの食いかすやらゴミやらで散らかりまくるし、いいことがひとつもありゃしねえのさ。オレ様もここの運営が忙しくなけりゃ、自分で連中を追っ払えるんだけどな...\n
