abil_skill_acidburstclose_name	Acid Burst
dialog_dimrift_callout_main2_btn_0	Yes. I can handle anything.
dialog_dimrift_callout_main2_btn_1	No! I'm scared.
dialog_dimrift_callout_main2_txt	<color=yellow>MAD SCIENTIST:</color> It seems the <color=#0cffe6>energy</color> of the other world <color=yellow>corrupts and transforms</color> the beasts of our world. The corrupted creatures you have fought thus far are but a taste.\n\nI imagine you are curious what a <color=red>truly mutated creature</color> looks like, yes?\n
dialog_dimrift_callout_main3_txt	<color=yellow>MAD SCIENTIST:</color> I was hoping you would say that.\n\nI must warn you; I don't expect that you will <color=red>survive</color> this encounter. Nonetheless, the data you produce will be tremendously useful.\n
dialog_dimrift_callout_main_txt	<color=yellow>MAD SCIENTIST:</color> Fascinating. You laid waste to the creatures of this place much faster than I expected.\n\nYou are quite <color=#40b843>courageous</color>, yet you have no idea what lies ahead.\n\nPowers <color=yellow>beyond our comprehension</color> have created this <color=#0cffe6>rift in space and time</color>, linking our world to another.\n\n
dialog_dirtbeak_library_defeat_intro_btn_0	You'd better run!
dialog_dirtbeak_library_defeat_intro_txt	*SQUA-ARGH!*\n\nMy <color=#40b843>strength and reading ability</color> are <color=red>urgently needed elsewhere!</color>\n
dialog_dirtbeak_library_intro_intro_2_btn_0	Why are you in a library?
dialog_dirtbeak_library_intro_intro_2_txt	*SQUUAAAAWK*\n\nYOU again?!\n
dialog_dirtbeak_library_intro_intro_3_btn_0	That's... actually great!
dialog_dirtbeak_library_intro_intro_3_btn_1	Stop ruining all these precious books!
dialog_dirtbeak_library_intro_intro_3_txt	Definitely <color=red>NOT</color> learning to read. No. I'm really great at reading. In fact, <color=yellow>I'm</color> teaching <color=yellow>these</color> stupid-looking birds how to read.\n
dialog_dirtbeak_library_intro_intro_4_txt	... I'm gonna wipe that smirk off your dumb face!\n\n<color=yellow>Bird Boyz</color>, get her! Use your scrolls that I can <color=yellow>definitely read</color> but <color=yellow>choose not to</color>!
dialog_dirtbeak_library_intro_intro_btn_0	Am I interrupting something?
dialog_dirtbeak_library_intro_intro_txt	"Th... the... fl... fluffy... c... cat... likes..."\n\n"The fluffy cat likes to play!" Is that right?\n
dialog_dirtbeak_library_intro_learning_01_txt	Learning to read, um, I mean, <color=yellow>teaching</color> your friends to read is a wonderful idea! There are SO many great books in Tangledeep, you could start reading and never stop. Books are full of... well, everything!\n\nFun stories, old legends, and real science.
dialog_dirtbeak_library_intro_learning_02_btn_0	Of course!
dialog_dirtbeak_library_intro_learning_02_btn_1	Ha! Like I'd waste time teaching a bird-brain like you.
dialog_dirtbeak_library_intro_learning_02_txt	*SQUUAA...AAWWWK?* You th... um,\n\nWait, uh, I mean, YES of course I knew that! I know all about books, I am an <color=yellow>excellent</color> readist!\n\nBut... tell me more about Fun Stories and Real Science? The <color=yellow>Boss Lady</color> always said those books would hurt me if I looked at them.
dialog_dirtbeak_library_intro_learning_03_txt	It would be my pleasure! I'm still learning about reading...\n\n...well, I'm learning about <color=yellow>arcane symbols and ancient runes</color>, but the concepts are the same! Here, uh, let me give you some tips on how you can <color=yellow>teach your friends...</color>\n
dialog_dirtbeak_library_intro_learning_04_txt	*SQUERK CHIRP CHEEP* Yes yes, wow! Well, *SQUAWK* <color=yellow>of course</color> Duke Dirtbeak knew all that anyway, but... yes, this is, uh, good advice for teaching my friends.\n\nYou were <color=yellow>very generous</color>, you must be learning by watching me. I must be heading off to my nest... with all these new books!\n\n<color=yellow>*SQUAWW SQUAWW SQUEEEE!*</color>\n\n
dialog_dlc_disabled_loadwarning_text	^tag2^Please ensure this expansion content is installed and authorized, then restart the game.\n\n
dialog_dreamcaster_modify_main_btn_0	<color=yellow>Remove</color> a Modifier
dialog_dreamcaster_modify_main_btn_1	<color=#0cffe6>Extract</color> a Modifier (<color=red>DESTROYS ITEM</color>)
dialog_dreamcaster_modify_main_extractmod_txt	Select magic modifier to extract from ^tag1^. BASE COST: <color=yellow>^tag2^g</color>.\n\nThis will <color=red>destroy</color> the item, yielding at least one <color=#0cffe6>Lucid Orb Shard</color>. Combining three shards with the same magic modifier will produce a <color=#0cffe6>Lucid Orb</color> with that modifier.\n
dialog_dreamcaster_modify_main_removemod_txt	Select magic modifier to remove from ^tag1^. BASE COST: <color=yellow>^tag2^g</color>.\n
dialog_dreamcaster_modify_main_txt	Magic modifiers can be <color=yellow>removed</color> or <color=#0cffe6>extracted</color> from ^tag1^ at a cost of: <color=yellow>^tag2^g</color> and at least <color=#0cffe6>^tag3^</color> Orbs of Reverie, depending on the modifier.\n\n<color=yellow>Removing</color> a modifier will remove the selected modifier and free up space for <color=yellow>other modifiers</color>.\n\n<color=#0cffe6>Extracting</color> a modifier will <color=red>permanently destroy</color> the item, creating a single <color=#0cffe6>Lucid Orb Shard</color> with the essence of that modifier.\n\nCombining <color=#0cffe6>three shards</color> with the same modifier will yield a full <color=#0cffe6>Lucid Orb</color> also containing that modifier.\n
dialog_dreamcaster_no_orbs_intro_txt	<color=yellow>DREAMCASTER</color>: <color=#0cffe6>CURRENT STATUS: OPERATIONAL</color>.\n\n<color=red>ERROR</color>: No <color=yellow>Orbs of Reverie</color> or <color=yellow>Lucid Orbs</color> detected.\n\nAn orb is <color=yellow>required</color> for operation. Shutting down...\n
dialog_exit	(exit)
dialog_feat_unlock_intro_txt	<size=50><color=#40b843>CONGRATULATIONS!</color></size>\n\nYou have unlocked the <color=yellow>^$getstring:unlockfeat$^</color> feat!\n\nYou may now select this feat for <color=yellow>new characters</color>.\n
dialog_final_sidearea1_clear_main_btn_0	These machines were built for defense. Do you also have a collection of machines made for war?
dialog_final_sidearea1_clear_main_txt	<color=yellow>#HERONAME#.AVATAR</color>\nTHE WEAPONS FACILITY IS NOW DORMANT. YOU POSSESS NOTABLE COMBAT PROWESS.\n\nMOBILE DEFENSE PLATFORMS IN THE CORE HAVE NOW BEEN DISABLED.
dialog_final_sidearea1_clear_part2_txt	MOBILE DEFENSE PLATFORMS ARE FOR MOBILE DEFENSE.
dialog_final_sidearea2_clear_main_btn_0	I could feel a rush of Flow with every replicated machine. Where did it all come from?
dialog_final_sidearea2_clear_main_txt	<color=yellow>#HERONAME#.AVATAR</color>\nTHE REPLICATORS HAVE BEEN DISABLED FOR THE TIME BEING. THIS IS THE BEST POSSIBLE OUTCOME.\n\nMACHINE REPLICATORS IN THE CORE ARE NOW OFFLINE AS WELL.
dialog_final_sidearea2_clear_part2_txt	DO NOT WORRY. FLOW ENERGY LEVELS ARE EXCELLENT. I CAN MAINTAIN THIS LEVEL OF OUTPUT FOR ANOTHER 3,219 ROTARY CYCLES.
dialog_final_sidearea3_clear_main_btn_0	Destroying those crystals hurt me. I could feel Flow burning and suffering. Were you in pain too?
dialog_final_sidearea3_clear_main_txt	<color=yellow>#HERONAME#.AVATAR</color>\nTHE NETWORK IS CLEAR OF EXCESS REGENERATORS. THANK YOU FOR YOUR PROFESSIONAL WORK.\n\nTHE EXTRANEOUS REGENERATORS IN THE CORE HAVE GONE DORMANT.\n\n
dialog_final_sidearea3_clear_part2_txt	PAIN.CPP WAS REMOVED MANY PATCHES AGO. HOWEVER, FLOW SENSORS DID SPIKE DURING EACH FORCED CRYSTAL SHUTDOWN PROCEDURE.
dialog_final_sidearea3_inprogress_main_txt	I've destroyed <color=yellow>one crystal</color>, but I can still see energy flowing through the conduits.\n\nI should look for <color=yellow>more crystals like that</color> and <color=#0cffe6>destroy them</color>.\n
dialog_final_sidearea4_clear_main_btn_0	Why didn't you use your defense platforms to stop the bandits?
dialog_final_sidearea4_clear_main_txt	<color=yellow>#HERONAME#.AVATAR</color>\nTHE BANDIT-CLASS CREATURES HAVE BEEN QUELLED. YOUR REPAIR WORK IS EXCELLENT.\n\nTHE WILD MONSTERS CREATED IN THIS LABORATORY ARE ALREADY FLEEING THE CORE.
dialog_final_sidearea4_clear_part2_txt	THEY WERE DELIVERED BY <color=yellow>SHARA.AVATAR</color>, WHICH MEANS THEY WERE INTENDED TO DO GOOD WORK AND PROVIDE REPAIRS.\n\nWHAT A SILLY QUESTION.
dialog_finalboss_defeated_dialog_intro_txt	The final boss has been defeated... all that remains is to travel to the very top of Tangledeep!\n
dialog_first_boss_defeat_intro2_btn_0	Come back here you big chicken!
dialog_first_boss_defeat_intro2_txt	Bah! <color=yellow>Bird Boyz</color> you let <color=yellow>The Duke</color> down, take wing and await my just but fair punishment! Let's get out of here!\n
dialog_first_boss_defeat_intro_txt	*squaaak*-ak-ak-aaahk! How is she so <color=yellow>strong!?</color> She fights just like... nnno! <color=yellow>No, it couldn't be,</color> could it? That's not possible, she's one of a kind, but you're just some twerpy kid!\n
dialog_first_boss_intro_ending_defense_txt	Is that right? *squaaaak*-ha-ha-hawwk! Nobody beats <color=yellow>The Duke</color>, not today or ever! <color=red>Let's rumble!</color>\n
dialog_first_boss_intro_ending_offense_txt	*SQUUAAK* WHAAAAT THIS IS THE BEST RUG! THIS IS THE BEST THRONE ROOM! <color=yellow>THE DUKE IS THE BEST AT DECORATING HIS NEST!</color>\n
dialog_first_boss_intro_ending_spirit_txt	Big words from such a tiny pink mouth! *squaaaak*-ha-ha-hawwk! The Duke is gonna <color=red>make you eat them!</color>\n
dialog_first_boss_intro_intro2_btn_0	Just who do you think you are!?
dialog_first_boss_intro_intro2_btn_1	I don't like the sound of this...
dialog_first_boss_intro_intro2_btn_2	Looks like I caught some troublemakers!
dialog_first_boss_intro_intro2_txt	Then, when I get my beak around the neck of that Katie Twinkles, I'll -- <color=red>hey!</color>\n
dialog_first_boss_intro_intro_txt	...right behind the tree line. When I give the signal, that's when you two swoop in and start causing trouble!\n\nFirst, knock that <color=yellow>stupid turtle</color> preacher on his shell, that'll freak everyone out enough to let the rest of us start tying up that <color=yellow>wordy monkey</color> and dragging his safe off to the nest.\n\n
dialog_first_boss_intro_opening_response_a_btn_0	I won't let you hurt my friends!
dialog_first_boss_intro_opening_response_a_btn_1	You can't stop me, nothing in Tangledeep can!
dialog_first_boss_intro_opening_response_a_btn_2	I'm gonna tear you up worse than that garbage rug!
dialog_first_boss_intro_opening_response_a_txt	Ha! I'm the bird who's gonna help myself to all your treasure, then share it with my <color=yellow>Bird Boyz</color> because <color=yellow>Duke Dirtbeak</color> is just so kind and generous.\n\nAnd then? We're gonna use your best stuff to beat up all those smug jerks at <color=yellow>Riverstone Camp</color> who think they're better than us!\n
dialog_first_boss_intro_opening_response_b_txt	Check it out <color=yellow>Bird Boyz</color>, looks like someone small and delicious wandered into the wrong glorious throne room. Dibs on her best treasure, but I'll share because <color=yellow>Duke Dirtbeak</color> is the most kind and generous.\n\nLet's use this little hatchling as a warm up before we deliver a much needed beatdown to those smug jerks at <color=yellow>Riverstone Camp!</color>\n
dialog_first_boss_intro_opening_response_c_txt	Ha! All you caught, little girl, <color=red>is a beakful of beatdown!</color>\n\nStep right, <color=yellow>Bird Boyz</color>, let's relieve this fleshy hero of her treasures and leave her in a ditch. Work hard and I'll even let you keep some of it, because that's the generous bird that <color=yellow>Duke Dirtbeak</color> is.\n\nOnce we're done with this trash, we'll fly down to <color=yellow>Riverstone Camp</color> and give those smug jerks exactly what they deserve!\n
dialog_first_boss_wounded_intro_btn_0	I'm just getting warmed up!
dialog_first_boss_wounded_intro_txt	Looks like this worm's a little more wriggly than I thought! No more slackin' <color=yellow>Bird Boyz</color>, let's show this twerp who runs The Follies!\n
dialog_firsttime_keysetup	<color=#0cffe6>FIRST TIME SETUP</color>\n\nPlease select your preferred <color=yellow>control style</color>.\n(This can be changed and customized later.)\n\nControllers are auto-detected and usable!\n
dialog_flask1_upgrade_main_btn_0	<color=#40b843>Tea Leaf</color>: Restores 3 Stamina and Energy per turn while Flask is active.
dialog_flask1_upgrade_main_txt	You've earned a <color=#40b843>Flask Infusion</color> for reaching <color=yellow>Level 5</color>!\nSelect which one you'd like.\n
dialog_flask2_upgrade_main_btn_1	<color=#0cffe6>Basil</color>: Heals an additional 1.2% of max Health per turn while Flask is active.
dialog_flask2_upgrade_main_txt	You've earned a new <color=#40b843>Flask Infusion</color> for reaching <color=yellow>Level 10</color>!\nSelect which one you'd like.\n
dialog_flask3_upgrade_main_btn_1	<color=yellow>Green Apple</color>: Increases dodge chance by 15% while Flask is active.
dialog_flask3_upgrade_main_txt	You've earned a new <color=#40b843>Flask Infusion</color> for reaching <color=yellow>Level 15</color>!\nSelect which one you'd like.\n
dialog_floraconda_cooking_main_txt	Expedition day 15. Running low on supplies... almost out of food. Starving, I tried cooking this juicy-looking vine by boiling it in a pot.\n\nBig mistake! Turns out it was a <color=#40b843>Floraconda</color> all coiled up.\n\nI thought it was going to get the best of me, but I whacked it into submission with my trusty ladle. Turns out, Floraconda doesn't taste too good. Not worth the effort.\n\n<color=#0cffe6> - Sue Veed</color>\n
dialog_flow_snowmachine_first_shard_btn_0	Place shard in the device
dialog_flow_snowmachine_first_shard_btn_1	Maybe later
dialog_flow_snowmachine_first_shard_txt	The device seems to be reacting to the <color=yellow>fire-red shard</color> I found.\n
dialog_flow_snowmachine_intro_txt	What a strange device... that <color=yellow>frozen scientist</color> must have been using it? But it seems to be <color=yellow>almost out of energy</color>.\n
dialog_flow_snowmachine_need_shards_txt	The device is inactive. I'd better find more <color=red>Fire Shards</color>.\n
dialog_foodcart_intro_explain2_txt	<color=yellow>LANGDON:</color> Sure did.\n\n...\n\n<color=#40b843>*blurp*</color>\n\n
dialog_foodcart_intro_explain_btn_0	You uh, really thought about this.
dialog_foodcart_intro_explain_txt	<color=yellow>LANGDON:</color> That <color=yellow>Nando</color> fella sells food n' what not, right? Well, you done <color=#40b843>*blurp*</color> put a tree here that grows food. Probably.\n\nI'll set up a <color=yellow>food cart</color> and you can <color=yellow>give me food</color> to put on it. We'll split the <color=#40b843>*blurprofits*</color>. Simple as that.\n
dialog_foodcart_intro_main_btn_0	What?
dialog_foodcart_intro_main_txt	<color=yellow>LANGDON:</color> Howdy! Thought you might like to know one of your <color=#40b843>trees</color> is all <color=#40b843>*blurp*</color> grown up. You ever thought about turnin' some of the fruit for a profit?\n\nI could <color=#40b843>*blurp*</color> it for you.\n
dialog_found_quest_herb_branch_0_txt	This looks like the special <color=#40b843>herb</color> that arrogant guy was looking for. Time to bring it back! Maybe I won't get yelled at this time.\n\n
dialog_friendlybandit1_branch1_btn_0	Sure, I'll help
dialog_friendlybandit1_branch1_txt	<color=yellow>BEZO</color>: This may be asking a lot, but would you deliver a letter to someone for me?\n\nIt's for, well, a girl, you see... and I can't really do it myself.\n\nEmbarrassing, too.\n
dialog_friendlybandit1_completed_txt	<color=yellow>BEZO</color>: Thank you again for delivering my letter!\n\n
dialog_friendlybandit1_duringquest2_btn_0	Well, you see...
dialog_friendlybandit1_duringquest2_txt	<color=yellow>BEZO</color>: You're back! I've been so anxious since you've left! What did she say?\n\n
dialog_friendlybandit1_duringquest3_txt	<color=yellow>BEZO</color>: Oh... my wallet?! I thought I had just lost it the day I met her.\n\nMore importantly, she wants to give me a chance! It'll be tough, but I think <color=yellow>love is worth hardship</color>.\n\n
dialog_friendlybandit1_duringquest4_txt	<color=yellow>BEZO</color>: She's not a bad egg, just caught up in a bad situation...\n\nBut together, we'll get out of it. We won't need <color=yellow>weapons</color> anymore.\n\nHere, take this. It's the least I can do!\n
dialog_friendlybandit1_duringquest_txt	<color=yellow>BEZO</color>: Did you <color=yellow>deliver my letter yet</color>? The girl is <color=yellow>two floors up</color> from here...\n
dialog_friendlybandit1_givequest_txt	<color=yellow>BEZO</color>: Ah! If you leave now, you should be able to find her <color=yellow>two floors up</color> from here.\n\nJust give her the letter, and let me know what she says about it.\n
dialog_friendlybandit1_main_btn_0	What's up?
dialog_friendlybandit1_main_txt	<color=yellow>BEZO</color>: Excuse me, but are you an explorer by any chance...?\n
dialog_friendshipforest_bossmon_main_txt	Phew. That's the last of them. Now, I wonder where those rose petals are...\n\n...\n\nWait, what's that sound?\n
dialog_fun_sat_dirtbeakthrone_main_txt	<color=yellow>So comfortable!</color>\n\nSorry Bird Boyz. This is mine now.\n\n
dialog_functest_01_intro_btn_0	Sounds intense, I'm out
dialog_functest_01_intro_txt	^$isjob:brigand:You are a Brigand!:You are not a Brigand$^\n^$isnotjob:husyn,hunter:You are not a HuSyn or Hunter!:You are a HuSyn or Hunter!$^\n\n^$vargt:ancientcube,1:You've activated the Dreamcaster!:You have not activated the Dreamcaster.$^\n
dialog_gameover_ko_main_txt	^tag1^
dialog_gamingjelly_intro_btn_0	Play Sharkjack
dialog_gamingjelly_intro_btn_1	Play Droolette
dialog_gamingjelly_intro_txt	<color=yellow>GAMING JELLY</color>: Hello. Care to play against the house in one of our fabulous table games?\n
dialog_gamingjelly_placebets_btn_0	Bet 100g (Win 1 Token)
dialog_gamingjelly_placebets_btn_1	Bet 1,000g (Win 10 Tokens)
dialog_gamingjelly_placebets_btn_2	Bet 10,000g (Win 100 Tokens)
dialog_gamingjelly_placebets_txt	How much will you bet? The more you bet, the more <color=#40b843>Lounge Tokens</color> you'll <color=yellow>win</color>.\n
dialog_goldfrog_gold_mine_main_txt	They say there's no better get-rich-quick scheme than huntin' yourself a <color=yellow>Goldfrog</color>. Problem is, <color=yellow>Goldfrogs</color> are mighty quick buggers that'll slip away as soon as they see you.\n\nSo, I had myself an idea. Find a young one and keep it caged until it gets big and full o' gold. I managed to find a fresh-hatched one, but the little fella was <color=yellow>so darn cute</color>... he didn't even have his sparkles yet.\n\nI've been raising the little croaker for ages now and I can't bear to let him go. He brings me more joy than any amount of gold ever could.\n\n<color=#0cffe6> - Jeffery Biddle</color>\n
dialog_goldfrog_info2_btn_0	Cool, can I have some gold?
dialog_goldfrog_info2_txt	<color=yellow>GOLDFROG</color>: Ribbbbbbbbbbbbit.\n\n<color=#0cffe6>(Fortune smiled upon me that day.)</color>\n\n<color=#0cffe6>(Now, I am a ronin. A wanderer, much like yourself.)</color>\n
dialog_goldfrog_info3_txt	<color=yellow>GOLDFROG</color>: Ribbit? Ribbit. Ribb ribb.\n\n<color=#0cffe6>(Curse this gilded body of mine! It has been naught but trouble.)</color>\n\n<color=#0cffe6>(No longer will it restrain me.)</color>\n
dialog_goldfrog_info_btn_0	That's incredible.
dialog_goldfrog_info_txt	<color=yellow>GOLDFROG</color>: Ribbit. Ri-ribbit. Ribbittttt. Rib. It.\n\n<color=#0cffe6>(Many cycles have I yearned to escape the labyrinth of a forgotten Item Dream.)</color>\n\n<color=#0cffe6>(I stumbled through a portal and found myself in Tangledeep.)</color>\n
dialog_goldfrog_intro_btn_0	Whoa, what are you doing here?
dialog_goldfrog_intro_txt	<color=yellow>GOLDFROG</color>: Ribbit ribbit.\n\n<color=#0cffe6>(Please... let me be. It is peaceful here.)</color>\n
dialog_grove_harvest	Since your last visit, your trees have produced <color=yellow>^tag1^</color> goods. Do you want to <color=#0cffe6>harvest all goods</color> directly to your inventory?\n
dialog_grovetree_intro_btn_0	Plant a Verdant Fruitleaf
dialog_grovetree_intro_btn_1	Plant a Mighty Grainshade
dialog_grovetree_intro_btn_2	Plant a Flowering Spicebark
dialog_grovetree_intro_btn_3	Plant a Shining Dazzleleaf
dialog_grovetree_intro_txt	This looks like the perfect spot to <color=#40b843>plant a tree</color>.\n
dialog_grovetreeharvest_intro_btn_0	Harvest Food
dialog_grovetreeharvest_intro_btn_1	Leave It
dialog_grovetreeharvest_intro_txt	Your trees have borne fruit!\n
dialog_halfdemon_campfire_concerned2_btn_1	I'll pass
dialog_halfdemon_campfire_concerned2_txt	<color=yellow>CYRUS</color>: The potion does make you, shall we say, more <color=red>attractive</color> to the denizens of Tangledeep.\n\nThe effect is only <color=yellow>temporary</color>, of course. And with your <color=#40b843>improved combat abilities</color> you should have no trouble handling them.\n\nSo, what do you say?\n
dialog_halfdemon_campfire_concerned_btn_0	And what's the catch?
dialog_halfdemon_campfire_concerned_txt	<color=yellow>CYRUS</color>: Ah, the answer of a <color=yellow>wise and cautious</color> explorer. But I assure you, my mixture is quite safe.\n\nFor the most part.\n\nThere is no doubt it will confer benefits such as improved <color=#40b843>regeneration</color>, enhanced <color=#40b843>strength</color>, or bolstered <color=#40b843>defense</color>, for a brief time...\n
dialog_halfdemon_campfire_intro_2_txt	<color=yellow>CYRUS</color>: I do hope the results of my <color=#40b843>potion</color> were successful. Best of luck in your adventures.\n
dialog_halfdemon_campfire_intro_btn_0	I don't usually drink strange potions.
dialog_halfdemon_campfire_intro_btn_1	Say no more! Give it here.
dialog_halfdemon_campfire_intro_txt	<color=yellow>CYRUS</color>: Well, well, another wandering soul. I thought I would be <color=yellow>alone</color> in this serene place.\n\nNot that I mind the company.\n\nSince you're here, care to try an <color=#40b843>experimental potion</color>? It might benefit a brave adventurer like yourself.\n
dialog_happy_released_monster_intro2_txt	To my dear <color=#40b843>^$getstring:letter_heroname$^</color>,\n\nIt's me, <color=yellow>^$getstring:letter_author$^</color>. It has been some time since you took me into your care. <color=#40b843>Tangledeep</color> is a dangerous place, but I've learned many things here, such as how to <color=yellow>write letters</color>.\n
dialog_happy_released_monster_intro3_txt	I have <color=yellow>many fond memories</color> of our time together. As a token of my appreciation, I have attached a <color=#40b843>special scent mark</color> to this letter.\n\nOnly other monsters will understand this scent. It holds my power, <color=#0cffe6>^$getstring:letter_skill$^</color>. If you show it to them, they will learn this power as well.\n\nI hope this helps you in your journey!\n\nSincerely,\n<color=#40b843>^$getstring:letter_author$^</color>\n
dialog_happy_released_monster_intro_txt	... it's a letter from ... <color=#0cffe6>^$getstring:letter_author$^</color>?\n\n
dialog_healer_help_callout_intro_adv_needhelp2_btn_1	Yes!
dialog_healer_help_callout_intro_adv_needhelp2_txt	<color=yellow>PERCY:</color> Are you sure you want to <color=yellow>sacrifice an experience level</color> to <color=#40b843>replenish your supplies</color>?\n
dialog_healer_help_callout_intro_adv_needhelp_btn_1	Yes, I need help!
dialog_healer_help_callout_intro_adv_needhelp_txt	<color=yellow>PERCY:</color> My child, I see that your <color=#0cffe6>flask</color> is dry, and your <color=yellow>backpack</color> precariously light on restorative food.\n\nThough your spirit is strong, we sometimes *yawn* need time to reflect on our mistakes.\n\nI can provide you <color=yellow>fresh supplies</color>, if you will be <color=yellow>patient</color> and accept the loss of <color=yellow>one experience level</color>.\n
dialog_healer_town_askbless_btn_0	XP Blessing
dialog_healer_town_askbless_btn_1	JP Blessing
dialog_healer_town_askbless_btn_2	Attack Blessing
dialog_healer_town_askbless_btn_3	Defense Blessing
dialog_healer_town_askbless_txt	<color=yellow>PERCY:</color> Of course. Fortune will watch over you for <color=yellow>99 turns while adventuring</color>.\n\nWhat boon do you seek?\n
dialog_healer_town_askheal_btn_2	That's expensive!
dialog_healer_town_askheal_txt	<color=yellow>PERCY:</color> Healing is *yawn* a slow and natural process. But you adventurers are ever in a rush. So it goes...\n
dialog_healer_town_askjobs_btn_0	What happens when I change my job?
dialog_healer_town_askjobs_txt	<color=yellow>PERCY:</color> Oh child, I think you're fine the way you are.\n\nBut if your heart is set, *yawn* allow me to guide you toward new purpose.\n
dialog_healer_town_expensive_txt	<color=yellow>PERCY:</color> When you attain a new level of experience, healing is my gift to you.\n\nBut otherwise, well, *yawn* hurrying nature along isn't cheap! We all have expenses, even humble Percy.\n\nWith each healing spell, my magic grows in cost. Only with a new experience level will the cost recede again. It is simply the way of nature.\n
dialog_healer_town_intro_adv_needhelp2_btn_0	No
dialog_healer_town_intro_adv_needhelp_txt	<color=yellow>PERCY:</color> My child, I see your <color=#0cffe6>flask</color> is dry, and your <color=yellow>backpack</color> precariously light on restorative food.\n\nThough your spirit is strong, we sometimes *yawn* need time to reflect on our mistakes.\n\nI can provide you <color=yellow>fresh supplies</color>, if you will be <color=yellow>patient</color> and accept the loss of <color=yellow>one experience level</color>.\n
dialog_healer_town_intro_btn_0	Heal Me
dialog_healer_town_intro_btn_1	I need to refill my Flask and backpack!
dialog_healer_town_intro_btn_3	Change Jobs
dialog_healer_town_intro_btn_4	Reset Stats
dialog_healer_town_intro_btn_5	Blessing Please
dialog_healer_town_intro_txt	<color=yellow>PERCY:</color> *yawn* Hello dear child. Many blessings upon you, you and all the unshelled.\n
dialog_healer_town_jobinfo_txt	<color=yellow>PERCY:</color> When switching to a new job, you will keep your <color=yellow>experience and level</color>, plus all your <color=yellow>learned skills</color>, but you will lose the <color=#0cffe6>innate traits and stat bonuses</color> of your old job.\n\nYou will then inherit the <color=#0cffe6>innate traits and bonuses</color> of the new job, and you will be able to learn its <color=yellow>skills</color> as well.\n\nYour <color=yellow>job points</color> are not carried over to the new job, as JP is stored <color=yellow>separately for each job</color>.\n
dialog_healer_town_jobs_not_enough_gold_txt	<color=yellow>PERCY:</color> I'm afraid you don't have enough gold to change your job.\n
dialog_healer_town_resetstats_btn_0	Yes, Reset Stats
dialog_healer_town_resetstats_btn_1	Something Else...
dialog_healer_town_resetstats_txt	<color=yellow>PERCY:</color> Don't be afraid to re-consider the <color=yellow>choices you've made</color>. We must recognize our mistakes to nurture personal growth.\n\nI will *yawn* reset your <color=#40b843>level up bonuses</color> for a small fee. Perhaps one <color=yellow>Orb of Reverie</color>? I do so love the way they look in my tent.\n
dialog_healer_town_shara_convo1_btn_0	Yes. I met her in Tangledeep.
dialog_healer_town_shara_convo1_txt	<color=yellow>PERCY:</color> Oh dear... do my ancient ears deceive me?\n\nYou did say '<color=yellow>Shara</color>', did you not?\n
dialog_healer_town_shara_convo2_txt	<color=yellow>PERCY:</color> ...\n\nI <color=red>cannot speak of this</color>, my child. It was a time when I failed a young one and let harm befall her.\n\nTalk to <color=yellow>Erin</color>. She too knows of whom you speak.\n
dialog_healmeplease	Heal Me Please
dialog_herbalist_dialog_inquire2_btn_0	<color=#40b843>Flow-empowered plant growth</color>? I'll figure it out.
dialog_herbalist_dialog_inquire2_txt	<color=yellow>KADISHEV:</color> Well, yes, of <color=#40b843>course</color>. Do I look like a vicious warrior to you?\n\nThough even if I were, getting up there is only half the problem. My theory is that <color=#40b843>Flow-empowered plant growth in the water</color> could yield a special herb.\n\nBut I don't have any magic like that.\n
dialog_herbalist_dialog_inquire3_txt	<color=yellow>KADISHEV:</color> You'd do that for me? Hmph, maybe some people aren't so bad.\n\nJust watch out for those monsters. There's <color=#0cffe6>water</color> everywhere, so as long as you have a way to <color=#40b843>grow a plant</color>, it shouldn't be hard.\n\n
dialog_herbalist_dialog_inquire_btn_0	Let me guess, you can't deal with the monsters?
dialog_herbalist_dialog_inquire_txt	<color=yellow>KADISHEV:</color> ... ... ...\n\nI didn't quite expect that. Sorry, I'm just not used to people. Don't take it personally.\n\nI actually <color=yellow>could</color> use a bit of help. The chamber above us has water with <color=#40b843>special properties</color>, and I theorize that a special type of herb could grow there.\n
dialog_herbalist_dialog_intro2_txt	<color=yellow>KADISHEV:</color> Have you found the <color=#40b843>herb</color> yet? Remember, you need to <color=#40b843>grow a plant</color> in the <color=#0cffe6>water</color> on the floor above.\n
dialog_herbalist_dialog_intro3_btn_0	???
dialog_herbalist_dialog_intro3_txt	<color=yellow>KADISHEV:</color> The <color=#40b843>herb</color>! How exciting! Truthfully, I don't have a clue what sort of magical properties it might have. I wonder what would happen if I apply a bit of this <color=yellow>potion</color>...
dialog_herbalist_dialog_intro4_txt	<color=yellow>KADISHEV:</color> ... ... ...\n\nI think I'll stay away from <color=yellow>herbs and potions</color> for a bit.\n\n
dialog_herbalist_dialog_intro_btn_0	I could help with that, despite your attitude.
dialog_herbalist_dialog_intro_btn_2	Well, then! Goodbye!
dialog_herbalist_dialog_intro_txt	<color=yellow>KADISHEV:</color> Must you <color=red>interrupt</color> me? Not everyone is eager for a conversation, you know!\n\nI'm quite busy scouting for precious herbs, so <color=red>begone</color>.\n
