abil_skill_banditdragonsoul_desc	断龙：刀之呼吸。对周围5x5方格内的敌人造成^number1^武器伤害（物理）。
log_slimefail	#cy#敌人占领了所有哨塔…让我们暂时撤退然后再试一次。#ec#
misc_dmg_arcane	奥术之箭
misc_hit	命中！
misc_log_psychic_charmed	#cy#^tag1^#ec#魅惑了#cy#^tag2^#ec#！
misc_xp2_limitbreak	#co#巨龙之力：#ec# #cy#^tag1^#ec#
mm_budokatouch1_desc	无视^number1^物理抵抗
mm_xp2_absorbing_desc	^number1^几率使暴击无效
mm_xp2_absorbing_name	吸收的
mm_xp2_arcane_desc	^number1^几率额外射出一只箭矢（元素伤害，伤害基于精神力）
mm_xp2_arcane_name	神秘的
mm_xp2_battlemage_desc	这把武器^number1^的攻击力增加至精神力
mm_xp2_battlemage_name	战魔
mm_xp2_bubble_desc	生命<= ^number1^时，获得一个可吸收(等级 x ^number2^)伤害的护盾。持续^number4^回合，^number3^回合冷却
mm_xp2_bubble_name	气泡的
mm_xp2_coolfrog_desc	生命<= ^number1^时，出现一只强力冰蛙。^number2^回合冷却
mm_xp2_coolfrog_name	牛蛙的
mm_xp2_dragons_desc	巨龙之力提升速度增加^number1^，造成^number2^点伤害
mm_xp2_dragons_name	巨龙的
mm_xp2_echoing_desc	^number1^几率施展两次普通攻击
mm_xp2_echoing_name	回声的
mm_xp2_explosions_desc	使用道具时引发爆炸，对邻近的敌人造成^number1^点伤害（物理）
mm_xp2_explosions_name	爆炸的
mm_xp2_grandmaster_desc	暴击伤害增加，增加值为力量的^number1^
mm_xp2_grandmaster_name	祖父的
mm_xp2_hydrating_desc	随着时间流失，回复药瓶补充^number1^
mm_xp2_hydrating_name	湿润的
mm_xp2_icicles_desc	每攻击^number1^次，对3x3区域射出一根箭矢，造成^number2^点伤害（水元素）
mm_xp2_icicles_name	冰柱的
mm_xp2_legends_desc	^number1^几率召唤一只冠军怪物
mm_xp2_legends_name	传说的
mm_xp2_manaburn_desc	消耗^number2^点精力，使普通攻击造成^number1^点伤害
mm_xp2_manaburn_name	燃魔的
mm_xp2_nullifying_desc	击中时，^number1^几率移除目标身上随机的增益效果
mm_xp2_nullifying_name	消去的
mm_xp2_ricochet_desc	暴击反射到另一个敌人，造成^number1^点伤害
mm_xp2_ricochet_name	反射的
mm_xp2_sapping_desc	你的暴击降低敌人伤害^number1^点，持续^number2^回合
mm_xp2_sapping_name	削弱的
mm_xp2_scholar_desc	使用一个技能可减低另一个技能冷却时间^number1^
mm_xp2_scholar_name	学者的
mm_xp2_serenity_desc	CT >= ^number2^时，^number1^点物理抗性
mm_xp2_serenity_name	平静的
mm_xp2_sticky_desc	自动消耗^number1^精力解除麻痹效果
mm_xp2_sticky_name	粘性的
mm_xp2_thewolf_desc	^number1^伤害，如果你没有召唤物^number2^防御
mm_xp2_thewolf_name	独狼的
mm_xp2_traps_desc	召唤的伤害类陷阱造成额外^number1^伤害
mm_xp2_traps_name	陷阱的
mm_xp2_vibrating_desc	每格挡^number1^次攻击，对邻近的敌人造成^number2^伤害（物理）
mm_xp2_vibrating_name	震动的
mm_xp2_warmth_desc	你不会被冰冻
mm_xp2_warmth_name	温暖的
mm_xp2_zookeeper_desc	每个你召唤的生物吸收^number1^伤害
mm_xp2_zookeeper_name	饲养员
mon_mon_ghostsamurai2_name	幽鬼
mon_strongcoolfrog_name	强力冰蛙
mon_xp_acidelemental_name	瘟疫精灵
mon_xp_banditwrangler_name	怪物统领
mon_xp_friendly_slime_name	友方史莱姆小队
mon_xp_genericghost_name	复仇之魂
mon_xp_icespirit_name	冰川精灵
mon_xp_matterassembler_name	机器人制造者
mon_xp_metalslime_name	金属史莱姆
mon_xp_prismslime_name	棱镜史莱姆
mon_xp_skysnake_name	风蛇
mon_xp_slimedungeon_enemy_slime_1_name	敌方史莱姆小队
mon_xp_spectralcrab_name	幽冥螃蟹
mon_xp_treefrog_name	树蛙
mon_xp_verminesper_name	害虫
obj_ghostaura_cloud_name	幽冥鬼雾
popup_jellydragon_arriveturns	^tag1^回合后出现Boss！
popup_slimefail	战斗失败！
response_craft_items	制作物品
response_recipes_consumables	配方：消耗品
response_recipes_equipment	配方：装备
response_recipes_misc	配方：杂物
response_recipes_orbs	配方：梦幻宝珠
response_what_is_crafting	制作什么？
robot_dragon_intro_1	我简直不敢相信我的眼睛。这是一台机器…#co#巨龙#ec#。这怎么可能？\n\n#cg#霍拉提奥#ec#说过有其它四条。我不认为他在撒谎。如果他知道这里有另一条强大的#co#巨龙#ec#，他应该会希望这条巨龙击败我。\n\n也许我能和这条龙谈谈。\n\n
robot_dragon_intro_2	#co#巨龙#ec#，你能听懂我说的话吗？\n\n你的力量引发了#cg#纷乱深渊#ec#的大地震！不管你在做什么，你都应该立刻停止。\n\n
robot_dragon_intro_3	#cy#机械巨龙侦测到新生命，开启扫描。#ec#\n\n
robot_dragon_intro2_1	#cy#未知生物，无对应交互协议。#ec#\n\n#co#建立通信链接并等待进一步指令。#ec#\n\n
robot_dragon_intro2_10	我…我无法否认我们的生活充满#cr#艰难和痛苦#ec#。这是事实。但克服困难带给我们#cy#快乐#ec#。我们不断奋斗获取#cy#知识#ec#并让自己不断进化。没有了这些奋斗，我们将失去#cy#目标#ec#。\n\n你想要将它从我们种类夺走吗？\n
robot_dragon_intro2_11	是的。你们的#cy#目标#ec#与我无关。我们关心的只有#cg#保护有机生命体#ec#。我们确信现在的改造将最大限度提高安全和舒适性。\n\n#heroname#，你展现出了高超的技巧并且智力达到了很高的程度#co#机械巨龙#ec#。不过，现在是开始改造的时候了，请收起你的武器。\n\n
robot_dragon_intro2_12	我宁愿给这个#co#怪物#ec#也不想屈服于它。如果#cc#萨拉Shara#ec#在这里，我知道她也会一样选择战斗的！\n\n
robot_dragon_intro2_13	我们对当前#cg#溪谷营地#ec#正在活跃的#cy#神使#ec#以及造成的问题感到抱歉。\n\n这种情况不会再发生了。\n\n重申一下我们的要做的事情。毁灭你们是改造必须的一环，所以请坦然接受这一事实。#co#机械巨龙#ec#的战力远比你们强大，你们是毫无胜算的。\n
robot_dragon_intro2_14	我拒绝，赌上我的一切。\n\n
robot_dragon_intro2_15	我们理解了。没必要做进一步沟通了。\n\n
robot_dragon_intro2_2	你好，#cy##heroname##ec#。你能听得懂我们说的话吗？我们正直接和你对话以便让你能理解。\n
robot_dragon_intro2_3	是的，我能听懂。你们是怎么到这里来的？为什么你们看起来是这样的？\n\n是你们在控制这个#co#机械巨龙#ec#吗？\n\n
robot_dragon_intro2_4	这个形态是为了让你在沟通时感到#cg#舒适#ec#。我们的实际位置目前并不重要。#cg#纷乱深渊#ec#现在处于混乱状态，我们正在进行更正。\n\n我们已经查阅了#cy#机械管理者#ec#发来的多个周期的报告。在这段时间内，我们对事态了解得更多了。我们发现这里开始出现#cg#有机智慧生命#ec#并有了#cy#独立意识#ec#。 #cy#独立意识#ec#引发了#cr#'恐惧'#ec#和#cr#'痛苦'#ec#。\n\n这并不是好事情，我们不希望这种事情的发生。\n
robot_dragon_intro2_5	现在我们更新了计划。制造#co#机械巨龙#ec#来彻底改造#cg#纷乱深渊Tangledeep#ec#。当它的能量达到最大时，所有的#cg#有机物#ec#将被立刻回收。\n\n这个过程非常快速，不会感受到#cr#恐惧#ec#和#cr#痛苦#ec#。\n\n之后我们会重新构建#cg#纷乱深渊#ec#，确保不会再有#cy#独立意识awareness#ec#的产生。\n
robot_dragon_intro2_6	你的意思是你们为了“保护”我们而要#cr#摧毁#ec#纷乱深渊？！\n
robot_dragon_intro2_7	你的理解是错误的。#cg#纷乱深渊#ec#不会被摧毁，我们只是#cy#重新构建#ec#它。\n\n我们的目的始终是#cg#保护有机生命#ec#。我们认识到#cy#独立意识#ec#会妨碍到我们实现这一目的。改造会确保不会再发生这样的事情，有机生命由此可以平静的生活。\n\n
robot_dragon_intro2_8	我们已经很平静了！我们的#cg#智慧#ec#让我们可以分享故事、创造实物和获取知识。你们不能把它们夺走，你们没有这个权力！
robot_dragon_intro2_9	你又错了。保护#cg#有机生命#ec#是我们的责任，始终如此。\n\n这个#cg#纷乱深渊#ec#并不平静。被你们称为 #cr#'怪物'#ec#的东西已经威胁到你们的安全。你们相互窃取资源。你们被#cr#'恐惧'#ec#和#cr#'痛苦'#ec#支配。\n\n即使是你，#heroname#，也经历了无数的战斗。这是不正确的，改造势在必行。之后一切都将回归平静。\n
robot_dungeon_unlocked_txt	从#cc#楼梯#ec#传来的能量无比巨大。这让我们想起了接触#cc#远古魔方#ec#时的感觉，但…更冰冷，就像我曾经与之对战过的机器。\n\n我已经面对过#co#五条巨龙#ec#，但我的直觉告诉我，前方的更糟糕。在继续之前，我最好确保已经做好#cg#充分准备#ec#。\n\n
robotdragon_defeat_1	#heroname#你犯了一个严重错误。如果你摧毁#co#机械巨龙#ec#，我们将无法进一步改造#cg#纷乱深渊#ec#亦或者与你沟通。\n\n所有收集到的数据信息将丢失。\n
robotdragon_defeat_2	很好。我们仍旧保留奋斗的权力，这本就是属于我们的。\n\n
robotdragon_defeat_3	但没有我们，无数的真理你们将无法触及。你们缺少发现它们的能力。你们的#cy#目标#ec#永远无法实现。\n\n
robotdragon_defeat_4	... ... ...\n\n那我会找到一个#cy#新的#ec#目标。我知道除了#cg#纷乱深渊#ec#以外还有其它世界等着我去探索。我也不会孤单。通过我的冒险，我交到了很多新朋友和盟友。他们会助我前行。\n\n不管你们出于什么目的，#cg#纷乱深渊#ec#不需要你们的干涉。我们已经准备好继续前行。\n
robotdragon_defeat_5	你不能-\n…失败-\n…仅有的机会-\n…超过你的-\n…不要-\n…需要找到-\n
robotdragon_defeat_6	是时候让我们成为自己命运的主人了。\n\n
skill_creepingsludge_name	瘟疫波
skill_encouragepet_name	喂食宠物
skill_expmon_dragonpoison	毒之呼吸
skill_expmon_frogsquash	超级蛙跳
skill_expmon_prismblast_name	棱镜爆炸
skill_expmon_spiritsummon_name	精灵援军
skill_goldpowerhop_name	冰蛙暴扣
skill_summonhornet_name	释放大黄蜂
skill_summonrandombot_name	机器制造者
slime_dungeon_unlocked_txt	那边楼梯有潮湿的气味，闻起来也不太好。\n\n可能是另一条#co#巨龙#ec#！\n\n
slime_egg_combined_log	一个全新的#cy#^tag1^#ec#出现在你的背包内！
slime_egg_combined_popup	调和完成！
slime_tutorial_response_1	收到，出发！
slime_tutorial_response_2	再来一次？
slimeboss_gate_opens	#cr#敌方援军到达！#ec#
slimedragon_jellyboo_intro_1	#cy#杰里布！？#ec#你在这里干什么？这里不是史莱姆该来的地方！现在，立刻和我一起回去找#cg#兰登#ec#。\n\n
slimedragon_jellyboo_intro_2	咯咯咯。\n\n#cy##heroname#，很高兴你能来！你还好吗？我需要你的帮助。你看，我不只是只可爱粉色的史莱姆。我的真实身份是...#ec#\n\n... #cy#the#ec# #co#果冻巨龙#ec#！\n\n
slimedragon_jellyboo_intro_3	你？一条#co#巨龙Dragon#ec#？这怎么可能？！\n\n我完全糊涂了！\n\n
slimedragon_jellyboo_intro_4	咯咯咯。\n\n#cy#当然，当然，我来解释下。你看，我以前住在这里，统御着其它史莱姆。然后，一千年以前，一个敌对的史莱姆族系向我们宣战。我们交手了无数次，但没有分出胜负。完全僵住了。#ec#\n\n#cy#一年前，一个名叫#ec# #cc#萨拉#ec##cy#的女人改变了这一切。她给了敌人一个装置，这个装备窃取了我所有的巨龙力量。然后，敌人把我驱逐了出来，封锁了入口，接管了一切！#ec#\n\n
slimedragon_jellyboo_intro_5	我不敢相应这发生在#cy#史莱姆洞穴#ec#的事情，而且我根本无从知晓。\n\n所以，你在被驱逐以后，就装成一个人畜无害的样子，成为#cg#兰登#ec#的宠物？\n\n
slimedragon_jellyboo_intro_6	咯咯咯!\n\n#cy#正是如此！没有了力量，我想我最好先蛰伏一段时间，等待时机再夺回属于我的一起。这看起来遥遥无期直到所有巨龙被释放了出来。封印打破时，我悄悄溜了回去。现在我们可以一起夺回我的王位！#ec#\n\n#cy#你会帮助我的，是吗？#ec#\n\n
slimedragon_jellyboo_intro_7	额，我本不想掺和你们史莱姆之间的争斗。但我觉得你的这个#cy#敌对史莱姆#ec#是个巨大的威胁，我们不能让它逃离这里。\n\n好吧，我加入。告诉我你的计划是？\n\n
slimedragon_victory_1	咯咯咯。\n\n#cy##heroname#，我们成功了！侵略者走了，史莱姆大地又恢复了和平。我也可以感觉到我的力量又回来了。#ec#\n\n#cy#生活在#ec# #cc#溪石营地#ec# #cy#的人应该为此庆兴，你站在他们那边！你拥有大自然的力量！一个奇迹之女！你会是一个了不起的史莱姆。#ec#\n\n#cy#额…这只是开个玩笑！嘿嘿！#ec#
slimedragon_victory_2	额，嘿嘿..？我很高兴帮助你解决了问题，#cy#杰里布#ec#。\n\n但你为什么看上去还是这样？如果你回复了#co#巨龙之力#ec#，难道不是应该更大些？\n\n又或者...\n
slimedragon_victory_3	咯咯咯。\n\n#cy#啊，你难道没有注意到我闪亮的皮肤？我圆润的外表？我可爱的黏液？#ec#\n\n#cy#傻子，我已经和之前完全不同了，#heroname#！你也是是个强大的战士，但你应该好好学习一些关于史莱姆的知识。#ec#\n
slimedragon_victory_4	好吧，当然。\n\n...\n\n那么…我现在该走了\n
slimedragon_victory_5	啵！\n\n#cy#啵！#ec#\n\n
slimedungeon_dragon_arrives_1	咯咯咯。\n\n#cy#你总算出现了，#ec# #cr#侵略者！#ec#\n\n#cy#你现在归还我的权力和力量还来得及。要不然，我的#ec# #cg#超强力朋友#ec# #cy#会给你上一课。#ec#\n
slimedungeon_dragon_arrives_2	#cy#啵啵咯。#ec#\n\n#cr#博咯博咯！#ec#\n\n#co#嘎鲁，咯噜，咕咕咕咕！#ec#\n
slimedungeon_dragon_arrives_3	额，杰里布，他说了什么？我听不懂。\n
slimedungeon_dragon_arrives_4	#cr#！！！！！嘎鲁！#ec#\n\n#cy#他说要把你变成一坨江湖，然后把我装进玻璃杯喝掉。#ec#\n\n#cr#哦哦哦#ec##cy#，这个该死的家伙！这是你应得的！#heroname#，进攻！#ec#\n
slimedungeon_dragon_arrives_5	（我怎么会听从一个头顶带着蝴蝶结的史莱姆的命令）\n\n好吧，#cy#侵略者#ec#，我来了！\n\n
slimedungeon_finalarea_intro_1	咯咯咯。\n\n#cy##heroname#，这是#ec# 计划的最后一步！我们把它从敌人那里夺回来，然后...#ec#\n\n#cy#等等，那个#ec# #cr#窃取我力量#ec##cy#的史莱姆在哪里？我们即将胜利，他无处可逃。#ec#\n\n#cy#我敢打赌他正在集结力量准备最后的决战。我们最好#cy#在他来前#ec#，#ec# #cg#尽可能占领更多的哨塔#ec# ！\n
slimedungeon_tutorial_part1_1	这是一座#cy#史莱姆哨塔#ec#。我们需要帮助我们的#cy#史莱姆友军#ec#占领它们！我们的部队将自动寻找哨塔并移动过去。\n\n每次它们靠近哨塔，它就会开始转变为#cg#我方领地#ec#。转换完毕，它将为什么带来更多史莱姆友军。如果我们能占据#cg#所有的哨塔#ec#，我们就可以进入下一个战场！\n\n不幸的是，敌人的部队也会做同样的事情。如果他们占领了所有的哨塔，我们只能重新开始这场战斗。\n\n
slimedungeon_tutorial_part1_2	这里还有一件很重要的东西：#cg#彩色地块#ec#。当一个哨塔被转变后，彩色地块会向外扩展。\n\n如果我们的部队进入敌人地块，这些地块会#cg#有一部分转换#ec#成我们的，然后部队消失。敌方部队也是这样。\n\n战场很快会被彩色地块覆盖。请牢记这些，#heroname#!\n\n
slimedungeon_tutorial_part1_3	当你站在彩色地块上时，你会#cy#清除它#ec#。而且任何时候你对敌人部队造成伤害，他们将#cy#失去他们的回合#ec#。使用正确的策略，你可以扭转战局，帮忙我们的部队打败敌人！\n\n不过，敌人的士兵也很强大：#cr#精英队长#ec#将和你对战。你必须尽最大的努力才能获取战斗的胜利。\n\n
slimedungeon_tutorial_part1_4	你都理解了吗？还是再重复一次？\n\n
slimedungeon_tutorial_part1_5	好！我相信你，#cg##heroname##ec#。我现在要跳进你的口袋，失去巨龙之力的我帮不了你太多。\n\n祝好运！\n\n
slimedungeon_victory_txt	嘀哩嘀哩。\n\n#cy#就是这样！你做到了，#heroname#！既然你已经占据了这片领土，我们就可以去下一个战场了。#ec#\n\n#cy#不要忘了检查你的#ec# #cg#道具和素材#ec#。\n
spirit_dragon_defeated_1	谢谢你，#cg#年轻的战士#ec#。你已经按照我说的做了，我的灵魂得到了解脱。\n\n我很快会离开这个国度，也许我们会再其它世界再次相会。\n\n
spirit_dragon_defeated_2	希望如此，#co#巨龙#ec#。再见。\n\n
spirit_dragon_intro_1	那一定是#co#回响巨龙#ec#的身体！现在我要做的就是在#cc#祝福之池#ec#击败它...\n\n#co#巨龙#ec#，如果你能听到我，我很抱歉必须与你作战！\n\n
spirit_dragon_intro_2	你的勇气让你走到了这里。我很抱歉没有其它办法。\n\n
spirit_dungeon_intro_1	你为什么来这里，凡人？这里是#co#精神圣殿#ec#。不是你应该来的地方。\n\n
spirit_dungeon_intro_10	在#cc#祝福之池#ec#击败一个怪物？我能做到的。你等着吧，#co#巨龙#ec#。我马上会让你知道。\n\n
spirit_dungeon_intro_2	#cy#（谁在和我说话？#cy#声音#ec#出现在我的脑海内，但我没有看到有人在这里说话）#ec#\n\n额，你好， #cg#回声#ec#。你在哪里？你叫什么？\n\n这是什么地方？\n\n
spirit_dungeon_intro_3	我是#co#回响巨龙#ec#,，我在这个#co#国度#ec#的顶峰休养。只要你踏入其中，我就可以和你沟通。\n\n我再问一次：你为什么来这里？这里是囚禁#cy#不安灵魂#ec#的地方；封印着渴望战斗的#cr#怪物#ec#。我将这里和#cy#凡人的世界#ec#隔绝来保护你们。\n\n
spirit_dungeon_intro_4	说来话长…我不是从#cy#凡人的世界#ec#来的。我是通过一种叫#cc#梦#ec#的方法。我本不知道怎么来这里，一条#co#小龙#ec#给了我提示。\n\n他的名字叫His name is #cg#霍拉提奥#ec#，你认识他吗？\n\n
spirit_dungeon_intro_5	#cg#霍拉提奥#ec#？！那个愚蠢的家伙！我早该知道他会透露我们的位置。现在通道已经打开，你们的世界将陷入巨大的危机。\n\n#cy#不安灵魂#ec#们已经不受我控制！他们会不断挑起战争，我无法阻止他们。你们最后的希望是在他们发起攻击前离开。\n\n
spirit_dungeon_intro_6	我不知道会引起这么多问题。我很抱歉！我以为你和#cg#霍拉提奥#ec#一样，是个#cr#讨厌的怪物#ec#，准备像对他一样，狠揍你一顿。\n\n但是，你是一条#co#和善的巨龙#ec#,，对吧？你为什么不能亲自阻止那些怪物哪？\n\n
spirit_dungeon_intro_7	事情没那么就简单。当我使用力量#cy#封印#ec#这个国度的时候，巨大的反噬将我的灵魂和肉体分割了。\n\n我可以和你心灵交流，像现在这样，但我的肉体是一句#cy#无脑的野兽#ec#，在这个#co#国度#ec#毫无目的的不断徘徊。同时，我的灵魂也被#cy#困#ec#在这个地方无法离开。\n\n如果你碰到我的肉身，你会#cr#被攻击并撕碎#ec#。这就是我悲惨的命运。\n\n
spirit_dungeon_intro_8	太可怕了！就这样决定了，#co#巨龙#ec#，我要解救你#cy#并且#ec#让这些灵魂安息。在把这些修正之前，我不会离开。\n\n告诉我我应该怎么做！\n\n
spirit_dungeon_intro_9	你真是个勇敢的人。难怪你能打败#cg#霍拉提奥#ec#。很好，我来说明一下。\n\n要让#cg#怪物安息#ec#，你必须在它们站在#cc#祝福之池#ec#上时打败它们。如果你不是在祝福之池上击败它们，就会出现一个#cr#复仇之魂#ec#。你必须小心战斗！\n\n让灵魂安息，你就可以到达这个#co#国度#ec#的更高层。如果你能用同样的方法打败我的肉身，也许我也能重归平静。\n\n
spirit_dungeon_unlocked_txt	哇，一场#cy#梦中梦#ec#！如果霍拉提奥说的是真的，这一定就是另一个#co#巨龙#ec#国度。\n\n
status_all_elem_debuff_name	元素弱化
tutorial_dragonsoul_learned_txt	你学会一个#co#断龙#ec#技能！这个特殊的#cc#被动技能#ec#不占用被动格子。但是，同时只能装备一个#co#断龙#ec#技能。\n\n装备以后，一个#co#巨龙之力#ec# 计量条会出现在头像边上。当你受到伤害时，计量条会增长。计量条满时，你的角色会发光：可以使用威力巨大的#co#断龙#ec#攻击！\n\n你只要简单的#cg#攻击一个敌人#ec#，#co#断龙#ec#技能就会自动生效。计量条充满时，如果不使用，#cy#15 回合#ec#后，你的#co#龙之力#ec#就会被重置。\n\n
tyrant_dragon_defeated_1	你太强大了，我们无法获胜。\n\n我是领袖，惩罚我放过其他人。\n\n
tyrant_dragon_defeated_2	没有人会被惩罚！就像我之前说的，我是来#cg#帮助你们找到一个新的家园#ec#。\n\n你们会有足够的空间去#cy#生活#ec#，并且不会伤害到任何人。\n\n不过，你可能会遇到#大鸟#ec#，但是他们会控住住自己的。\n\n
tyrant_dragon_defeated_3	你说的是真的？太惊喜了。\n\n你是个强大且友善的生物。\n\n
tyrant_dragon_defeated_4	你也是个坚强的生物，#co#巨龙Dragon#ec#！\n\n也会有一天我们会再次相遇。\n\n
tyrant_dragon_enrage_txt	我以前以为它是疯的。如果不加强防御的话我会被烤熟的！\n\n
tyrant_dragon_intro_1	他肯定是另一条#cg#巨龙#ec#。\n\n毫无疑问是他让这里的怪物陷入疯狂。如果他离开这片丛林将带来不可言喻的伤害…我不需要#cy#在这里击败他#ec#！\n\n
tyrant_dragon_intro_2	讨厌的小东西。你进入我的森林并且攻击我们，为什么？\n\n
tyrant_dragon_intro_3	啊，又一个会说话的？！\n\n我现在都不会感到吃惊了。\n\n你们到处游荡威胁到了溪谷营地。我不能让你们继续这样伤害我的朋友们！\n\n
tyrant_dragon_intro_4	我们正寻找新的居住地，这里太小了。我们需要空间来居住和生活。\n\n你挡住我们的路了。\n\n
tyrant_dragon_intro_5	等等，你需要一个新家？也许我可以帮到你。我去过纷乱深渊的很多地方，有些空间非常巨大！\n\n我可以带你去那里，然后-\n\n
tyrant_dragon_intro_6	你来到这里还和我的孩子们战斗。我们为什么要信任你？\n\n我们将一如既往地想去哪去哪。\n\n靠边站。\n\n
tyrant_dragon_intro_7	我知道我可能没有给你留下好的印象，但我保证，我可以帮助你。\n\n请让我为您带路。这样，您就不用伤害任何人，并且...\n\n
tyrant_dragon_intro_8	小家伙，闭嘴！\n\n你入侵、撒谎和打扰到了我们\n\n你很勇敢，但#cr#我们会让你知道什么是害怕#ec#。\n\n
tyrant_dragon_intro_9	... 你知道，#cy#不打不相识#ec#。\n\n
ui_dragonsoul_slot	当你的巨龙之力达到最大值时激活。巨龙之力会因受到伤害而增加。一次只能装备一个龙魂。
ui_misc_result	成果：
weapontype_whip	长边
xp2_find_frogbog_txt	#cy#提示#ec#找到#cy#^$getstring:frogbognearby$^#ec#附近的#cg#^$getstring:bogname$^#ec#!\n\n
xp2_obj_robotbomb_name	神秘炸药
xp2_slime_lieutenant_name	杰利中尉
exp2_slime_tower_name	史莱姆高塔
exp1_mon_metalslime_blue_name	破界者（C型）
exp1_mon_metalslime_red_name	破界者（M型）
exp1_mon_metalslime_yellow_name	破界者（Y型）
