abil_skill_summonvoidcrystal_name	Conjure Void Crystal
exp_dialog_learnskill_fromitem_text	The stone hums with energy, and you feel as if you are on the verge of discovering long-forgotten knowledge. With enough concentration, you could reveal the mystery within.
exp_dialog_unlocksharamode_txt	<size=50><color=#40b843>CONGRATULATIONS!</color></size>\n\nYou have unlocked #cc#Shara's Story#ec#. This is a separate adventure through #cg#Tangledeep#ec# with a new story and unique gameplay.\n\nFrom now on, you can select this new story when starting a new character in #cy#any save slot#ec#.\n\n
exp_dualwielder_bonus1	Reduced penalties for dual wielding with any weapon types. Increased Swiftness, Spirit, and Discipline.
exp_dualwielder_bonus2	The duration of your Scroll summons is doubled.
exp_dualwielder_bonus3	Scrolls and Inkstorm deal +25% damage to adjacent enemies.
exp_dualwielder_jobdesc	Master of the pen and the sword, this dual-wielding specialist eschews defense in favor of powerful combos and elemental attacks.
exp_energyshield_add	An #cc#Energy Shield#ec# surrounds #cy#^tag1^#ec#!
exp_fisherman_name	Mysterious Wanderer
exp_item_gem8_name	Platinum
exp_item_gem9_name	Diamond
exp_item_runeofknowledge	Rune of Knowledge
exp_item_runeofknowledge0_desc	There is true wisdom engraved into this stone, I can feel it! If I use everything I've learned to decipher the rune, I bet it's gonna be worthwhile.
exp_item_runeofknowledge1_desc	There is true wisdom engraved into this stone, I can feel it! If I use everything I've learned to decipher the rune, I bet it's gonna be worthwhile.
exp_item_runeofknowledge2_desc	There is true wisdom engraved into this stone, I can feel it! If I use everything I've learned to decipher the rune, I bet it's gonna be worthwhile.
exp_item_runeofknowledge3_desc	There is true wisdom engraved into this stone, I can feel it! If I use everything I've learned to decipher the rune, I bet it's gonna be worthwhile.
exp_item_runeofknowledge4_desc	There is true wisdom engraved into this stone, I can feel it! If I use everything I've learned to decipher the rune, I bet it's gonna be worthwhile.
exp_item_runeofknowledge5_desc	There is true wisdom engraved into this stone, I can feel it! If I use everything I've learned to decipher the rune, I bet it's gonna be worthwhile.
exp_item_runeofknowledge6_desc	There is true wisdom engraved into this stone, I can feel it! If I use everything I've learned to decipher the rune, I bet it's gonna be worthwhile.
exp_item_runeofknowledge7_desc	There is true wisdom engraved into this stone, I can feel it! If I use everything I've learned to decipher the rune, I bet it's gonna be worthwhile.
exp_item_runeofknowledge8_desc	There is true wisdom engraved into this stone, I can feel it! If I use everything I've learned to decipher the rune, I bet it's gonna be worthwhile.
exp_item_runeofknowledge9_desc	There is true wisdom engraved into this stone, I can feel it! If I use everything I've learned to decipher the rune, I bet it's gonna be worthwhile.
exp_item_runeofknowledge_extradesc	Teaches a new #cy#skill#ec# at the cost of ^number1^ JP.
exp_item_sharaorb_desc	Shara is gone. I only wish we had grown up together; if she knew the life I led before we met, maybe things would have been different. Holding this orb, I can feel the ambition and desire that drove her in life. If I hope to ever understand her, I must take it to the Dreamcaster!
exp_item_sharaorb_name	Shara's Orb of Reverie
exp_item_weapon0_name	Rusted Sword
exp_job_dualwielder	Calligrapher
exp_job_SORCERESS_desc1	You #cr#do not gain experience#ec#. Instead, raise stats by spending JP. New abilities are learned by finding them in #cy#Pandora's Boxes#ec#.
exp_job_SORCERESS_jobdesc 	Seeking redemption...
exp_jobname_sorceress	Sorceress
exp_leg_accessoryname1	Jewel
exp_leg_accessoryname10	Curio
exp_leg_accessoryname11	Talisman
exp_leg_accessoryname12	Heirloom
exp_leg_accessoryname13	Discovery
exp_leg_accessoryname14	Award
exp_leg_accessoryname15	Trifle
exp_leg_accessoryname16	Bauble
exp_leg_accessoryname17	Grace
exp_leg_accessoryname18	Glamour
exp_leg_accessoryname19	Fortune
exp_leg_accessoryname2	Trinket
exp_leg_accessoryname20	Majesty
exp_leg_accessoryname21	Keepsake
exp_leg_accessoryname3	Stone
exp_leg_accessoryname4	Ornament
exp_leg_accessoryname5	Memento
exp_leg_accessoryname6	Masterpiece
exp_leg_accessoryname7	Charm
exp_leg_accessoryname8	Wonder
exp_leg_accessoryname9	Oddity
exp_leg_accessorypropername1	Agimat
exp_leg_accessorypropername10	Omphalos
exp_leg_accessorypropername2	Sviagris
exp_leg_accessorypropername3	Lyngurium
exp_leg_accessorypropername4	Cintamani
exp_leg_accessorypropername5	Baetylus
exp_leg_accessorypropername6	Nidhi
exp_leg_accessorypropername7	Yliaster
exp_leg_accessorypropername8	Azoth
exp_leg_accessorypropername9	Materia
exp_leg_armorpropername1	Kavacha
exp_leg_armorpropername10	Titan
exp_leg_armorpropername11	Adamantium
exp_leg_armorpropername12	Carmagnole
exp_leg_armorpropername13	Hades
exp_leg_armorpropername14	Heike
exp_leg_armorpropername2	Hephaestus
exp_leg_armorpropername3	Genji
exp_leg_armorpropername4	Maximillian
exp_leg_armorpropername5	Armatura
exp_leg_armorpropername6	Minerva
exp_leg_armorpropername7	Tiamat
exp_leg_armorpropername8	Neptune
exp_leg_armorpropername9	Jupiter
exp_leg_axename1	Axe
exp_leg_axename2	Cutter
exp_leg_axename3	Cleaver
exp_leg_axename4	Hatchet
exp_leg_axename5	Chopper
exp_leg_axepropername1	Labrys
exp_leg_axepropername2	Parashu
exp_leg_axepropername3	Ulfhedinn
exp_leg_axepropername4	Rampage
exp_leg_axepropername5	Zeus
exp_leg_axepropername6	Ares
exp_leg_axepropername7	Colossus
exp_leg_bookpropername1	Thoth
exp_leg_bookpropername10	Mazarbul
exp_leg_bookpropername11	Dorgannas Iaur
exp_leg_bookpropername12	Parma Culuina
exp_leg_bookpropername13	Quentale Ardanomion
exp_leg_bookpropername2	Sibylline
exp_leg_bookpropername3	Rauoskinna
exp_leg_bookpropername4	Destiny
exp_leg_bookpropername5	Odyssey
exp_leg_bookpropername6	Galactica
exp_leg_bookpropername7	Quintessence
exp_leg_bookpropername8	Magicka
exp_leg_bookpropername9	Merlinus
exp_leg_clawname1	Claw
exp_leg_clawname2	Fist
exp_leg_clawname3	Knuckle
exp_leg_clawname4	Scissors
exp_leg_clawname5	Paw
exp_leg_clawname6	Talon
exp_leg_clawpropername1	Godhand
exp_leg_clawpropername2	Oversoul
exp_leg_clawpropername3	Ehrgeiz
exp_leg_clawpropername4	Warmonger
exp_leg_clawpropername5	Kenkonken
exp_leg_clawpropername6	Verethragna
exp_leg_clawpropername7	Spharai
exp_leg_daggername1	Spike
exp_leg_daggername2	Skewer
exp_leg_daggername3	Poker
exp_leg_daggername4	Piercer
exp_leg_daggername5	Fang
exp_leg_daggername6	Barb
exp_leg_daggername7	Kris
exp_leg_daggername8	Dagger
exp_leg_daggername9	Knife
exp_leg_daggerpropername1	Carnwennan
exp_leg_daggerpropername2	Mercury
exp_leg_daggerpropername3	Fenrir
exp_leg_daggerpropername4	Danjuro
exp_leg_daggerpropername5	Jamadhar
exp_leg_daggerpropername6	Asura
exp_leg_daggerpropername7	Midnight
exp_leg_defensename1	Protection
exp_leg_defensename10	Sheath
exp_leg_defensename11	Defense
exp_leg_defensename12	Guardian
exp_leg_defensename13	Defender
exp_leg_defensename14	Garrison
exp_leg_defensename15	Redoubt
exp_leg_defensename16	Stronghold
exp_leg_defensename17	Castle
exp_leg_defensename2	Guard
exp_leg_defensename3	Aegis
exp_leg_defensename4	Bastion
exp_leg_defensename5	Bulwark
exp_leg_defensename6	Fortress
exp_leg_defensename7	Wall
exp_leg_defensename8	Ward
exp_leg_defensename9	Shelter
exp_leg_generaldescriptorname1	Celestial
exp_leg_generaldescriptorname10	Hallowed
exp_leg_generaldescriptorname11	Mystical
exp_leg_generaldescriptorname12	Indomitable
exp_leg_generaldescriptorname13	Omnipotent
exp_leg_generaldescriptorname14	Invincible
exp_leg_generaldescriptorname15	Indestructible
exp_leg_generaldescriptorname16	Endless
exp_leg_generaldescriptorname17	Epic
exp_leg_generaldescriptorname18	Heroic
exp_leg_generaldescriptorname19	Honored
exp_leg_generaldescriptorname2	Eternal
exp_leg_generaldescriptorname20	Exquisite
exp_leg_generaldescriptorname21	Lone
exp_leg_generaldescriptorname22	Forlorn
exp_leg_generaldescriptorname23	Tremendous
exp_leg_generaldescriptorname24	Overflowing
exp_leg_generaldescriptorname25	Dreaded
exp_leg_generaldescriptorname26	Jumbo
exp_leg_generaldescriptorname27	Unwavering
exp_leg_generaldescriptorname28	Unforgettable
exp_leg_generaldescriptorname29	Unfamothable
exp_leg_generaldescriptorname3	Glorious
exp_leg_generaldescriptorname30	Cryptic
exp_leg_generaldescriptorname31	Inscrutable
exp_leg_generaldescriptorname4	Infinite
exp_leg_generaldescriptorname5	Blessed
exp_leg_generaldescriptorname6	Infernal
exp_leg_generaldescriptorname7	Immortal
exp_leg_generaldescriptorname8	Supreme
exp_leg_generaldescriptorname9	Transcendant
exp_leg_genericobjectname1	Artifact
exp_leg_genericobjectname10	Nightmare
exp_leg_genericobjectname11	Gift
exp_leg_genericobjectname12	Legacy
exp_leg_genericobjectname13	Journey
exp_leg_genericobjectname14	Fate
exp_leg_genericobjectname15	Mystery
exp_leg_genericobjectname16	Oath
exp_leg_genericobjectname17	Calling
exp_leg_genericobjectname18	Essence
exp_leg_genericobjectname19	Resolve
exp_leg_genericobjectname2	Relic
exp_leg_genericobjectname20	Command
exp_leg_genericobjectname3	Trophy
exp_leg_genericobjectname4	Honor
exp_leg_genericobjectname5	Bounty
exp_leg_genericobjectname6	Enigma
exp_leg_genericobjectname7	Monument
exp_leg_genericobjectname8	Victory
exp_leg_genericobjectname9	Memory
exp_leg_genericweaponname1	Armament
exp_leg_genericweaponname10	Brawl
exp_leg_genericweaponname11	Justice
exp_leg_genericweaponname12	Lawgiver
exp_leg_genericweaponname13	Doom
exp_leg_genericweaponname14	Havoc
exp_leg_genericweaponname15	Discord
exp_leg_genericweaponname2	Assault
exp_leg_genericweaponname3	Conflict
exp_leg_genericweaponname4	War
exp_leg_genericweaponname5	Onslaught
exp_leg_genericweaponname6	Skirmisher
exp_leg_genericweaponname7	Strife
exp_leg_genericweaponname8	Sorrow
exp_leg_genericweaponname9	Suffering
exp_leg_glovename1	Glove
exp_leg_glovename2	Gauntlet
exp_leg_glovename3	Hand
exp_leg_glovename4	Mitt
exp_leg_glovename5	Bracer
exp_leg_hammername1	Crusher
exp_leg_hammername2	Smasher
exp_leg_hammername3	Slammer
exp_leg_hammername4	Hammer
exp_leg_hammername5	Mace
exp_leg_hammername6	Slugger
exp_leg_hammername7	Sledge
exp_leg_hammername8	Driver
exp_leg_hammername9	Gavel
exp_leg_hammerpropername1	Mjolnir
exp_leg_hammerpropername2	Ukonvasara
exp_leg_hammerpropername3	Sharur
exp_leg_hammerpropername4	Yagrush
exp_leg_hammerpropername5	Ayamur
exp_leg_hammerpropername6	Hercules
exp_leg_hammerpropername7	Juggernaut
exp_leg_heavyarmorname1	Armor
exp_leg_heavyarmorname2	Plate
exp_leg_heavyarmorname3	Tabard
exp_leg_heavyarmorname4	Hauberk
exp_leg_helmetname1	Helmet
exp_leg_helmetname2	Helm
exp_leg_helmetname3	Cap
exp_leg_helmetname4	Hat
exp_leg_helmetname5	Crown
exp_leg_helmetname6	Headgear
exp_leg_helmetpropername1	Tarnhelm
exp_leg_helmetpropername2	Goswhit
exp_leg_historicname1	Alestane
exp_leg_historicname10	Weaver
exp_leg_historicname100	Jazaram
exp_leg_historicname101	Bradywan
exp_leg_historicname11	Hillebrand
exp_leg_historicname12	Mikaelson
exp_leg_historicname13	Moppet
exp_leg_historicname14	Unaz
exp_leg_historicname15	Axehan
exp_leg_historicname16	Chaseidor
exp_leg_historicname17	Alderwyn
exp_leg_historicname18	Kreinak
exp_leg_historicname19	Wardingrow
exp_leg_historicname2	Lady Wildfire
exp_leg_historicname20	Disdonn
exp_leg_historicname21	Patashu
exp_leg_historicname22	Ashaba
exp_leg_historicname23	Seizui
exp_leg_historicname24	Orshelack
exp_leg_historicname25	Orphean
exp_leg_historicname26	Broga
exp_leg_historicname27	Zok
exp_leg_historicname28	Hekorek
exp_leg_historicname29	Avarinne
exp_leg_historicname3	Bardic
exp_leg_historicname30	Cyflan
exp_leg_historicname31	Jirosu
exp_leg_historicname32	Arovin
exp_leg_historicname33	Yargoth
exp_leg_historicname34	Wingi
exp_leg_historicname35	Deansher
exp_leg_historicname36	Argus
exp_leg_historicname37	Kalleina
exp_leg_historicname38	Umatilla
exp_leg_historicname39	Mukenin
exp_leg_historicname4	Jaemo
exp_leg_historicname40	Imano
exp_leg_historicname41	Tailorian
exp_leg_historicname42	Veedor
exp_leg_historicname43	Arendor
exp_leg_historicname44	Braude
exp_leg_historicname45	Duatha
exp_leg_historicname46	Grawn
exp_leg_historicname47	Irskep
exp_leg_historicname48	Maurog
exp_leg_historicname49	Shepard
exp_leg_historicname5	Xandaz
exp_leg_historicname50	Koumakan
exp_leg_historicname51	Silton
exp_leg_historicname52	Talcerase
exp_leg_historicname53	Donovan
exp_leg_historicname54	Jamous
exp_leg_historicname55	Jaych
exp_leg_historicname56	Mahare
exp_leg_historicname57	Khuuj
exp_leg_historicname58	Mollok
exp_leg_historicname59	Aedriam
exp_leg_historicname6	Dana
exp_leg_historicname60	Antor
exp_leg_historicname61	Sana
exp_leg_historicname62	Usagi
exp_leg_historicname63	Naar
exp_leg_historicname64	Hybrys
exp_leg_historicname65	Pakratos
exp_leg_historicname66	Balblair
exp_leg_historicname67	Zageron
exp_leg_historicname68	Zereth
exp_leg_historicname69	Anubins
exp_leg_historicname7	Whisle
exp_leg_historicname70	Fenix
exp_leg_historicname71	Halthrax
exp_leg_historicname72	Aldaroc
exp_leg_historicname73	Baram
exp_leg_historicname74	Pavel
exp_leg_historicname75	Disdanes
exp_leg_historicname76	Mogan
exp_leg_historicname77	Temuchin
exp_leg_historicname78	Ronkoteous
exp_leg_historicname79	Hersho
exp_leg_historicname8	Rance
exp_leg_historicname80	Eruntalan
exp_leg_historicname81	Erutan
exp_leg_historicname82	Mahaku
exp_leg_historicname83	Frikandel
exp_leg_historicname84	Darahalian
exp_leg_historicname85	Bahnmor
exp_leg_historicname86	Tamrick
exp_leg_historicname87	Clegmir
exp_leg_historicname88	Zeba
exp_leg_historicname89	Ryuutai
exp_leg_historicname9	Ridokilos
exp_leg_historicname90	Teldurn
exp_leg_historicname91	Kerviel
exp_leg_historicname92	Draconus
exp_leg_historicname93	Merkules
exp_leg_historicname94	Theyla
exp_leg_historicname95	Atarun
exp_leg_historicname96	Torzelan
exp_leg_historicname97	Phae
exp_leg_historicname98	Kriyab
exp_leg_historicname99	Nathias
exp_leg_instrumentname1	Song
exp_leg_instrumentname2	Reverie
exp_leg_instrumentname3	Anthem
exp_leg_instrumentname4	Aria
exp_leg_instrumentname5	Ballad
exp_leg_instrumentname6	Hymn
exp_leg_instrumentname7	Chorale
exp_leg_instrumentname8	Symphony
exp_leg_lightarmorname1	Robes
exp_leg_lightarmorname2	Robe
exp_leg_lightarmorname3	Shirt
exp_leg_lightarmorname4	Cloak
exp_leg_lightarmorname5	Wrap
exp_leg_lightarmorname6	Tunic
exp_leg_lightarmorname7	Garb
exp_leg_magicbookname1	Book
exp_leg_magicbookname2	Tome
exp_leg_magicbookname3	Dictionary
exp_leg_magicbookname4	Atlas
exp_leg_magicbookname5	Codex
exp_leg_magicbookname6	Lexicon
exp_leg_magicbookname7	Grimoire
exp_leg_magicbookname8	Chronicle
exp_leg_magicbookname9	Record
exp_leg_magicname1	Sorcery
exp_leg_magicname2	Prophecy
exp_leg_magicname3	Spell
exp_leg_magicname4	Aura
exp_leg_magicname5	Hex
exp_leg_magicname6	Enchantment
exp_leg_magicname7	Charm
exp_leg_magicname8	Jinx
exp_leg_magicname9	Wizardry
exp_leg_mediumarmorname1	Mail
exp_leg_mediumarmorname2	Vest
exp_leg_mediumarmorname3	Jacket
exp_leg_mediumarmorname4	Coat
exp_leg_mediumarmorname5	Harness
exp_leg_mediumarmorname6	Suit
exp_leg_necklacename1	Amulet
exp_leg_necklacename2	Necklace
exp_leg_necklacename3	Choker
exp_leg_necklacename4	Pendant
exp_leg_necklacename5	Talisman
exp_leg_necklacename6	Brooch
exp_leg_personaldescriptorname1	Cherished
exp_leg_personaldescriptorname10	Favorite
exp_leg_personaldescriptorname11	Stolen
exp_leg_personaldescriptorname12	Beloved
exp_leg_personaldescriptorname13	Misplaced
exp_leg_personaldescriptorname14	Hidden
exp_leg_personaldescriptorname15	Forsaken
exp_leg_personaldescriptorname16	Priceless
exp_leg_personaldescriptorname17	Fabulous
exp_leg_personaldescriptorname2	Prized
exp_leg_personaldescriptorname3	Fabled
exp_leg_personaldescriptorname4	Forgotten
exp_leg_personaldescriptorname5	Lost
exp_leg_personaldescriptorname6	Famous
exp_leg_personaldescriptorname7	Esteemed
exp_leg_personaldescriptorname8	Honored
exp_leg_personaldescriptorname9	Trusty
exp_leg_quivername1	Quiver
exp_leg_quivername2	Arrows
exp_leg_quivername3	Ammunition
exp_leg_quivername4	Bolts
exp_leg_quivername5	Satchel
exp_leg_quivername6	Rucksack
exp_leg_rangedpropername1	Xiuhcoatl
exp_leg_rangedpropername10	Buriza
exp_leg_rangedpropername11	Vulcan
exp_leg_rangedpropername12	Eurytos
exp_leg_rangedpropername13	Arcturus
exp_leg_rangedpropername14	Windforce
exp_leg_rangedpropername15	Andromeda
exp_leg_rangedpropername16	Rikonodo
exp_leg_rangedpropername17	Renner
exp_leg_rangedpropername18	Meridian
exp_leg_rangedpropername2	Tathlum
exp_leg_rangedpropername3	Sagitta
exp_leg_rangedpropername4	Astra
exp_leg_rangedpropername5	Apollo
exp_leg_rangedpropername6	Artemis
exp_leg_rangedpropername7	Perseus
exp_leg_rangedpropername8	Yoichi
exp_leg_rangedpropername9	Sagittarius
exp_leg_rangedweaponname1	Cannon
exp_leg_rangedweaponname2	Shot
exp_leg_rangedweaponname3	Peacemaker
exp_leg_rangedweaponname4	Missile
exp_leg_rangedweaponname5	Bow
exp_leg_ringname1	Ring
exp_leg_ringname2	Band
exp_leg_ringname3	Signet
exp_leg_ringname4	Loop
exp_leg_ringname5	Mark
exp_leg_ringpropername1	Sviagris
exp_leg_ringpropername2	Nibelungen
exp_leg_ringpropername3	Draupnir
exp_leg_ringpropername4	Harmonia
exp_leg_ringpropername5	Maduin
exp_leg_ringpropername6	Angelica
exp_leg_shieldpropername1	Svalinn
exp_leg_shieldpropername10	Ziedrich
exp_leg_shieldpropername11	Lustrum
exp_leg_shieldpropername12	Astroche
exp_leg_shieldpropername13	Prytwen
exp_leg_shieldpropername2	Duban
exp_leg_shieldpropername3	Pridwen
exp_leg_shieldpropername4	Evalach
exp_leg_shieldpropername5	Khetaka
exp_leg_shieldpropername6	Jaivardan
exp_leg_shieldpropername7	Zodiac
exp_leg_shieldpropername8	Megalesia
exp_leg_shieldpropername9	Hesperides
exp_leg_spearname1	Spear
exp_leg_spearname2	Lance
exp_leg_spearname3	Skewer
exp_leg_spearname4	Halberd
exp_leg_spearname5	Pike
exp_leg_spearname6	Partisan
exp_leg_spearname7	Glaive
exp_leg_spearpropername1	Gungnir
exp_leg_spearpropername2	Longinus
exp_leg_spearpropername3	Gae Bolg
exp_leg_spearpropername4	Otegine
exp_leg_spearpropername5	Tonbokiri
exp_leg_spearpropername6	Erlang Shen
exp_leg_spearpropername7	Vel
exp_leg_staffname1	Staff
exp_leg_staffname2	Rod
exp_leg_staffname3	Wand
exp_leg_staffname4	Scepter
exp_leg_staffname5	Cane
exp_leg_staffname6	Stick
exp_leg_staffname7	Pole
exp_leg_staffname8	Baton
exp_leg_staffname9	Twig
exp_leg_staffpropername1	Kaladanda
exp_leg_staffpropername2	Caduceus
exp_leg_staffpropername3	Gambanteinn
exp_leg_staffpropername4	Thyrsus
exp_leg_staffpropername5	Asclepius
exp_leg_staffpropername6	Judgment
exp_leg_staffpropername7	Nemesis
exp_leg_staffpropername8	Nirvana
exp_leg_swordname1	Brand
exp_leg_swordname2	Blade
exp_leg_swordname3	Edge
exp_leg_swordname4	Cutter
exp_leg_swordname5	Sword
exp_leg_swordname6	Razor
exp_leg_swordpropername1	Masamune
exp_leg_swordpropername10	Tyrfing
exp_leg_swordpropername11	Ragnarok
exp_leg_swordpropername2	Muramasa
exp_leg_swordpropername3	Excalibur
exp_leg_swordpropername4	Caladbolg
exp_leg_swordpropername5	Fragarach
exp_leg_swordpropername6	Balmung
exp_leg_swordpropername7	Galatine
exp_leg_swordpropername8	Dainslaif
exp_leg_swordpropername9	Levateinn
exp_leg_whipname1	Whip
exp_leg_whipname2	Lash
exp_leg_whipname3	Coil
exp_leg_whipname4	Snake
exp_leg_whipname5	Viper
exp_leg_whippropername1	Chentu
exp_leg_whippropername2	Dragon Whisker
exp_leg_whippropername3	Brynhildr
exp_leg_whippropername4	Rosethorn
exp_leg_whippropername5	Sleipnir
exp_log_eatweapon	#cy#^tag1^#ec# eats your weapon, ^tag2^!
exp_log_error_noportal_mysterydungeon	You can't use your #cc#Portal#ec# here!
exp_log_healfountain	You recover #cg#Health, Stamina, and Energy#ec# from the #cc#Fountain#ec#!
exp_log_mastery_knowitall	There is #cy#nothing more for me to learn#ec#...
exp_log_monster_atefood	#cy#^tag1^#ec# steals and eats #cy#^tag2^#ec#'s #cg#^tag3^#ec#!
exp_log_powerup_absorb	#cy#^tag1^#ec# absorbs the powerup, restoring #cg#^tag2^#ec# Health!
exp_log_readcombatbook	You read the #cy#Combat Biography#ec#, gaining #cc#^tag1^#ec# Brushstrokes!
exp_log_resilientmonster	#cy#^tag1^#ec# hangs on by a thread!
exp_log_runestone_gone	The #cy#^tag1^#ec# vanishes, infusing you with #cg#forgotten knowledge#ec#!
exp_log_shara_floorstocampfire	#cy#^tag1^#ec# floors on the main path until you #cc#make camp#ec#!
exp_log_shara_noportal	#cr#There is nowhere for your#ec# #cy#Escape Portal#ec##cr# to go...#ec#
exp_log_shieldshatter	^tag1^'s #cc#Energy Shield#ec# shatters!
exp_map_campfire_shara_name	Shara's Camp
exp_mapobj_forbiddance_name	Forbidding Rune
exp_mapobj_letter_name	Letter
exp_mapobj_oilslick_name	Oil Slick
exp_mapobj_shadoworb_name	Melee Orb
exp_mapobj_sparks_name	Electric Sparks
exp_mapobj_watervapor_name	Obscuring Mist
exp_minidreamcaster_name	Mini Dreamcaster
exp_misc_bonus	BONUS!
exp_misc_dominated	DOMINATED
exp_misc_itemupgraded	Your ^tag1^ has been #cy#upgraded#ec#!
exp_misc_notenoughgold_upgrade	You #cr#don't have enough#ec# #cy#gold#ec# to upgrade that item!
exp_misc_promptlearnskill_fromitem	Learn Skill #cc#^$getstring:skilltolearn$^#ec# (#cg#^$getstring:itemskilljpcost$^#ec# JP)
exp_misc_repeatbuy	This ability may be purchased multiple times.
exp_misc_slowed	SLOWED!
exp_mm_brigandboost_desc	^number1^ Brigand skill dmg
exp_mm_budokaboost_desc	^number1^ Budoka skill dmg
exp_mm_budokavalid_desc	Does not interfere with unarmed fighting
exp_mm_edgethaneboost_desc	^number1^ Edge Thane skill dmg
exp_mm_floramancerboost_desc	^number1^ Floramancer skill dmg (not summons)
exp_mm_gamblerboost_desc	^number1^ Gambler skill dmg
exp_mm_hunterboost_desc	^number1^ Hunter skill dmg
exp_mm_husynboost_desc	^number1^ HuSyn skill dmg 
exp_mm_paladinboost_desc	^number1^ Paladin skill dmg
exp_mm_passive_armortraining_desc	Movement skills in Heavy Armor cause area dmg (Armor Training)
exp_mm_passive_bloodtracking_desc	On hit: ^number1^ chance to Track, increasing dmg and visibility (Blood Tracking)
exp_mm_passive_fatchance_desc	^number1^ chance to ignore Full status when eating food (Fat Chance)
exp_mm_passive_gloriousbattler_desc	Empower song and gain CT on defeating monsters (Glorious Battler)
exp_mm_passive_hazardsweep_desc	^number1^ chance to destroy hazards on step (Hazard Sweep)
exp_mm_passive_herbforaging_desc	Chance to find healing herbs from monsters (Foraging)
exp_mm_passive_immunology_desc	^number1^ chance to ignore debuffs, your debuffs last longer (Immunology)
exp_mm_passive_qimastery_desc	On crit: Restore Energy (Qi Mastery)
exp_mm_passive_thornedskin_desc	^number1^ chance to reflect melee dmg (Thorned Skin)
exp_mm_soulkeeperboost_desc	^number1^ Soulkeeper skill dmg (not summons)
exp_mm_spellshaperboost_desc	^number1^ Spellshaper unmodified Evocation dmg
exp_mmod_mm_glide_desc	Glide's cooldown is reduced by ^number1^, with greater control over landing tile but no instant cooldown refresh
exp_mmod_mm_inkstorm_desc	Inkstorm deals an additional ^number1^ damage per hit, at the cost of ^number2^ range
exp_mmod_mm_waterscroll_desc	Water Scroll's range is increased by ^number1^, but damage is reduced by ^number2^
exp_mon_axewielder_name	Bandit Enforcer
exp_mon_batslime_name	Archmold
exp_mon_bladefrog_name	Bladefrog
exp_mon_boltspirit_name	Bolt Demon
exp_mon_bouldertoad_name	Swamp Trihorn
exp_mon_budoka_name	Bandit Budoka
exp_mon_butterfly_name	Monarch
exp_mon_chameleon_name	Chameleon
exp_mon_chemist2_name	Mad Genius
exp_mon_chonkfrog_name	Tumtum Frog
exp_mon_cubeslime_name	Cuboid Jelly
exp_mon_guardianseeker2_name	Guardian Corsair
exp_mon_komodon2_name	Emperor Komodon
exp_mon_mimic_name	Mimic
exp_mon_minicubeslime_name	Mini Cuboid Jelly
exp_mon_phasmacannon_name	Phasma Cannon
exp_mon_pistolshrimp_name	Cannon Crawdad
exp_mon_robotmantis_name	Robomantis
exp_mon_scientist_device_name	Unknown Device
exp_mon_scientist_summoner_name	Ingersoll
exp_mon_shara_finalboss_name	Core Guardian
exp_mon_shovelgolem_name	Shovel Knight
exp_mon_spiritstag_name	Eidolon
exp_mon_staffbandit_name	Bandit Staffmaster
exp_mon_tentacle_name	Waterstalker
exp_mon_toxicslime_name	Toxic Slime
exp_mon_venomancer_name	Bandit Venomancer
exp_mon_xp_heavygolem_name	Security Golem
exp_mon_xp_powerorbiter_name	Guardian Protector
exp_monmaker_banditprefix1	Bandit
exp_monmaker_banditprefix2	Rogue
exp_monmaker_banditprefix3	Outlaw
exp_monmaker_banditprefix4	Raider
exp_monmaker_banditprefix5	Brigand
exp_monmaker_banditprefix6	Bird
exp_monmaker_banditprefix7	Pirate
exp_monmaker_banditsuffix1	Scout
exp_monmaker_banditsuffix10	Lieutenant
exp_monmaker_banditsuffix11	Sergeant
exp_monmaker_banditsuffix2	Explorer
exp_monmaker_banditsuffix3	Recruit
exp_monmaker_banditsuffix4	Lookout
exp_monmaker_banditsuffix5	Patrol
exp_monmaker_banditsuffix6	Spotter
exp_monmaker_banditsuffix7	Skirmisher
exp_monmaker_banditsuffix8	Lackey
exp_monmaker_banditsuffix9	Rookie
exp_monmaker_beastconcatprefix1	Bristle
exp_monmaker_beastconcatprefix2	Sharp
exp_monmaker_beastconcatprefix3	Razor
exp_monmaker_beastconcatprefix4	Big
exp_monmaker_beastconcatprefix5	Slick
exp_monmaker_beastconcatprefix6	Iron
exp_monmaker_beastconcatsuffix1	back
exp_monmaker_beastconcatsuffix2	ox
exp_monmaker_beastconcatsuffix3	bear
exp_monmaker_beastconcatsuffix4	claw
exp_monmaker_beastconcatsuffix5	bite
exp_monmaker_beastconcatsuffix6	mouth
exp_monmaker_beastconcatsuffix7	scale
exp_monmaker_beastconcatsuffix8	paw
exp_monmaker_beastprefix1	Scruffy
exp_monmaker_beastprefix10	Jungle
exp_monmaker_beastprefix11	Grazing
exp_monmaker_beastprefix2	Snarling
exp_monmaker_beastprefix3	Noble
exp_monmaker_beastprefix4	Mangy
exp_monmaker_beastprefix5	Hungry
exp_monmaker_beastprefix6	Common
exp_monmaker_beastprefix7	Feral
exp_monmaker_beastprefix8	Clouded
exp_monmaker_beastprefix9	Surefooted
exp_monmaker_beastsuffix1	Beast
exp_monmaker_beastsuffix2	Critter
exp_monmaker_beastsuffix3	Fiend
exp_monmaker_beastsuffix4	Varmint
exp_monmaker_beastsuffix5	Brute
exp_monmaker_beastsuffix6	Glutton
exp_monmaker_coloredprefix1	Spotted
