abil_skill_summonvoidcrystal_name	Conjurar Cristal del vacío
dialog_shara_preboss3_part1_11	¿¡#cc#I sea el propósito!?#ec#\n\n
dialog_shara_preboss3_part1_12	Mi #cc#propósito#ec# está bien claro. ¡Desde que tengo memoria, he sido llamada a este lugar para usar #cy#mis poderes#ec# para arreglar este mundo!\n\n
dialog_shara_preboss3_part1_13	#cy#SHARA_SERVIVO, PROPÓSITO: LLAMADA A LA PLANTA DE ENSAMBLAJE PARA REPARACIONES. ESTÁS SIENDO EVALUADA. POR FAVOR, NO TE MUEVAS#ec#\n\n
dialog_shara_preboss3_part1_14	#cy#...\n\n......\n\n.........#ec#\n\n
dialog_shara_preboss3_part1_15	#cy#COINCIDENCIA DE SHARA_SERVIVO CON AVATAR DE REPARACIONES: #cr#49 %#cy#\n\nTU PROPÓSITO HA SIDO DENEGADO.\n\n#cr#ABANDONA LA PLANTA DE ENSAMBLAJE INMEDIATAMENTE.#ec#\n\n
dialog_shara_preboss3_part1_16	¿Venir aquí ha sido mi propósito desde que tengo recuerdos y tú me estás diciendo que se me ha «denegado»?\n\n#cr#¡Cómo te atreves!#ec#\n\n
dialog_shara_preboss3_part1_17	Hagamos un trato. He aprendido mucho del bosque de abajo, y compartiré mis hallazgos encantada si tú me cuentas más sobre la #cy#tecnología#ec# que…\n\n
dialog_shara_preboss3_part1_18	#cr#SHARA_SERVIVO.#ec#\n\n#cy#ABANDONA LA PLANTA DE ENSAMBLAJE INMEDIATAMENTE,#ec# #cr#O SERÁS ELIMINADA.\n\n#cr#ESTA ES TU ÚLTIMA ADVERTENCIA.#ec#\n\n
dialog_shara_preboss3_part1_19	¡#cr#No pienso#ec# marcharme!\n\nMi #cc#propósito#ec# es absoluto! ¡Este mundo está roto, su gente vive en la oscuridad y la ignorancia, y con la tecnología que nos estás #cy#ocultando#ec# yo podría arreglarlo todo!\n\nEsa máquina que creo materia del aire podría acabar con todas las #cy#penurias#ec# y #cy#conflictos#ec# por los recursos y…\n\n
dialog_shara_preboss3_part1_2	¡Sí, por fin! La #cc#Savia#ec# fluye por este dispositivo igual que por el que usaba #cy#Ingersoll#ec#, ¿pero quién lo controla?\n\n¡Espera, la #cy#energía#ec# está aumentando!\n\n
dialog_shara_preboss3_part1_20	#cr#SHARA_SERVIVO. PREPÁRATE PARA LA DESCONEXIÓN PERMANENTE Y EL DESENSAMBLAJE.#ec#\n\n
dialog_shara_preboss3_part1_21	#cr#¡TÚ. NO. VAS. A DETENERME!#ec#\n\n
dialog_shara_preboss3_part1_3	¿Qué... Qué es lo que acabo de ver?\n\n
dialog_shara_preboss3_part1_4	¿El dispositivo acaba de crear #cy#materia#ec# a partir de la nada? Eso no es… Bueno, #cy#no debería#ec# ser…\n\nTengo que encontrar a quien sea que está controlando esto y hablar con esa persona #cy#de inmediato#ec#.\n\n
dialog_shara_preboss3_part1_5	#cr#INTRUSO. INTRUSO.#ec#\n\n#cy#DETENTE. NO SIGAS AVANZANDO. INDICA TU NOMBRE.#ec#\n\n
dialog_shara_preboss3_part1_6	¿Esas armaduras mágicas pueden #cy#habla#ec#r?
dialog_shara_preboss3_part1_7	¿Hay... alguien dentro? Tendría que ser un alguien muy pequeño…\n\n
dialog_shara_preboss3_part1_8	#cr#INDICA TU NOMBRE.#ec#\n\n
dialog_shara_preboss3_part1_9	Vale, está bien.\n\nHola, armadura parlante. Me llamo Shara. ¿Encantada de conocerte?\n\n
dialog_waypoint_unlocked_text_shara	#big##cg#¡Parada desbloqueada!#ec##endbig#\n\nAhora puedes #cy#viajar rápidamente#ec# a #cy#^$getstring:fasttravel_destination$^#ec# desde la seguridad del #cc#Campamento de Shara#ec#.\n\nTambién puedes usar tu ^tag5^ en un área lateral segura.\n\n
exp_armormaster_statue_name	Estatua del maestro de armaduras
exp_armormaster_statue_text	Es la estatua de un #cy#poderoso protector#ec#, maestro de todas las armaduras y escudos.\n\nUn aura benevolente permea la #cc#Savia#ec# de este lugar, como si él quisiera que yo obtuviese un #cg#fragmento de su saber#ec#.\n\n¿Debería meditar aquí?\n
exp_bomb_minibombs_desc	Estas cositas son tan pequeñas y monas, que casi me da pena lanzarlas…
exp_bomb_minibombs_effectdesc	Impacta un área pequeña con miniexplosiones que infligen daño Físico en función del ^number1^ de la Salud actual.
exp_bomb_minibombs_name	Bombletitas
exp_bomb_oildrum_desc	Estoy segura de que cuando encuentre un lugar donde tirar esto, valdrá la pena.
exp_bomb_oildrum_effectdesc	Crea un charco de aceite que dura ^number1^ turnos. Los monstruos en el aceite reciben ^number2^ de daño por Veneno y los efectos de Fuego prenderán la llama (^number3^ de daño por turno).
exp_bomb_oildrum_name	Barril de aceite
exp_campaign_select_info_mirai	Lo que impulsa a Mirai es su curiosidad innata. Empieza entre un variopinto grupo de personajes en el Campamento Cantorrodado y acaba adentrándose en Tangledeep para revelar sus misterios.\n\nEs la historia principal del juego, #cc#para jugadores de todos los niveles.#ec# Gana experiencia para subir de nivel y puntos de oficio (PO) para aprender las habilidades de diversas profesiones.
exp_campaign_select_info_shara	Shara está destinada a un propósito superior. Abandonada en la inhóspita espesura de Tangledeep cuando era niña, decide labrarse su propio camino.\n\n¡Una #cr#aventura exigente#ec# para veteranos de Tangledeep! Gasta PO para mejorar atributos y aprender habilidades de una amplia selección #cc#aleatoria#ec# mediante cofres y eventos especiales.
exp_campaign_select_label_mirai	Historia de Mirai
exp_campaign_select_label_shara	Historia de Shara
exp_campaign_select_title	<size=60>#cy#¿Qué viaje emprenderás?#ec#</size>\n\n«Tangledeep me llama, y sus secretos tal vez cambien este mundo…»
exp_choose_shara_ability_text	#big##cc#Aprender nuevo poder#ec##endbig#\n\nTu sed de conocimientos ha desbloqueado un nuevo #cc#poder#ec#. Selecciona uno a continuación y elige con cuidado… ¡Tal vez no vuelvas a ver esa opción nunca más!\n
exp_choose_shara_ability_unique_text	Siento que cada día estoy más cerca de mi objetivo. Mi dominio de la #Savia#ec# crece...\n
exp_damage_down	¡BAJA EL DAÑO!
exp_dialog_learnskill_fromitem_text	La piedra vibra de energía y sientes que estás a punto de descubrir conocimientos hace mucho tiempo olvidados. Si te concentras lo suficiente, podrás revelar el misterio de su interior.
exp_dialog_unlocksharamode_txt	<size=50><color=#40b843>¡FELICIDADES!</color></size>\n\nHas desbloqueado la #cc#Historia de Shara#ec#. Se trata de una aventura distinta a través de #cg#Tangledeep#ec# con una nueva historia y estilo de juego únicos.\n\nA partir de ahora, podrás seleccionar esta nueva campaña cuando empieces con un nuevo personaje en #cy#cualquier ranura de memoria#ec#.\n\n
exp_dualwielder_bonus1	Penalizaciones reducidas por blandir dos armas de cualquier tipo. Mayor Rapidez, Espíritu y Disciplina.
exp_dualwielder_bonus2	Duplica la duración de tus invocaciones con pergaminos.
exp_dualwielder_bonus3	Los pergaminos y Tormenta de tinta infligen +25 % de daño a los enemigos adyacentes.
exp_dualwielder_jobdesc	Maestra de la pluma y la espada, esta especialista en armas dobles desdeña la defensa en favor de potentes combos y ataques elementales.
exp_energyshield_add	¡Un #cc#Escudo de energía#ec# rodea a #cy#^tag1^#ec#!
exp_fisherman_name	Trotamundos misterioso
exp_item_gem8_name	Platino
exp_item_gem9_name	Diamante
exp_item_runeofknowledge	Runa del conocimiento
exp_item_runeofknowledge_extradesc	En esta piedra hay verdadera sabiduría grabada, ¡lo percibo! Si uso todo lo que he aprendido para descifrar la runa, seguro que valdrá la pena.
exp_item_runeofknowledge0_desc	En esta piedra hay verdadera sabiduría grabada, ¡lo percibo! Si uso todo lo que he aprendido para descifrar la runa, seguro que valdrá la pena.
exp_item_runeofknowledge1_desc	En esta piedra hay verdadera sabiduría grabada, ¡lo percibo! Si uso todo lo que he aprendido para descifrar la runa, seguro que valdrá la pena.
exp_item_runeofknowledge2_desc	En esta piedra hay verdadera sabiduría grabada, ¡lo percibo! Si uso todo lo que he aprendido para descifrar la runa, seguro que valdrá la pena.
exp_item_runeofknowledge3_desc	En esta piedra hay verdadera sabiduría grabada, ¡lo percibo! Si uso todo lo que he aprendido para descifrar la runa, seguro que valdrá la pena.
exp_item_runeofknowledge4_desc	En esta piedra hay verdadera sabiduría grabada, ¡lo percibo! Si uso todo lo que he aprendido para descifrar la runa, seguro que valdrá la pena.
exp_item_runeofknowledge5_desc	En esta piedra hay verdadera sabiduría grabada, ¡lo percibo! Si uso todo lo que he aprendido para descifrar la runa, seguro que valdrá la pena.
exp_item_runeofknowledge6_desc	En esta piedra hay verdadera sabiduría grabada, ¡lo percibo! Si uso todo lo que he aprendido para descifrar la runa, seguro que valdrá la pena.
exp_item_runeofknowledge7_desc	En esta piedra hay verdadera sabiduría grabada, ¡lo percibo! Si uso todo lo que he aprendido para descifrar la runa, seguro que valdrá la pena.
exp_item_runeofknowledge8_desc	En esta piedra hay verdadera sabiduría grabada, ¡lo percibo! Si uso todo lo que he aprendido para descifrar la runa, seguro que valdrá la pena.
exp_item_runeofknowledge9_desc	Enseña una nueva #cy#habilidad#ec# a cambio de ^number1^ PO.
exp_item_sharaorb_desc	Shara ya no está entre nosotros. Ojalá hubiéramos crecido juntas; si hubiera conocido la vida que yo llevaba antes de encontrarme con ella, tal vez las cosas habrían sido diferentes. Al sujetar este orbe pudo sentir la ambición y el deseo que fueron el motor de su vida. ¡Si quiero llegar a entenderla algún día, debo llevarlo al Urdesueños!
exp_item_sharaorb_name	Orbe de ensueño de Shara
exp_item_weapon0_name	Espada oxidada
exp_job_dualwielder	Calígrafa
exp_job_SORCERESS_desc1	#cr#No ganas experiencia#ec#. En su lugar, subes los atributos gastando PO. Aprendes nuevas habilidades encontrándolas en las #cy#Cajas de Pandora#ec#.
exp_job_SORCERESS_jobdesc	Buscando redención
exp_jobname_sorceress	Hechicera
exp_leg_accessoryname1	Joya
exp_leg_accessoryname10	Curiosidad
exp_leg_accessoryname11	Talismán
exp_leg_accessoryname12	Legado
exp_leg_accessoryname13	Descubrimiento
exp_leg_accessoryname14	Galardón
exp_leg_accessoryname15	Bagatela
exp_leg_accessoryname16	Fruslería
exp_leg_accessoryname17	Gracia
exp_leg_accessoryname18	Glamour
exp_leg_accessoryname19	Fortuna
exp_leg_accessoryname2	Baratija
exp_leg_accessoryname20	Majestad
exp_leg_accessoryname21	Recuerdo
exp_leg_accessoryname3	Piedra
exp_leg_accessoryname4	Ornamento
exp_leg_accessoryname5	Recuerdo
exp_leg_accessoryname6	Obra maestra
exp_leg_accessoryname7	Filacteria
exp_leg_accessoryname8	Maravilla
exp_leg_accessoryname9	Rareza
exp_leg_accessorypropername1	Agimat
exp_leg_accessorypropername10	Omphalos
exp_leg_accessorypropername2	Sviagris
exp_leg_accessorypropername3	Lyngurium
exp_leg_accessorypropername4	Cintamani
exp_leg_accessorypropername5	Baetylus
exp_leg_accessorypropername6	Nidhi
exp_leg_accessorypropername7	Yliaster
exp_leg_accessorypropername8	Azoth
exp_leg_accessorypropername9	Materia
exp_leg_armorpropername1	Kavacha
exp_leg_armorpropername10	Titanio
exp_leg_armorpropername11	Adamantio
exp_leg_armorpropername12	Carmañola
exp_leg_armorpropername13	Hades
exp_leg_armorpropername14	Heike
exp_leg_armorpropername2	Hefesto
exp_leg_armorpropername3	Genji
exp_leg_armorpropername4	Maximiliano
exp_leg_armorpropername5	Armatura
exp_leg_armorpropername6	Minerva
exp_leg_armorpropername7	Tiamat
exp_leg_armorpropername8	Neptuno
exp_leg_armorpropername9	Júpiter
exp_leg_axename1	Hacha
exp_leg_axename2	Taladora
exp_leg_axename3	Hachón
exp_leg_axename4	Hachuela
exp_leg_axename5	Picadora
exp_leg_axepropername1	Labrys
exp_leg_axepropername2	Parashu
exp_leg_axepropername3	Ulfhedinn
exp_leg_axepropername4	Devastación
exp_leg_axepropername5	Zeus
exp_leg_axepropername6	Ares
exp_leg_axepropername7	Coloso
exp_leg_bookpropername1	Thoth
exp_leg_bookpropername10	Mazarbul
exp_leg_bookpropername11	Dorgannas Iaur
exp_leg_bookpropername12	Parma Culuina
exp_leg_bookpropername13	Quentale Ardanomion
exp_leg_bookpropername2	Sibilino
exp_leg_bookpropername3	Rauoskinna
exp_leg_bookpropername4	Destino
exp_leg_bookpropername5	Odisea
exp_leg_bookpropername6	Galáctica
exp_leg_bookpropername7	Quintaesencia
exp_leg_bookpropername8	Magicka
exp_leg_bookpropername9	Merlinus
exp_leg_clawname1	Garra
exp_leg_clawname2	Puño
exp_leg_clawname3	Nudillo
exp_leg_clawname4	Tijera
exp_leg_clawname5	Pata
exp_leg_clawname6	Espolón
exp_leg_clawpropername1	Mano de Dios
exp_leg_clawpropername2	Oversoul
exp_leg_clawpropername3	Ehrgeiz
exp_leg_clawpropername4	Belicista
exp_leg_clawpropername5	Kenkonken
exp_leg_clawpropername6	Verethragna
exp_leg_clawpropername7	Spharai
exp_leg_daggername1	Pincho
exp_leg_daggername2	Ensartador
exp_leg_daggername3	Espetón
exp_leg_daggername4	Saeta
exp_leg_daggername5	Colmillo
exp_leg_daggername6	Púa
exp_leg_daggername7	Kris
exp_leg_daggername8	Daga
exp_leg_daggername9	Cuchillo
exp_leg_daggerpropername1	Carnwennan
exp_leg_daggerpropername2	Mercurio
exp_leg_daggerpropername3	Fenrir
exp_leg_daggerpropername4	Danjuro
exp_leg_daggerpropername5	Jamadhar
exp_leg_daggerpropername6	Asura
exp_leg_daggerpropername7	Medianoche
exp_leg_defensename1	Protección
exp_leg_defensename10	Blindaje
exp_leg_defensename11	Defensa
exp_leg_defensename12	Guardián
exp_leg_defensename13	Defensor
exp_leg_defensename14	Guarnición
exp_leg_defensename15	Reducto
exp_leg_defensename16	Fortín
exp_leg_defensename17	Castillo
exp_leg_defensename2	Guarda
exp_leg_defensename3	Égida
exp_leg_defensename4	Bastión
exp_leg_defensename5	Baluarte
exp_leg_defensename6	Fortaleza
exp_leg_defensename7	Muro
exp_leg_defensename8	Protector
exp_leg_defensename9	Refugio
exp_leg_generaldescriptorname1	Celestial
exp_leg_generaldescriptorname10	Sagrado
exp_leg_generaldescriptorname11	Místico
exp_leg_generaldescriptorname12	Indomable
exp_leg_generaldescriptorname13	Omnipotente
exp_leg_generaldescriptorname14	Invencible
exp_leg_generaldescriptorname15	Indestructible
exp_leg_generaldescriptorname16	Perenne
exp_leg_generaldescriptorname17	Épico
exp_leg_generaldescriptorname18	Heroico
exp_leg_generaldescriptorname19	Honrado
exp_leg_generaldescriptorname2	Eterno
exp_leg_generaldescriptorname20	Exquisito
exp_leg_generaldescriptorname21	Solitario
exp_leg_generaldescriptorname22	Triste
exp_leg_generaldescriptorname23	Tremendo
exp_leg_generaldescriptorname24	Desbordante
exp_leg_generaldescriptorname25	Temido
exp_leg_generaldescriptorname26	Gigante
exp_leg_generaldescriptorname27	Inquebrantable
exp_leg_generaldescriptorname28	Inolvidable
exp_leg_generaldescriptorname29	Insondable
exp_leg_generaldescriptorname3	Glorioso
exp_leg_generaldescriptorname30	Críptico
exp_leg_generaldescriptorname31	Inescrutable
exp_leg_generaldescriptorname4	Infinito
exp_leg_generaldescriptorname5	Bendito
exp_leg_generaldescriptorname6	Infernal
exp_leg_generaldescriptorname7	Inmortal
exp_leg_generaldescriptorname8	Supremo
exp_leg_generaldescriptorname9	Trascendente
exp_leg_genericobjectname1	Artefacto
exp_leg_genericobjectname10	Pesadilla
exp_leg_genericobjectname11	Regalo
exp_leg_genericobjectname12	Legado
exp_leg_genericobjectname13	Travesía
exp_leg_genericobjectname14	Destino
exp_leg_genericobjectname15	Misterio
exp_leg_genericobjectname16	Juramento
exp_leg_genericobjectname17	Vocación
exp_leg_genericobjectname18	Esencia
exp_leg_genericobjectname19	Resolución
exp_leg_genericobjectname2	Reliquia
exp_leg_genericobjectname20	Orden
exp_leg_genericobjectname3	Trofeo
exp_leg_genericobjectname4	Honor
exp_leg_genericobjectname5	Botín
exp_leg_genericobjectname6	Enigma
exp_leg_genericobjectname7	Monumento
exp_leg_genericobjectname8	Victoria
exp_leg_genericobjectname9	Memoria
exp_leg_genericweaponname1	Armamento
exp_leg_genericweaponname10	Reyerta
exp_leg_genericweaponname11	Justicia
exp_leg_genericweaponname12	Legislador
exp_leg_genericweaponname13	Ruina
exp_leg_genericweaponname14	Caos
exp_leg_genericweaponname15	Discordia
exp_leg_genericweaponname2	Asalto
exp_leg_genericweaponname3	Conflicto
exp_leg_genericweaponname4	Guerra
exp_leg_genericweaponname5	Embestida
exp_leg_genericweaponname6	Escaramuza
exp_leg_genericweaponname7	Conflicto
exp_leg_genericweaponname8	Pena
exp_leg_genericweaponname9	Sufrimiento
exp_leg_glovename1	Guante
exp_leg_glovename2	Guantelete
exp_leg_glovename3	Mano
exp_leg_glovename4	Mitón
exp_leg_glovename5	Brazal
exp_leg_hammername1	Aplastador
exp_leg_hammername2	Rompepiedras
exp_leg_hammername3	Machacador
exp_leg_hammername4	Martillo
exp_leg_hammername5	Maza
exp_leg_hammername6	Coloso
exp_leg_hammername7	Mazo
exp_leg_hammername8	Impulsor
exp_leg_hammername9	Percutor
exp_leg_hammerpropername1	Mjolnir
exp_leg_hammerpropername2	Ukonvasara
exp_leg_hammerpropername3	Sharur
exp_leg_hammerpropername4	Yagrush
exp_leg_hammerpropername5	Ayamur
exp_leg_hammerpropername6	Hércules
exp_leg_hammerpropername7	Juggernaut
exp_leg_heavyarmorname1	Armadura
exp_leg_heavyarmorname2	Cota de placas
exp_leg_heavyarmorname3	Tabardo
exp_leg_heavyarmorname4	Coraza
exp_leg_helmetname1	Yelmo
exp_leg_helmetname2	Casco
exp_leg_helmetname3	Gorra
exp_leg_helmetname4	Sombrero
exp_leg_helmetname5	Corona
exp_leg_helmetname6	Boina
exp_leg_helmetpropername1	Tarnhelm
exp_leg_helmetpropername2	Goswhit
exp_leg_historicname1	Alestane
exp_leg_historicname10	Tejedor
exp_leg_historicname100	Jazaram
exp_leg_historicname101	Bradywan
exp_leg_historicname11	Hillebrand
exp_leg_historicname12	Mikaelson
exp_leg_historicname13	Machango
exp_leg_historicname14	Unaz
exp_leg_historicname15	Axehan
exp_leg_historicname16	Chaseidor
exp_leg_historicname17	Alderwyn
exp_leg_historicname18	Kreinak
exp_leg_historicname19	Wardingrow
exp_leg_historicname2	Dama Incendio
exp_leg_historicname20	Disdonn
exp_leg_historicname21	Patashu
exp_leg_historicname22	Ashaba
exp_leg_historicname23	Seizui
exp_leg_historicname24	Orshelack
exp_leg_historicname25	Orfean
exp_leg_historicname26	Broga
exp_leg_historicname27	Zok
exp_leg_historicname28	Hekorek
exp_leg_historicname29	Avarinne
exp_leg_historicname3	Bardic
exp_leg_historicname30	Cyflan
exp_leg_historicname31	Jirosu
exp_leg_historicname32	Arovin
exp_leg_historicname33	Yargoth
exp_leg_historicname34	Wingi
exp_leg_historicname35	Deansher
exp_leg_historicname36	Argus
exp_leg_historicname37	Kalleina
exp_leg_historicname38	Umatilla
exp_leg_historicname39	Mukenin
exp_leg_historicname4	Jaemo
exp_leg_historicname40	Imano
exp_leg_historicname41	Tailorian
exp_leg_historicname42	Veedor
exp_leg_historicname43	Arendor
exp_leg_historicname44	Braude
exp_leg_historicname45	Duatha
exp_leg_historicname46	Grawn
exp_leg_historicname47	Irskep
exp_leg_historicname48	Maurog
exp_leg_historicname49	Shepard
exp_leg_historicname5	Xandaz
exp_leg_historicname50	Koumakan
exp_leg_historicname51	Silton
exp_leg_historicname52	Talcerase
exp_leg_historicname53	Donovan
exp_leg_historicname54	Jamous
exp_leg_historicname55	Jaych
exp_leg_historicname56	Mahare
exp_leg_historicname57	Khuuj
exp_leg_historicname58	Mollok
exp_leg_historicname59	Aedriam
exp_leg_historicname6	Dana
exp_leg_historicname60	Antor
exp_leg_historicname61	Sana
exp_leg_historicname62	Usagi
exp_leg_historicname63	Naar
exp_leg_historicname64	Hybrys
exp_leg_historicname65	Pakratos
exp_leg_historicname66	Balblair
exp_leg_historicname67	Zageron
exp_leg_historicname68	Zereth
exp_leg_historicname69	Anubins
exp_leg_historicname7	Whisle
exp_leg_historicname70	Fénix
exp_leg_historicname71	Halthrax
exp_leg_historicname72	Aldaroc
exp_leg_historicname73	Baram
exp_leg_historicname74	Pavel
exp_leg_historicname75	Disdanes
exp_leg_historicname76	Mogan
exp_leg_historicname77	Temuchin
exp_leg_historicname78	Ronkoteous
exp_leg_historicname79	Hersho
exp_leg_historicname8	Rance
exp_leg_historicname80	Eruntalan
exp_leg_historicname81	Erutan
exp_leg_historicname82	Mahaku
exp_leg_historicname83	Frikandel
exp_leg_historicname84	Darahalian
exp_leg_historicname85	Bahnmor
exp_leg_historicname86	Tamrick
exp_leg_historicname87	Clegmir
exp_leg_historicname88	Zeba
exp_leg_historicname89	Ryuutai
exp_leg_historicname9	Ridokilos
exp_leg_historicname90	Teldurn
exp_leg_historicname91	Kerviel
exp_leg_historicname92	Draconus
exp_leg_historicname93	Merkules
exp_leg_historicname94	Theyla
exp_leg_historicname95	Atarun
exp_leg_historicname96	Torzelan
exp_leg_historicname97	Phae
exp_leg_historicname98	Kriyab
exp_leg_historicname99	Nathias
exp_leg_instrumentname1	Canción
exp_leg_instrumentname2	Tonadilla
exp_leg_instrumentname3	Cántico
exp_leg_instrumentname4	Aria
exp_leg_instrumentname5	Balada
exp_leg_instrumentname6	Himno
exp_leg_instrumentname7	Coral
exp_leg_instrumentname8	Sinfonía
exp_leg_lightarmorname1	Chilaba
exp_leg_lightarmorname2	Toga
exp_leg_lightarmorname3	Camisa
exp_leg_lightarmorname4	Capa
exp_leg_lightarmorname5	Mantón
exp_leg_lightarmorname6	Túnica
exp_leg_lightarmorname7	Echarpe
exp_leg_magicbookname1	Libro
exp_leg_magicbookname2	Tomo
exp_leg_magicbookname3	Diccionario
exp_leg_magicbookname4	Atlas
exp_leg_magicbookname5	Códice
exp_leg_magicbookname6	Diccionario
exp_leg_magicbookname7	Grimorio
exp_leg_magicbookname8	Crónica
exp_leg_magicbookname9	Registro
exp_leg_magicname1	Conjuro
exp_leg_magicname2	Profecía
exp_leg_magicname3	Hechizo
exp_leg_magicname4	Aura
exp_leg_magicname5	Maleficio
exp_leg_magicname6	Encantamiento
exp_leg_magicname7	Embrujo
exp_leg_magicname8	Maldición
exp_leg_magicname9	Brujería
exp_leg_mediumarmorname1	Malla
exp_leg_mediumarmorname2	Chaleco
exp_leg_mediumarmorname3	Chaqueta
exp_leg_mediumarmorname4	Abrigo
exp_leg_mediumarmorname5	Arnés
exp_leg_mediumarmorname6	Vestidura
exp_leg_necklacename1	Amuleto
exp_leg_necklacename2	Collar
exp_leg_necklacename3	Gargantilla
exp_leg_necklacename4	Colgante
exp_leg_necklacename5	Talismán
exp_leg_necklacename6	Broche
exp_leg_personaldescriptorname1	Apreciado
exp_leg_personaldescriptorname10	Favorito
exp_leg_personaldescriptorname11	Robado
exp_leg_personaldescriptorname12	Amado
exp_leg_personaldescriptorname13	Extraviado
exp_leg_personaldescriptorname14	Escondido
exp_leg_personaldescriptorname15	Abandonado
exp_leg_personaldescriptorname16	Invaluable
exp_leg_personaldescriptorname17	Fabuloso
exp_leg_personaldescriptorname2	Preciado
exp_leg_personaldescriptorname3	Legendario
exp_leg_personaldescriptorname4	Olvidado
exp_leg_personaldescriptorname5	Perdido
exp_leg_personaldescriptorname6	Famoso
exp_leg_personaldescriptorname7	Estimado
exp_leg_personaldescriptorname8	Honrado
exp_leg_personaldescriptorname9	Fiable
exp_leg_quivername1	Carcaj
exp_leg_quivername2	Flechas
exp_leg_quivername3	Munición
exp_leg_quivername4	Saetas
exp_leg_quivername5	Bursa
exp_leg_quivername6	Mochila
exp_leg_rangedpropername1	Xiuhcoatl
exp_leg_rangedpropername10	Buriza
exp_leg_rangedpropername11	Vulcano
exp_leg_rangedpropername12	Éurito
exp_leg_rangedpropername13	Arturo
exp_leg_rangedpropername14	Vendaval
exp_leg_rangedpropername15	Andrómeda
exp_leg_rangedpropername16	Rikonodo
exp_leg_rangedpropername17	Renner
exp_leg_rangedpropername18	Meridian
exp_leg_rangedpropername2	Tathlum
exp_leg_rangedpropername3	Sagitta
exp_leg_rangedpropername4	Astra
exp_leg_rangedpropername5	Apolo
exp_leg_rangedpropername6	Artemisa
exp_leg_rangedpropername7	Perseo
exp_leg_rangedpropername8	Yoichi
exp_leg_rangedpropername9	Sagitario
exp_leg_rangedweaponname1	Cañón
exp_leg_rangedweaponname2	Saetero
exp_leg_rangedweaponname3	Pacificador
exp_leg_rangedweaponname4	Misil
exp_leg_rangedweaponname5	Arco
exp_leg_ringname1	Anillo
exp_leg_ringname2	Banda
exp_leg_ringname3	Sello
exp_leg_ringname4	Aro
exp_leg_ringname5	Sortija
exp_leg_ringpropername1	Sviagris
exp_leg_ringpropername2	Nibelungo
exp_leg_ringpropername3	Draupnir
exp_leg_ringpropername4	Harmonía
exp_leg_ringpropername5	Maduin
exp_leg_ringpropername6	Angélica
exp_leg_shieldpropername1	Svalinn
exp_leg_shieldpropername10	Ziedrich
exp_leg_shieldpropername11	Lustrum
exp_leg_shieldpropername12	Astroche
exp_leg_shieldpropername13	Prytwen
exp_leg_shieldpropername2	Duban
exp_leg_shieldpropername3	Pridwen
exp_leg_shieldpropername4	Evalach
exp_leg_shieldpropername5	Khetaka
exp_leg_shieldpropername6	Jaivardan
exp_leg_shieldpropername7	Zodiaco
exp_leg_shieldpropername8	Megalesia
exp_leg_shieldpropername9	Hespérides
exp_leg_spearname1	Lanza
exp_leg_spearname2	Rejón
exp_leg_spearname3	Venablo
exp_leg_spearname4	Alabarda
exp_leg_spearname5	Pica
exp_leg_spearname6	Garrocha
exp_leg_spearname7	Alabarda
exp_leg_spearpropername1	Gungnir
exp_leg_spearpropername2	Longinus
exp_leg_spearpropername3	Gae Bolg
exp_leg_spearpropername4	Otegine
exp_leg_spearpropername5	Tonbokiri
exp_leg_spearpropername6	Erlang Shen
exp_leg_spearpropername7	Vel
exp_leg_staffname1	Bastón
exp_leg_staffname2	Vara
exp_leg_staffname3	Varita
exp_leg_staffname4	Cetro
exp_leg_staffname5	Porra
exp_leg_staffname6	Rama
exp_leg_staffname7	Poste
exp_leg_staffname8	Garrote
exp_leg_staffname9	Rama
exp_leg_staffpropername1	Kaladanda
exp_leg_staffpropername2	Caduceo
exp_leg_staffpropername3	Gambanteinn
exp_leg_staffpropername4	Tirso
exp_leg_staffpropername5	Asclepio
exp_leg_staffpropername6	Juicio
exp_leg_staffpropername7	Némesis
exp_leg_staffpropername8	Nirvana
exp_leg_swordname1	Tizona
exp_leg_swordname2	Filo
exp_leg_swordname3	Arista
exp_leg_swordname4	Navaja
exp_leg_swordname5	Espada
exp_leg_swordname6	Cuchilla
exp_leg_swordpropername1	Masamune
exp_leg_swordpropername10	Tyrfing
exp_leg_swordpropername11	Ragnarök
exp_leg_swordpropername2	Muramasa
exp_leg_swordpropername3	Excálibur
exp_leg_swordpropername4	Caladbolg
exp_leg_swordpropername5	Fragarach
exp_leg_swordpropername6	Balmung
exp_leg_swordpropername7	Galatine
exp_leg_swordpropername8	Dainslaif
exp_leg_swordpropername9	Levateinn
exp_leg_whipname1	Whip
exp_leg_whipname2	Lash
exp_leg_whipname3	Coil
exp_leg_whipname4	Snake
exp_leg_whipname5	Viper
exp_leg_whippropername1	Chentu
exp_leg_whippropername2	Dragon Whisker
exp_leg_whippropername3	Brynhildr
exp_leg_whippropername4	Rosethorn
exp_leg_whippropername5	Sleipnir
exp_log_eatweapon	¡#cy#^tag1^#ec# se come tu arma, ^tag2^!
exp_log_error_noportal_mysterydungeon	¡No puedes usar tu #cc#Portal#ec# aquí!
exp_log_healfountain	¡Recuperas #cg#Salud, Resistencia y Energía#ec# de la #cc#fuente#ec#!
exp_log_mastery_knowitall	Ya #cy#no me queda nada más que aprender#ec#...
