abil_skill_summonvoidcrystal_name	無の水晶召喚
dialog_shara_preboss3_part1_16	運命に従ってここまでやって来た私を、あなたは「却下」するというの？\n\n#cr#それってあんまりだわ！#ec#\n\n
dialog_shara_preboss3_part1_17	取引しましょう。私がこの下の森について学んだ知識を分け与えてあげる。あなたが例の#cy#テクノロジー#ec#について教えてくれるなら...\n\n
dialog_shara_preboss3_part1_18	#cr#シャラ_生命体。#ec#\n\n#cy#今すぐアセンブラ施設を立ち去りなサイ。#ec# #cr#さもなくば、あなたを排除しマス。\n\n#cr#これが最後の警告デス。#ec#\n\n
dialog_shara_preboss3_part1_19	#cr#断るわ#ec#！\n\n我が#cc#使命#ec#は絶対なの！この世界は壊れていて、人々は暗闇と無知の中で暮らしている。けど、あなたが#cy#隠している#ec#テクノロジーがあれば、すべてを修正できるの！\n\n虚空から物体を創り出せるあのマシンがあれば、資源をめぐるあらゆる#cy#困難#ec#や#cy#争い#ec#に終止符を打ち...\n\n
dialog_shara_preboss3_part1_2	あったわ、ついに見つけた！#cy#インガーソル#ec#が使っていたものと同じように、この装置には#cc#フロウ#ec#が流れている。けど、誰が制御しているの？\n\n待って、#cy#エネルギー#ec#が高まっていく！\n\n
dialog_shara_preboss3_part1_20	#cr#シャラ_生命体。恒久的シャットダウンおよび解体に備えなサイ。#ec#\n\n
dialog_shara_preboss3_part1_21	#cr#あなたに、私は、止められない！#ec#\n\n
dialog_shara_preboss3_part1_3	これって...どういうこと？\n\n
dialog_shara_preboss3_part1_4	装置がこの#cy#マシン#ec#を創り出したわけ？けど、まさかね...#cy#そんなはずはないわ#ec#...\n\nこれを操っている者を見つけて、#cy#今すぐ#ec#話をしなくちゃ。\n\n
dialog_shara_preboss3_part1_5	#cr#侵入者アリ。侵入者アリ。#ec#\n\n#cy#止まりナサイ。それ以上進むナ。名乗りなサイ。#ec#\n\n
dialog_shara_preboss3_part1_6	この魔法の鎧は#cy#しゃべれる#ec#の？\n\n
dialog_shara_preboss3_part1_7	中に...誰か入っているわけ？ものすごく小さい人が...\n\n
dialog_shara_preboss3_part1_8	#cr#名乗りなサイ。#ec#\n\n
dialog_shara_preboss3_part1_9	はいはい、わかったわ。\n\nこんにちは、おしゃべりな鎧さん。私はシャラ。初めまして。\n\n
dialog_waypoint_unlocked_text_shara	#big##cg#ウェイポイント解除！#ec##endbig#\n\n今後は安全な#cc#シャラのキャンプ#ec#から、#cy#^$getstring:fasttravel_destination$^#ec#へ#cy#瞬時にワープ#ec#できます。\n\nまた、安全なサイドエリアで^tag5^を使うこともできます。\n\n
exp_armormaster_statue_name	防具マスターの像
exp_armormaster_statue_text	あらゆる鎧や盾を極めた、#cy#強力な守護者#ec#の像が立っているわ。\n\n辺りは慈悲深いオーラと#cc#フロウ#ec#が舞っていて、まるで私に#cg#知識の断片#ec#を授けたいかのよう。\n\nここで瞑想すべき？\n
exp_bomb_minibombs_desc	この爆弾ってすっごく小さくて、愛らしくて、投げるのをためらっちゃいそう...
exp_bomb_minibombs_effectdesc	小さな爆発によって狭いエリアを爆撃し、現在のHPの^number1^に基づく物理ダメージを与える。
exp_bomb_minibombs_name	ボムレット
exp_bomb_oildrum_desc	然るべき場所へぶちまければ、大いに役立つわ。
exp_bomb_oildrum_effectdesc	^number1^ターン持続する、オイルの池を生成。接触した敵は、^number2^の毒ダメージを受ける。火がつくと燃え上がり、毎ターン^number3^のダメージを与える。
exp_bomb_oildrum_name	オイル樽
exp_campaign_select_info_mirai	内なる好奇心に導かれし者、ミライ。個性的な仲間たちの暮らすリヴァーストーン村から、謎に満ちたタングルディープへと足を踏み入れる...\n\n「タングルディープ」のメインストーリー。#cc#全プレイヤー対象。#ec#経験値を稼いでレベルを上げ、ジョブポイント（JP）を使って、多彩なジョブのスキルを学びましょう。
exp_campaign_select_info_shara	大いなる使命に導かれし者、シャラ。幼い頃に過酷なタングルディープの森に捨てられ、己の道を切り開いていこうと決意する...\n\n「タングルディープ」上級者向けの#cr#手ごわい冒険#ec#！JPを使って能力を強化し、特殊な宝箱やイベントを通じて、#cc#ランダムに選ばれる#ec#スキルを学びましょう。
exp_campaign_select_label_mirai	ミライの物語
exp_campaign_select_label_shara	シャラの物語
exp_campaign_select_title	<size=60>#cy#どちらの冒険を始めますか？#ec#</size>\n\n「タングルディープが呼んでいる。その謎が世界を変えるかもしれない...」
exp_choose_shara_ability_text	#big##cc#新しいスキルを学ぶ#ec##endbig#\n\n知識を渇望する心によって、新たな#cc#スキル#ec#がアンロックされました。次の中から1つ選びましょう。ただし、同じスキルには二度と出会えないかもしれないので、くれぐれも慎重に！\n
exp_choose_shara_ability_unique_text	一日ずつ目標へ近づいていくのを感じる。#cc#フロウ#ec#の力が高まっていくのを...\n
exp_damage_down	ダメージ低下！
exp_dialog_learnskill_fromitem_text	石板がブーンと共鳴し、太古の知識が頭の中に浮かんでくる。集中して取り組めば、秘められた謎を解き明かせそうだ。
exp_dialog_unlocksharamode_txt	<size=50><color=#40b843>おめでとうございます！</color></size>\n\n#cc#シャラの物語#ec#がアンロックされました。#cg#タングルディープ#ec#のもうひとつの冒険を、新たなストーリーとゲームシステムでお楽しみください。\n\n今後は#cy#いずれかのセーブスロット#ec#で最初からゲームを始める際に、この新しい冒険を選択することができます。\n\n
exp_dualwielder_bonus1	あらゆる武器タイプで、二刀流時のペナルティが減少。俊敏、精神、規律にボーナスがつく。
exp_dualwielder_bonus2	「巻物」系スキルの効果時間が倍増する。
exp_dualwielder_bonus3	「巻物」系スキルと「墨汁嵐」の隣接する敵へのダメージが+25%上昇。
exp_dualwielder_jobdesc	筆と剣の技を極めた、二刀流のスペシャリスト。守りを犠牲にしてでも、強力なコンボや元素攻撃で攻めまくる。
exp_energyshield_add	#cc#エナジーシールド#ec#が#cy#^tag1^#ec#を包み込む！
exp_fisherman_name	謎の放浪者
exp_item_gem8_name	プラチナ
exp_item_gem9_name	ダイヤモンド
exp_item_runeofknowledge	知識のルーン
exp_item_runeofknowledge_extradesc	感じるの、この石には真の英知が刻み込まれているって。持てる知識を総動員して、このルーンを解読してみせる。それだけの価値があるものだから。
exp_item_runeofknowledge0_desc	感じるの、この石には真の英知が刻み込まれているって。持てる知識を総動員して、このルーンを解読してみせる。それだけの価値があるものだから。
exp_item_runeofknowledge1_desc	感じるの、この石には真の英知が刻み込まれているって。持てる知識を総動員して、このルーンを解読してみせる。それだけの価値があるものだから。
exp_item_runeofknowledge2_desc	感じるの、この石には真の英知が刻み込まれているって。持てる知識を総動員して、このルーンを解読してみせる。それだけの価値があるものだから。
exp_item_runeofknowledge3_desc	感じるの、この石には真の英知が刻み込まれているって。持てる知識を総動員して、このルーンを解読してみせる。それだけの価値があるものだから。
exp_item_runeofknowledge4_desc	感じるの、この石には真の英知が刻み込まれているって。持てる知識を総動員して、このルーンを解読してみせる。それだけの価値があるものだから。
exp_item_runeofknowledge5_desc	感じるの、この石には真の英知が刻み込まれているって。持てる知識を総動員して、このルーンを解読してみせる。それだけの価値があるものだから。
exp_item_runeofknowledge6_desc	感じるの、この石には真の英知が刻み込まれているって。持てる知識を総動員して、このルーンを解読してみせる。それだけの価値があるものだから。
exp_item_runeofknowledge7_desc	感じるの、この石には真の英知が刻み込まれているって。持てる知識を総動員して、このルーンを解読してみせる。それだけの価値があるものだから。
exp_item_runeofknowledge8_desc	感じるの、この石には真の英知が刻み込まれているって。持てる知識を総動員して、このルーンを解読してみせる。それだけの価値があるものだから。
exp_item_runeofknowledge9_desc	^number1^ JPを消費して、新しい#cy#スキル#ec#を習得する。
exp_item_sharaorb_desc	シャラは死んだ。できれば一緒に成長したかった。シャラがもっと私の人生を知っていたら、状況は違っていたかもしれない。このオーブを持っていると、シャラを駆り立てた野心や欲望が伝わってくる。シャラのことを本当に理解しようと思うなら、このオーブをドリームキャスターに使ってみなきゃ！
exp_item_sharaorb_name	シャラの夢見のオーブ
exp_item_weapon0_name	錆ついた剣
exp_job_dualwielder	書道家
exp_job_SORCERESS_desc1	シャラは#cr#経験値を獲得しない#ec#代わりに、JPを使って能力を強化できる。新しいスキルは#cy#パンドラの箱#ec#から覚えられる。
exp_job_SORCERESS_jobdesc	救いを求めている...
exp_jobname_sorceress	魔女
exp_leg_accessoryname1	宝玉
exp_leg_accessoryname10	骨董品
exp_leg_accessoryname11	魔除け
exp_leg_accessoryname12	家宝
exp_leg_accessoryname13	発見
exp_leg_accessoryname14	褒美
exp_leg_accessoryname15	粗品
exp_leg_accessoryname16	下手物
exp_leg_accessoryname17	栄光
exp_leg_accessoryname18	美宝
exp_leg_accessoryname19	幸運
exp_leg_accessoryname2	装身具
exp_leg_accessoryname20	威光
exp_leg_accessoryname21	思い出
exp_leg_accessoryname3	宝石
exp_leg_accessoryname4	飾り
exp_leg_accessoryname5	形見
exp_leg_accessoryname6	逸品
exp_leg_accessoryname7	お守り
exp_leg_accessoryname8	驚異
exp_leg_accessoryname9	怪異
exp_leg_accessorypropername1	アギマット
exp_leg_accessorypropername10	オムファロス
exp_leg_accessorypropername2	スヴィアグリス
exp_leg_accessorypropername3	リングリウム
exp_leg_accessorypropername4	如意宝珠
exp_leg_accessorypropername5	聖石
exp_leg_accessorypropername6	ニディ
exp_leg_accessorypropername7	イリアステル
exp_leg_accessorypropername8	アゾス
exp_leg_accessorypropername9	マテリア
exp_leg_armorpropername1	カヴァチャ
exp_leg_armorpropername10	タイタン
exp_leg_armorpropername11	アダマンチウム
exp_leg_armorpropername12	カルマニョール
exp_leg_armorpropername13	ハデス
exp_leg_armorpropername14	平家
exp_leg_armorpropername2	ヘパイストス
exp_leg_armorpropername3	源氏
exp_leg_armorpropername4	マキシミリアン
exp_leg_armorpropername5	アルマトゥラ
exp_leg_armorpropername6	ミネルヴァ
exp_leg_armorpropername7	ティアマット
exp_leg_armorpropername8	ネプチューン
exp_leg_armorpropername9	ジュピター
exp_leg_axename1	斧
exp_leg_axename2	鉈
exp_leg_axename3	包丁
exp_leg_axename4	手斧
exp_leg_axename5	まさかり
exp_leg_axepropername1	ラブリュス
exp_leg_axepropername2	パラシュ
exp_leg_axepropername3	ウルフェディン
exp_leg_axepropername4	ランページ
exp_leg_axepropername5	ゼウス
exp_leg_axepropername6	アレス
exp_leg_axepropername7	コロッサス
exp_leg_bookpropername1	トート
exp_leg_bookpropername10	マザルブル
exp_leg_bookpropername11	ドルガナサス・イアウル
exp_leg_bookpropername12	パルマ・クルイナ
exp_leg_bookpropername13	クエンテール・アルダノミオン
exp_leg_bookpropername2	シビュラ
exp_leg_bookpropername3	ラウオスキナ
exp_leg_bookpropername4	運命
exp_leg_bookpropername5	探究
exp_leg_bookpropername6	銀河
exp_leg_bookpropername7	神髄
exp_leg_bookpropername8	マジカ
exp_leg_bookpropername9	マーリン
exp_leg_clawname1	爪
exp_leg_clawname2	拳
exp_leg_clawname3	ナックル
exp_leg_clawname4	シザー
exp_leg_clawname5	ポウ
exp_leg_clawname6	かぎ爪
exp_leg_clawpropername1	神手
exp_leg_clawpropername2	大霊
exp_leg_clawpropername3	エアガイツ
exp_leg_clawpropername4	戦争屋
exp_leg_clawpropername5	乾坤圏
exp_leg_clawpropername6	ヴェレスランガ
exp_leg_clawpropername7	スファライ
exp_leg_daggername1	スパイク
exp_leg_daggername2	スキューア
exp_leg_daggername3	ポーカー
exp_leg_daggername4	ピアサー
exp_leg_daggername5	ファング
exp_leg_daggername6	バーブ
exp_leg_daggername7	クリース
exp_leg_daggername8	短剣
exp_leg_daggername9	ナイフ
exp_leg_daggerpropername1	カルンウェナン
exp_leg_daggerpropername2	マーキュリー
exp_leg_daggerpropername3	フェンリル
exp_leg_daggerpropername4	団十郎
exp_leg_daggerpropername5	ジャマダハル
exp_leg_daggerpropername6	アスラ
exp_leg_daggerpropername7	ミッドナイト
exp_leg_defensename1	庇護
exp_leg_defensename10	シース
exp_leg_defensename11	保護
exp_leg_defensename12	守護
exp_leg_defensename13	護り
exp_leg_defensename14	ガリソン
exp_leg_defensename15	方形堡
exp_leg_defensename16	城塞
exp_leg_defensename17	城
exp_leg_defensename2	ガード
exp_leg_defensename3	イージス
exp_leg_defensename4	砦
exp_leg_defensename5	防塁
exp_leg_defensename6	要塞
exp_leg_defensename7	壁
exp_leg_defensename8	結界
exp_leg_defensename9	掩護
exp_leg_generaldescriptorname1	神々しき
exp_leg_generaldescriptorname10	聖なる
exp_leg_generaldescriptorname11	神秘の
exp_leg_generaldescriptorname12	不屈の
exp_leg_generaldescriptorname13	全能の
exp_leg_generaldescriptorname14	無敵の
exp_leg_generaldescriptorname15	不滅の
exp_leg_generaldescriptorname16	終わりなき
exp_leg_generaldescriptorname17	雄大な
exp_leg_generaldescriptorname18	英雄の
exp_leg_generaldescriptorname19	栄冠の
exp_leg_generaldescriptorname2	永遠の
exp_leg_generaldescriptorname20	珠玉の
exp_leg_generaldescriptorname21	孤独な
exp_leg_generaldescriptorname22	絶望の
exp_leg_generaldescriptorname23	圧巻の
exp_leg_generaldescriptorname24	怒涛の
exp_leg_generaldescriptorname25	恐るべき
exp_leg_generaldescriptorname26	巨大な
exp_leg_generaldescriptorname27	揺るぎない
exp_leg_generaldescriptorname28	忘れがたき
exp_leg_generaldescriptorname29	深遠な
exp_leg_generaldescriptorname3	誉れ高き
exp_leg_generaldescriptorname30	謎めいた
exp_leg_generaldescriptorname31	不可解な
exp_leg_generaldescriptorname4	悠久の
exp_leg_generaldescriptorname5	祝福されし
exp_leg_generaldescriptorname6	禍々しき
exp_leg_generaldescriptorname7	不死の
exp_leg_generaldescriptorname8	至高の
exp_leg_generaldescriptorname9	超越の
exp_leg_genericobjectname1	遺宝
exp_leg_genericobjectname10	悪夢
exp_leg_genericobjectname11	贈り物
exp_leg_genericobjectname12	遺産
exp_leg_genericobjectname13	旅
exp_leg_genericobjectname14	運命
exp_leg_genericobjectname15	謎
exp_leg_genericobjectname16	誓い
exp_leg_genericobjectname17	呼び声
exp_leg_genericobjectname18	神髄
exp_leg_genericobjectname19	決意
exp_leg_genericobjectname2	秘宝
exp_leg_genericobjectname20	采配
exp_leg_genericobjectname3	褒美
exp_leg_genericobjectname4	名誉
exp_leg_genericobjectname5	報酬
exp_leg_genericobjectname6	神秘
exp_leg_genericobjectname7	モニュメント
exp_leg_genericobjectname8	勝利
exp_leg_genericobjectname9	記憶
exp_leg_genericweaponname1	武具
exp_leg_genericweaponname10	争い
exp_leg_genericweaponname11	正義
exp_leg_genericweaponname12	裁き
exp_leg_genericweaponname13	滅び
exp_leg_genericweaponname14	暴虐
exp_leg_genericweaponname15	確執
exp_leg_genericweaponname2	強襲
exp_leg_genericweaponname3	紛争
exp_leg_genericweaponname4	闘争
exp_leg_genericweaponname5	猛襲
exp_leg_genericweaponname6	小戦
exp_leg_genericweaponname7	反目
exp_leg_genericweaponname8	悲しみ
exp_leg_genericweaponname9	苦しみ
exp_leg_glovename1	グローブ
exp_leg_glovename2	ガントレット
exp_leg_glovename3	ハンド
exp_leg_glovename4	ミット
exp_leg_glovename5	ブレーサー
exp_leg_hammername1	クラッシャー
exp_leg_hammername2	スマッシャー
exp_leg_hammername3	スラマー
exp_leg_hammername4	ハンマー
exp_leg_hammername5	メイス
exp_leg_hammername6	スラッガー
exp_leg_hammername7	スレッジ
exp_leg_hammername8	ドライバー
exp_leg_hammername9	ガヴェル
exp_leg_hammerpropername1	ミョルニル
exp_leg_hammerpropername2	ウコンバサラ
exp_leg_hammerpropername3	シャルル
exp_leg_hammerpropername4	ヤグルシュ
exp_leg_hammerpropername5	アヤムル
exp_leg_hammerpropername6	ヘラクレス
exp_leg_hammerpropername7	ジャガーノート
exp_leg_heavyarmorname1	アーマー
exp_leg_heavyarmorname2	プレート
exp_leg_heavyarmorname3	陣羽織
exp_leg_heavyarmorname4	ホーバーク
exp_leg_helmetname1	兜
exp_leg_helmetname2	ヘルム
exp_leg_helmetname3	キャップ
exp_leg_helmetname4	帽子
exp_leg_helmetname5	冠
exp_leg_helmetname6	ヘッドギア
exp_leg_helmetpropername1	ターンヘルム
exp_leg_helmetpropername2	ゴスウィット
exp_leg_historicname1	アレスタイン
exp_leg_historicname10	織工
exp_leg_historicname100	ジャザラム
exp_leg_historicname101	ブラディワン
exp_leg_historicname11	ヒルブランド
exp_leg_historicname12	ミカエルソン
exp_leg_historicname13	モペット
exp_leg_historicname14	ウナズ
exp_leg_historicname15	アクセン
exp_leg_historicname16	キャセイドア
exp_leg_historicname17	アルダーウィン
exp_leg_historicname18	クレイナック
exp_leg_historicname19	ウォーディングロウ
exp_leg_historicname2	鬼火女
exp_leg_historicname20	ディスドン
exp_leg_historicname21	パタシュ
exp_leg_historicname22	アシャバ
exp_leg_historicname23	セイズイ
exp_leg_historicname24	オシャラック
exp_leg_historicname25	オルフィン
exp_leg_historicname26	ブロガ
exp_leg_historicname27	ゾック
exp_leg_historicname28	ヘコレック
exp_leg_historicname29	アヴァリン
exp_leg_historicname3	吟遊詩人
exp_leg_historicname30	シフラン
exp_leg_historicname31	ジロス
exp_leg_historicname32	アロヴィン
exp_leg_historicname33	ヤーゴス
exp_leg_historicname34	ウィンギ
exp_leg_historicname35	ディンシャー
exp_leg_historicname36	アーガス
exp_leg_historicname37	カレイナ
exp_leg_historicname38	ウマティラ
exp_leg_historicname39	ムケニン
exp_leg_historicname4	ジェモ
exp_leg_historicname40	イマノ
exp_leg_historicname41	テイラーリアン
exp_leg_historicname42	ヴィドア
exp_leg_historicname43	アルエンダー
exp_leg_historicname44	ブラウデ
exp_leg_historicname45	デュアサ
exp_leg_historicname46	グラウン
exp_leg_historicname47	イルスケップ
exp_leg_historicname48	マウログ
exp_leg_historicname49	羊飼い
exp_leg_historicname5	ザンダス
exp_leg_historicname50	コウマカン
exp_leg_historicname51	シルトン
exp_leg_historicname52	タルセラセ
exp_leg_historicname53	ドノヴァン
exp_leg_historicname54	ジャマウス
exp_leg_historicname55	ジェイク
exp_leg_historicname56	マハラ
exp_leg_historicname57	キューユ
exp_leg_historicname58	モロック
exp_leg_historicname59	エイドリアム
exp_leg_historicname6	ダナ
exp_leg_historicname60	アントア
exp_leg_historicname61	サナ
exp_leg_historicname62	ウサギ
exp_leg_historicname63	ナール
exp_leg_historicname64	ヒブリス
exp_leg_historicname65	パクラトス
exp_leg_historicname66	バルブレア
exp_leg_historicname67	ザゲロン
exp_leg_historicname68	ゼレス
exp_leg_historicname69	アヌビンス
exp_leg_historicname7	ウィスル
exp_leg_historicname70	フェニクス
exp_leg_historicname71	ハルスラクス
exp_leg_historicname72	アルダロク
exp_leg_historicname73	バラム
exp_leg_historicname74	パヴェル
exp_leg_historicname75	ディスダネス
exp_leg_historicname76	モーガン
exp_leg_historicname77	テムチン
exp_leg_historicname78	ロンコテウス
exp_leg_historicname79	ハーショ
exp_leg_historicname8	ランス
exp_leg_historicname80	エルンタラン
exp_leg_historicname81	エルタン
exp_leg_historicname82	マハーク
exp_leg_historicname83	フリカンデル
exp_leg_historicname84	ダラハリアン
exp_leg_historicname85	バンモール
exp_leg_historicname86	タムリック
exp_leg_historicname87	クレグマイア
exp_leg_historicname88	ゼーバ
exp_leg_historicname89	リュウタイ
exp_leg_historicname9	リドキロス
exp_leg_historicname90	テルダーン
exp_leg_historicname91	カーヴィエル
exp_leg_historicname92	ドラコノス
exp_leg_historicname93	メルキュレス
exp_leg_historicname94	ゼイラ
exp_leg_historicname95	アタルン
exp_leg_historicname96	トルゼラン
exp_leg_historicname97	フェイ
exp_leg_historicname98	クリヤブ
exp_leg_historicname99	ナシアス
exp_leg_instrumentname1	歌
exp_leg_instrumentname2	夢
exp_leg_instrumentname3	アンセム
exp_leg_instrumentname4	アリア
exp_leg_instrumentname5	バラード
exp_leg_instrumentname6	聖歌
exp_leg_instrumentname7	讃美歌
exp_leg_instrumentname8	協奏曲
exp_leg_lightarmorname1	法衣
exp_leg_lightarmorname2	ローブ
exp_leg_lightarmorname3	シャツ
exp_leg_lightarmorname4	外套
exp_leg_lightarmorname5	巻き布
exp_leg_lightarmorname6	チュニック
exp_leg_lightarmorname7	装束
exp_leg_magicbookname1	本
exp_leg_magicbookname2	書
exp_leg_magicbookname3	辞書
exp_leg_magicbookname4	鳥瞰図
exp_leg_magicbookname5	写本
exp_leg_magicbookname6	目録
exp_leg_magicbookname7	魔術書
exp_leg_magicbookname8	年代記
exp_leg_magicbookname9	年鑑
exp_leg_magicname1	妖術
exp_leg_magicname2	予言
exp_leg_magicname3	スペル
exp_leg_magicname4	オーラ
exp_leg_magicname5	幻術
exp_leg_magicname6	魔術
exp_leg_magicname7	チャーム
exp_leg_magicname8	ジンクス
exp_leg_magicname9	験術
exp_leg_mediumarmorname1	鎧
exp_leg_mediumarmorname2	ヴェスト
exp_leg_mediumarmorname3	ジャケット
exp_leg_mediumarmorname4	コート
exp_leg_mediumarmorname5	ハーネス
exp_leg_mediumarmorname6	スーツ
exp_leg_necklacename1	アミュレット
exp_leg_necklacename2	首飾り
exp_leg_necklacename3	チョーカー
exp_leg_necklacename4	ペンダント
exp_leg_necklacename5	タリスマン
exp_leg_necklacename6	ブローチ
exp_leg_personaldescriptorname1	愛する
exp_leg_personaldescriptorname10	寵愛する
exp_leg_personaldescriptorname11	盗まれた
exp_leg_personaldescriptorname12	愛された
exp_leg_personaldescriptorname13	紛失した
exp_leg_personaldescriptorname14	隠された
exp_leg_personaldescriptorname15	赦されし
exp_leg_personaldescriptorname16	希少な
exp_leg_personaldescriptorname17	素晴らしき
exp_leg_personaldescriptorname2	大切な
exp_leg_personaldescriptorname3	伝説的な
exp_leg_personaldescriptorname4	忘れられし
exp_leg_personaldescriptorname5	失われし
exp_leg_personaldescriptorname6	有名な
exp_leg_personaldescriptorname7	高名な
exp_leg_personaldescriptorname8	名誉な
exp_leg_personaldescriptorname9	頼れる
exp_leg_quivername1	矢筒
exp_leg_quivername2	矢
exp_leg_quivername3	矢弾
exp_leg_quivername4	破魔矢
exp_leg_quivername5	雑のう
exp_leg_quivername6	背のう
exp_leg_rangedpropername1	シウコアトル
exp_leg_rangedpropername10	ブリザ
exp_leg_rangedpropername11	ヴァルカン
exp_leg_rangedpropername12	エウリュトス
exp_leg_rangedpropername13	アークトゥルス
exp_leg_rangedpropername14	風力
exp_leg_rangedpropername15	アンドロメダ
exp_leg_rangedpropername16	李広
exp_leg_rangedpropername17	レナー
exp_leg_rangedpropername18	子午線
exp_leg_rangedpropername2	タスラム
exp_leg_rangedpropername3	サギッタ
exp_leg_rangedpropername4	アストラ
exp_leg_rangedpropername5	アポロ
exp_leg_rangedpropername6	アルテミス
exp_leg_rangedpropername7	ペルセウス
exp_leg_rangedpropername8	与一
exp_leg_rangedpropername9	サジタリウス
exp_leg_rangedweaponname1	弩
exp_leg_rangedweaponname2	大弓
exp_leg_rangedweaponname3	ピースメーカー
exp_leg_rangedweaponname4	破砕弓
exp_leg_rangedweaponname5	弓
exp_leg_ringname1	指輪
exp_leg_ringname2	バンド
exp_leg_ringname3	印章
exp_leg_ringname4	ループ
exp_leg_ringname5	しるし
exp_leg_ringpropername1	スヴィアグリス
exp_leg_ringpropername2	ニーゲルング
exp_leg_ringpropername3	ドラウプニル
exp_leg_ringpropername4	ハルモニア
exp_leg_ringpropername5	マディン
exp_leg_ringpropername6	アンジェリカ
exp_leg_shieldpropername1	スヴァリン
exp_leg_shieldpropername10	ザイドリッヒ
exp_leg_shieldpropername11	ラストラム
exp_leg_shieldpropername12	アストローシュ
exp_leg_shieldpropername13	プリトゥエン
exp_leg_shieldpropername2	デュバン
exp_leg_shieldpropername3	プリドゥエン
exp_leg_shieldpropername4	エヴァラック
exp_leg_shieldpropername5	ケタカ
exp_leg_shieldpropername6	ジャイヴァルダン
exp_leg_shieldpropername7	ゾディアック
exp_leg_shieldpropername8	メガレシア
exp_leg_shieldpropername9	ヘスペリデス
exp_leg_spearname1	スピア
exp_leg_spearname2	ランス
exp_leg_spearname3	長槍
exp_leg_spearname4	ハルバード
exp_leg_spearname5	パイク
exp_leg_spearname6	パルチザン
exp_leg_spearname7	グレイヴ
exp_leg_spearpropername1	グングニル
exp_leg_spearpropername2	ロンギヌス
exp_leg_spearpropername3	ゲイ・ボルグ
exp_leg_spearpropername4	御手杵
exp_leg_spearpropername5	蜻蛉切
exp_leg_spearpropername6	アーラン・シェン
exp_leg_spearpropername7	ヴェル
exp_leg_staffname1	杖
exp_leg_staffname2	ロッド
exp_leg_staffname3	ワンド
exp_leg_staffname4	セプター
exp_leg_staffname5	ケイン
exp_leg_staffname6	スティック
exp_leg_staffname7	ポール
exp_leg_staffname8	バトン
exp_leg_staffname9	トウィグ
exp_leg_staffpropername1	カラダンダ
exp_leg_staffpropername2	カドゥケウス
exp_leg_staffpropername3	ガンバンテイン
exp_leg_staffpropername4	テュルソス
exp_leg_staffpropername5	アスクレピオス
exp_leg_staffpropername6	裁き
exp_leg_staffpropername7	ネメシス
exp_leg_staffpropername8	涅槃
exp_leg_swordname1	太刀
exp_leg_swordname2	刃
exp_leg_swordname3	エッジ
exp_leg_swordname4	カッター
exp_leg_swordname5	剣
exp_leg_swordname6	剃刀
exp_leg_swordpropername1	政宗
exp_leg_swordpropername10	ティルヴィング
exp_leg_swordpropername11	ラグナログ
exp_leg_swordpropername2	村正
exp_leg_swordpropername3	エクスカリバー
exp_leg_swordpropername4	カラドボルグ
exp_leg_swordpropername5	フラガラッハ
exp_leg_swordpropername6	バルムング
exp_leg_swordpropername7	ガラティン
exp_leg_swordpropername8	ダーインスレイヴ
exp_leg_swordpropername9	レーヴァテイン
exp_leg_whipname1	ムチ
exp_leg_whipname2	ムチ
exp_leg_whipname3	ヘビ
exp_leg_whipname4	ヘビ
exp_leg_whipname5	ヘビ
exp_leg_whippropername1	チェンス
exp_leg_whippropername2	ドラゴンのウィースカー
exp_leg_whippropername3	ブルンヒルダ
exp_leg_whippropername4	ローズとげ
exp_leg_whippropername5	スレっピナー
exp_log_eatweapon	#cy#^tag1^#ec#が^tag2^を食べてしまった！
exp_log_error_noportal_mysterydungeon	ここでは#cc#ポータル#ec#は使えない！
exp_log_healfountain	#cc#泉#ec#の恩恵により、#cg#ライフ、スタミナ、エナジー#ec#が回復した！
exp_log_mastery_knowitall	これ以上、#cy#私が学べることはないわ#ec#...
exp_log_monster_atefood	#cy#^tag1^#ec#が、#cy#^tag2^#ec#の#cg#^tag3^#ec#を奪って食べた！
exp_log_powerup_absorb	#cy#^tag1^#ec#がアイテムを吸収し、#cg#^tag2^#ec# HPを回復した！
exp_log_readcombatbook	あなたは#cy#戦記#ec#を読み、#cc#^tag1^#ec#個の「筆法」を獲得した！
exp_log_resilientmonster	#cy#^tag1^#ec#はぎりぎりでこらえた！
exp_log_runestone_gone	#cy#^tag1^#ec#が消滅し、あなたは#cg#忘れられし知識#ec#を授かった！
exp_log_shara_floorstocampfire	#cc#キャンプで休める#ec#まで、メインルート上であと#cy#^tag1^#ec#フロア！
exp_log_shara_noportal	#cy#脱出ポータル#ec#の#cr#移動先#cr#がひとつもない...#ec#
exp_log_shieldshatter	^tag1^の#cc#エナジーシールド#ec#が砕け散った！
exp_map_campfire_shara_name	シャラのキャンプ
exp_mapobj_forbiddance_name	禁断のルーン
exp_mapobj_letter_name	手紙
exp_mapobj_oilslick_name	オイル池
exp_mapobj_shadoworb_name	近接オーブ
exp_mapobj_sparks_name	放電
exp_mapobj_watervapor_name	濃霧
exp_minidreamcaster_name	ミニドリームキャスター
exp_misc_bonus	ボーナス！
exp_misc_dominated	支配した
exp_misc_itemupgraded	^tag1^が#cy#強化#ec#されました！
exp_misc_notenoughgold_upgrade	#cy#お金#ec#が#cr#足りない#ec#ため、アイテムを強化できません！
exp_misc_promptlearnskill_fromitem	スキルを学ぶ: #cc#^$getstring:skilltolearn$^#ec#（#cg#^$getstring:itemskilljpcost$^#ec# JP）
