abil_skill_summonvoidcrystal_name	召唤虚空水晶
exp_campaign_select_info_shara	萨拉的心中有一个不平凡的远大目的。她小时候被人遗弃在纷乱深渊的荒野之中，而现在她下定决心，要亲自创造属于自己的未来。\n\n#cr#极具挑战性的冒险#ec#，专为《纷乱深渊》的资深玩家而设！花费职业点数来提升属性，并通过特殊宝箱和活动，从海量#cc#随机#ec#技能中学习。
exp_campaign_select_label_mirai	米莱的故事
exp_campaign_select_label_shara	萨拉的故事
exp_campaign_select_title	<size=60>#cy#你会选择哪一段旅途呢？#ec#</size>\n\n“纷乱深渊呼唤着我，它所深藏的秘密可能会改变世界……”
exp_choose_shara_ability_text	#big##cc#获得新能力#ec##endbig#\n\n你对知识的不懈探索让你解锁了一个新的#cc#能力#ec#。谨慎地选择一个...错过的选项可能永远也看不到了！\n
exp_choose_shara_ability_unique_text	每天我都感觉离目标更近了一步。我对#cc#原能#ec#的掌握更精湛了……\n
exp_damage_down	伤害下降！
exp_dialog_learnskill_fromitem_text	充满能量的石头嗡嗡作响，你感觉自己几乎就要成功发掘被遗忘已久的知识。只要足够专注，你就可以揭示其中的奥秘。
exp_dialog_unlocksharamode_txt	<size=50><color=#40b843>恭喜！</color></size>\n\n你解锁了#cc#萨拉的故事#ec#。这是#cg#纷乱深渊#ec#中单独的冒险，拥有新的故事和独特的玩法。\n\n从现在开始，当你在#cy#任何存档栏#ec#开始新角色时，可以选择这个新战役。\n\n
exp_dualwielder_bonus1	降低双持武器（任意类型）的伤害惩罚。提升迅捷、精神和戒律。
exp_dualwielder_bonus2	你所召唤的卷轴持续时间加倍。
exp_dualwielder_bonus3	卷轴和舞文弄墨对临近敌人造成的伤害+25%。
exp_dualwielder_jobdesc	这位双持武器专家是刀与笔方面的大师。虽然防御较低，但能释放强大的连击技和元素攻击。
exp_energyshield_add	一面#cc#能量护盾#ec#环绕着#cy#^tag1^#ec#！
exp_fisherman_name	神秘流浪者
exp_item_gem8_name	白金
exp_item_gem9_name	钻石
exp_item_runeofknowledge	知识符文
exp_item_runeofknowledge_extradesc	我能感觉到这块石头中刻印着真正的智慧！如果我能充分利用自己所学到的知识来破解这个符文，最后一定会能大有所获。
exp_item_runeofknowledge0_desc	我能感觉到这块石头中刻印着真正的智慧！如果我能充分利用自己所学到的知识来破解这个符文，最后一定会能大有所获。
exp_item_runeofknowledge1_desc	我能感觉到这块石头中刻印着真正的智慧！如果我能充分利用自己所学到的知识来破解这个符文，最后一定会能大有所获。
exp_item_runeofknowledge2_desc	我能感觉到这块石头中刻印着真正的智慧！如果我能充分利用自己所学到的知识来破解这个符文，最后一定会能大有所获。
exp_item_runeofknowledge3_desc	我能感觉到这块石头中刻印着真正的智慧！如果我能充分利用自己所学到的知识来破解这个符文，最后一定会能大有所获。
exp_item_runeofknowledge4_desc	我能感觉到这块石头中刻印着真正的智慧！如果我能充分利用自己所学到的知识来破解这个符文，最后一定会能大有所获。
exp_item_runeofknowledge5_desc	我能感觉到这块石头中刻印着真正的智慧！如果我能充分利用自己所学到的知识来破解这个符文，最后一定会能大有所获。
exp_item_runeofknowledge6_desc	我能感觉到这块石头中刻印着真正的智慧！如果我能充分利用自己所学到的知识来破解这个符文，最后一定会能大有所获。
exp_item_runeofknowledge7_desc	我能感觉到这块石头中刻印着真正的智慧！如果我能充分利用自己所学到的知识来破解这个符文，最后一定会能大有所获。
exp_item_runeofknowledge8_desc	我能感觉到这块石头中刻印着真正的智慧！如果我能充分利用自己所学到的知识来破解这个符文，最后一定会能大有所获。
exp_item_runeofknowledge9_desc	教会一项新#cy#技能#ec#，消耗^number1^职业点数。
exp_item_sharaorb_desc	萨拉走了。我只希望我们能够一起成长；如果她知道我们相遇前我的经历，这一切可能都会不一样吧。拿着这个球，我能感受到在她的生命中野心和绝望一直在驱使着她。我希望我有一天能理解她，我要带着这个去梦境仪！
exp_item_sharaorb_name	萨拉的幻想之球
exp_item_weapon0_name	锈迹斑斑的剑
exp_job_dualwielder	书法家
exp_job_SORCERESS_desc1	你#cr#不能获得经验#ec#。作为替代，你可以用职业点数提升状态。你可以在#cy#潘多拉魔盒s#ec#里找到新技能并学习。
exp_job_SORCERESS_jobdesc	寻找救赎…
exp_jobname_sorceress	女巫
exp_leg_accessoryname1	珠宝
exp_leg_accessoryname10	奇珍
exp_leg_accessoryname11	护身符
exp_leg_accessoryname12	传家宝
exp_leg_accessoryname13	秘藏
exp_leg_accessoryname14	奖励
exp_leg_accessoryname15	凡品
exp_leg_accessoryname16	小玩意
exp_leg_accessoryname17	恩典
exp_leg_accessoryname18	华丽
exp_leg_accessoryname19	幸运
exp_leg_accessoryname2	饰品
exp_leg_accessoryname20	雄伟
exp_leg_accessoryname21	信物
exp_leg_accessoryname3	宝石
exp_leg_accessoryname4	装饰
exp_leg_accessoryname5	纪念
exp_leg_accessoryname6	杰作
exp_leg_accessoryname7	灵符
exp_leg_accessoryname8	奇幻
exp_leg_accessoryname9	奇异
exp_leg_accessorypropername1	阿吉马特
exp_leg_accessorypropername10	翁法洛斯
exp_leg_accessorypropername2	护身宝符
exp_leg_accessorypropername3	山猫石
exp_leg_accessorypropername4	如意宝珠
exp_leg_accessorypropername5	圣石
exp_leg_accessorypropername6	尼迪
exp_leg_accessorypropername7	伊利阿斯特尔
exp_leg_accessorypropername8	阿索斯
exp_leg_accessorypropername9	魔石
exp_leg_armorpropername1	卡瓦恰
exp_leg_armorpropername10	泰坦
exp_leg_armorpropername11	艾德曼合金
exp_leg_armorpropername12	卡尔马尼奥拉
exp_leg_armorpropername13	哈迪斯
exp_leg_armorpropername14	平家
exp_leg_armorpropername2	赫菲斯托斯
exp_leg_armorpropername3	源氏
exp_leg_armorpropername4	麦斯米伦
exp_leg_armorpropername5	军械
exp_leg_armorpropername6	密涅瓦
exp_leg_armorpropername7	提亚玛特
exp_leg_armorpropername8	尼普顿
exp_leg_armorpropername9	朱庇特
exp_leg_axename1	之斧
exp_leg_axename2	切割刃
exp_leg_axename3	劈斧
exp_leg_axename4	短斧
exp_leg_axename5	斩骨斧
exp_leg_axepropername1	双刃斧
exp_leg_axepropername2	双手劈斧
exp_leg_axepropername3	乌弗海登
exp_leg_axepropername4	狂暴
exp_leg_axepropername5	宙斯
exp_leg_axepropername6	阿瑞斯
exp_leg_axepropername7	巨人
exp_leg_bookpropername1	托特
exp_leg_bookpropername10	马萨布尔之书
exp_leg_bookpropername11	多尔甘那斯·伊阿乌
exp_leg_bookpropername12	帕尔马·库鲁伊娜
exp_leg_bookpropername13	矮人之书
exp_leg_bookpropername2	预言者
exp_leg_bookpropername3	纳欧斯基拉
exp_leg_bookpropername4	命运
exp_leg_bookpropername5	奥德赛
exp_leg_bookpropername6	银河
exp_leg_bookpropername7	第五要素
exp_leg_bookpropername8	魔能
exp_leg_bookpropername9	梅林
exp_leg_clawname1	之爪
exp_leg_clawname2	之拳
exp_leg_clawname3	指虎
exp_leg_clawname4	剪刀
exp_leg_clawname5	巨掌
exp_leg_clawname6	利爪
exp_leg_clawpropername1	神之手
exp_leg_clawpropername2	超灵
exp_leg_clawpropername3	壮志
exp_leg_clawpropername4	好战者
exp_leg_clawpropername5	乾坤圈
exp_leg_clawpropername6	乌鲁斯拉格纳
exp_leg_clawpropername7	斯法莱
exp_leg_daggername1	长钉
exp_leg_daggername2	刺叉
exp_leg_daggername3	火钳
exp_leg_daggername4	刺骨刀
exp_leg_daggername5	獠牙
exp_leg_daggername6	倒钩
exp_leg_daggername7	波刃剑
exp_leg_daggername8	匕首
exp_leg_daggername9	小刀
exp_leg_daggerpropername1	卡尔温南
exp_leg_daggerpropername2	水星
exp_leg_daggerpropername3	芬里厄
exp_leg_daggerpropername4	团右卫门
exp_leg_daggerpropername5	拳刃
exp_leg_daggerpropername6	阿修罗
exp_leg_daggerpropername7	午夜
exp_leg_defensename1	保体
exp_leg_defensename10	护套
exp_leg_defensename11	防御
exp_leg_defensename12	守护者
exp_leg_defensename13	捍卫者
exp_leg_defensename14	驻防
exp_leg_defensename15	棱堡
exp_leg_defensename16	城塞
exp_leg_defensename17	城堡
exp_leg_defensename2	守卫
exp_leg_defensename3	神盾
exp_leg_defensename4	堡垒
exp_leg_defensename5	铁壁
exp_leg_defensename6	要塞
exp_leg_defensename7	铜墙
exp_leg_defensename8	保卫
exp_leg_defensename9	避难所
exp_leg_generaldescriptorname1	天国
exp_leg_generaldescriptorname10	神圣
exp_leg_generaldescriptorname11	神秘
exp_leg_generaldescriptorname12	不屈
exp_leg_generaldescriptorname13	万能
exp_leg_generaldescriptorname14	无敌
exp_leg_generaldescriptorname15	不灭
exp_leg_generaldescriptorname16	无尽
exp_leg_generaldescriptorname17	史诗
exp_leg_generaldescriptorname18	英雄
exp_leg_generaldescriptorname19	荣誉
exp_leg_generaldescriptorname2	永恒
exp_leg_generaldescriptorname20	精致
exp_leg_generaldescriptorname21	孤独
exp_leg_generaldescriptorname22	孤寂
exp_leg_generaldescriptorname23	巨大
exp_leg_generaldescriptorname24	绵延
exp_leg_generaldescriptorname25	恐怖
exp_leg_generaldescriptorname26	巨型
exp_leg_generaldescriptorname27	坚定
exp_leg_generaldescriptorname28	难忘
exp_leg_generaldescriptorname29	高深
exp_leg_generaldescriptorname3	光辉
exp_leg_generaldescriptorname30	隐秘
exp_leg_generaldescriptorname31	高深莫测
exp_leg_generaldescriptorname4	无限
exp_leg_generaldescriptorname5	圣洁
exp_leg_generaldescriptorname6	地狱
exp_leg_generaldescriptorname7	永生
exp_leg_generaldescriptorname8	至高
exp_leg_generaldescriptorname9	超凡
exp_leg_genericobjectname1	古物
exp_leg_genericobjectname10	噩梦
exp_leg_genericobjectname11	馈赠
exp_leg_genericobjectname12	传奇
exp_leg_genericobjectname13	旅者
exp_leg_genericobjectname14	命运
exp_leg_genericobjectname15	神秘
exp_leg_genericobjectname16	誓约
exp_leg_genericobjectname17	呼唤
exp_leg_genericobjectname18	精髓
exp_leg_genericobjectname19	决心
exp_leg_genericobjectname2	圣物
exp_leg_genericobjectname20	指令
exp_leg_genericobjectname3	战利品
exp_leg_genericobjectname4	荣誉
exp_leg_genericobjectname5	赐物
exp_leg_genericobjectname6	迷物
exp_leg_genericobjectname7	纪念碑
exp_leg_genericobjectname8	凯旋
exp_leg_genericobjectname9	回忆
exp_leg_genericweaponname1	武备
exp_leg_genericweaponname10	争斗
exp_leg_genericweaponname11	正义
exp_leg_genericweaponname12	裁决者
exp_leg_genericweaponname13	毁灭
exp_leg_genericweaponname14	暴虐
exp_leg_genericweaponname15	嘈杂
exp_leg_genericweaponname2	强袭
exp_leg_genericweaponname3	纷争
exp_leg_genericweaponname4	战争
exp_leg_genericweaponname5	猛袭
exp_leg_genericweaponname6	游击
exp_leg_genericweaponname7	反目
exp_leg_genericweaponname8	哀伤
exp_leg_genericweaponname9	苦难
exp_leg_glovename1	手套
exp_leg_glovename2	护手
exp_leg_glovename3	手铠
exp_leg_glovename4	拳击手套
exp_leg_glovename5	护腕
exp_leg_hammername1	打击之锤
exp_leg_hammername2	碾压之锤
exp_leg_hammername3	冲击之锤
exp_leg_hammername4	锤
exp_leg_hammername5	权杖
exp_leg_hammername6	重击之锤
exp_leg_hammername7	大锤
exp_leg_hammername8	驱动之锤
exp_leg_hammername9	小槌
exp_leg_hammerpropername1	雷神之鎚
exp_leg_hammerpropername2	天雷神斧
exp_leg_hammerpropername3	沙鲁尔
exp_leg_hammerpropername4	放逐
exp_leg_hammerpropername5	驱逐
exp_leg_hammerpropername6	赫拉克勒斯
exp_leg_hammerpropername7	主宰
exp_leg_heavyarmorname1	护甲
exp_leg_heavyarmorname2	板甲
exp_leg_heavyarmorname3	骑士袍
exp_leg_heavyarmorname4	护身锁甲
exp_leg_helmetname1	头盔
exp_leg_helmetname2	头铠
exp_leg_helmetname3	便帽
exp_leg_helmetname4	帽子
exp_leg_helmetname5	王冠
exp_leg_helmetname6	头具
exp_leg_helmetpropername1	塔因头盔
exp_leg_helmetpropername2	歌丝薇特
exp_leg_historicname1	亚雷斯坦
exp_leg_historicname10	编织者
exp_leg_historicname100	雅扎让
exp_leg_historicname101	博迪旺
exp_leg_historicname11	希勒布兰德
exp_leg_historicname12	米凯尔森
exp_leg_historicname13	毛屁孩
exp_leg_historicname14	乌纳兹
exp_leg_historicname15	阿克瑟罕
exp_leg_historicname16	齐塞多
exp_leg_historicname17	奥尔德温
exp_leg_historicname18	克雷纳克
exp_leg_historicname19	沃丁格
exp_leg_historicname2	野火女士
exp_leg_historicname20	迪斯东
exp_leg_historicname21	帕塔舒
exp_leg_historicname22	阿沙巴
exp_leg_historicname23	精粹
exp_leg_historicname24	奥谢拉克
exp_leg_historicname25	奥菲安
exp_leg_historicname26	布罗加
exp_leg_historicname27	佐克
exp_leg_historicname28	赫科雷克
exp_leg_historicname29	阿瓦林
exp_leg_historicname3	巴迪克
exp_leg_historicname30	赛夫兰
exp_leg_historicname31	吉罗苏
exp_leg_historicname32	阿罗文
exp_leg_historicname33	亚歌德
exp_leg_historicname34	文基
exp_leg_historicname35	迪安舍
exp_leg_historicname36	阿古斯
exp_leg_historicname37	卡莱琳娜
exp_leg_historicname38	乌玛缇拉
exp_leg_historicname39	穆肯因
exp_leg_historicname4	杰莫
exp_leg_historicname40	今野
exp_leg_historicname41	泰洛安
exp_leg_historicname42	维多
exp_leg_historicname43	阿兰多
exp_leg_historicname44	布劳德
exp_leg_historicname45	杜莎
exp_leg_historicname46	葛罗恩
exp_leg_historicname47	尔斯科普
exp_leg_historicname48	毛罗格
exp_leg_historicname49	谢普德
exp_leg_historicname5	赞达兹
exp_leg_historicname50	寇玛坎
exp_leg_historicname51	希尔通
exp_leg_historicname52	塔瑟瑞丝
exp_leg_historicname53	多诺凡
exp_leg_historicname54	贾莫斯
exp_leg_historicname55	贾克
exp_leg_historicname56	马哈雷
exp_leg_historicname57	库杰
exp_leg_historicname58	莫鲁克
exp_leg_historicname59	艾德里安
exp_leg_historicname6	达娜
exp_leg_historicname60	安特
exp_leg_historicname61	萨那
exp_leg_historicname62	兔子
exp_leg_historicname63	纳阿
exp_leg_historicname64	海布瑞思
exp_leg_historicname65	帕克拉托斯
exp_leg_historicname66	巴尔布莱尔
exp_leg_historicname67	扎格隆
exp_leg_historicname68	泽雷斯
exp_leg_historicname69	阿努宾斯
exp_leg_historicname7	哨哨
exp_leg_historicname70	菲尼克斯
exp_leg_historicname71	哈斯拉克丝
exp_leg_historicname72	阿尔达罗克
exp_leg_historicname73	巴拉姆
exp_leg_historicname74	帕维尔
exp_leg_historicname75	迪斯丹
exp_leg_historicname76	摩甘
exp_leg_historicname77	铁木沁
exp_leg_historicname78	荣科特斯
exp_leg_historicname79	赫尔绍
exp_leg_historicname8	兰斯
exp_leg_historicname80	埃伦塔兰
exp_leg_historicname81	鲁坦
exp_leg_historicname82	马哈库
exp_leg_historicname83	弗里坎德尔
exp_leg_historicname84	达拉哈利安
exp_leg_historicname85	班莫
exp_leg_historicname86	塔姆里克
exp_leg_historicname87	克莱格米尔
exp_leg_historicname88	泽巴
exp_leg_historicname89	流体
exp_leg_historicname9	里多基洛斯
exp_leg_historicname90	特尔杜恩
exp_leg_historicname91	凯维尔
exp_leg_historicname92	德拉库纳斯
exp_leg_historicname93	墨库莱斯
exp_leg_historicname94	忒尔拉
exp_leg_historicname95	阿塔兰
exp_leg_historicname96	托泽兰
exp_leg_historicname97	法
exp_leg_historicname98	科里亚布
exp_leg_historicname99	纳迪阿斯
exp_leg_instrumentname1	乐曲
exp_leg_instrumentname2	梦幻
exp_leg_instrumentname3	頌歌
exp_leg_instrumentname4	咏叹调
exp_leg_instrumentname5	民谣
exp_leg_instrumentname6	颂歌
exp_leg_instrumentname7	赞美诗
exp_leg_instrumentname8	交响曲
exp_leg_lightarmorname1	长袍
exp_leg_lightarmorname2	长袍
exp_leg_lightarmorname3	衬衫
exp_leg_lightarmorname4	斗篷
exp_leg_lightarmorname5	系带外套
exp_leg_lightarmorname6	外衣
exp_leg_lightarmorname7	装束
exp_leg_magicbookname1	之书
exp_leg_magicbookname2	之卷
exp_leg_magicbookname3	秘典
exp_leg_magicbookname4	图册
exp_leg_magicbookname5	法典
exp_leg_magicbookname6	词典
exp_leg_magicbookname7	魔典
exp_leg_magicbookname8	编年史
exp_leg_magicbookname9	记录
exp_leg_magicname1	法术
exp_leg_magicname2	预言
exp_leg_magicname3	咒语
exp_leg_magicname4	光环
exp_leg_magicname5	诅咒
exp_leg_magicname6	魔法
exp_leg_magicname7	灵符
exp_leg_magicname8	厄咒
exp_leg_magicname9	巫术
exp_leg_mediumarmorname1	锁甲
exp_leg_mediumarmorname2	马甲
exp_leg_mediumarmorname3	夹克
exp_leg_mediumarmorname4	外套
exp_leg_mediumarmorname5	甲胄
exp_leg_mediumarmorname6	革胄
exp_leg_necklacename1	护身符
exp_leg_necklacename2	项链
exp_leg_necklacename3	项圈
exp_leg_necklacename4	项坠
exp_leg_necklacename5	护身符
exp_leg_necklacename6	胸针
exp_leg_personaldescriptorname1	珍爱
exp_leg_personaldescriptorname10	钟爱
exp_leg_personaldescriptorname11	失窃
exp_leg_personaldescriptorname12	挚爱
exp_leg_personaldescriptorname13	遗落
exp_leg_personaldescriptorname14	隐藏
exp_leg_personaldescriptorname15	遗弃
exp_leg_personaldescriptorname16	无价
exp_leg_personaldescriptorname17	绝妙
exp_leg_personaldescriptorname2	宝贵
exp_leg_personaldescriptorname3	传说
exp_leg_personaldescriptorname4	遗忘
exp_leg_personaldescriptorname5	迷失
exp_leg_personaldescriptorname6	著名
exp_leg_personaldescriptorname7	高尚
exp_leg_personaldescriptorname8	荣誉
exp_leg_personaldescriptorname9	可靠
exp_leg_quivername1	箭袋
exp_leg_quivername2	箭矢
exp_leg_quivername3	弹药
exp_leg_quivername4	弩矢
exp_leg_quivername5	挎包
exp_leg_quivername6	背包
exp_leg_rangedpropername1	火蛇
exp_leg_rangedpropername10	布理萨
exp_leg_rangedpropername11	伏尔甘
exp_leg_rangedpropername12	欧律托斯
exp_leg_rangedpropername13	大角星
exp_leg_rangedpropername14	疾风之力
exp_leg_rangedpropername15	仙女座
exp_leg_rangedpropername16	李广之弩
exp_leg_rangedpropername17	雷纳
exp_leg_rangedpropername18	子午线
exp_leg_rangedpropername2	塔斯兰
exp_leg_rangedpropername3	薩吉塔
exp_leg_rangedpropername4	阿斯特拉
exp_leg_rangedpropername5	阿波罗
exp_leg_rangedpropername6	阿尔忒弥斯
exp_leg_rangedpropername7	珀耳修斯
exp_leg_rangedpropername8	与一
exp_leg_rangedpropername9	射手座
exp_leg_rangedweaponname1	炮
exp_leg_rangedweaponname2	弩
exp_leg_rangedweaponname3	和平者
exp_leg_rangedweaponname4	箭
exp_leg_rangedweaponname5	弓
exp_leg_ringname1	指环
exp_leg_ringname2	戒指
exp_leg_ringname3	图章戒指
exp_leg_ringname4	环
exp_leg_ringname5	标志
exp_leg_ringpropername1	护身宝符
exp_leg_ringpropername2	尼伯龙根
exp_leg_ringpropername3	奥丁魔戒
exp_leg_ringpropername4	哈耳摩尼亚
exp_leg_ringpropername5	马顿
exp_leg_ringpropername6	安洁莉卡
exp_leg_shieldpropername1	斯瓦林
exp_leg_shieldpropername10	塞德利茨
exp_leg_shieldpropername11	驱邪仪式
exp_leg_shieldpropername12	天体
exp_leg_shieldpropername13	圣女盾
exp_leg_shieldpropername2	杜邦
exp_leg_shieldpropername3	普利杜恩
exp_leg_shieldpropername4	艾瓦拉克血十字盾
exp_leg_shieldpropername5	珂塔卡
exp_leg_shieldpropername6	贾亚瓦丹
exp_leg_shieldpropername7	十二宫
exp_leg_shieldpropername8	美加利西亚
exp_leg_shieldpropername9	赫斯帕里得斯
exp_leg_spearname1	长矛
exp_leg_spearname2	长枪
exp_leg_spearname3	刺叉
exp_leg_spearname4	长戟
exp_leg_spearname5	飞矛
exp_leg_spearname6	阔头枪
exp_leg_spearname7	阔剑
exp_leg_spearpropername1	冈格尼尔
exp_leg_spearpropername2	朗基奴斯
exp_leg_spearpropername3	迦耶伯格
exp_leg_spearpropername4	御手杵
exp_leg_spearpropername5	蜻蛉切
exp_leg_spearpropername6	二郎神
exp_leg_spearpropername7	威尔
exp_leg_staffname1	长杖
exp_leg_staffname2	杖
exp_leg_staffname3	魔杖
exp_leg_staffname4	权杖
exp_leg_staffname5	手杖
exp_leg_staffname6	棍
exp_leg_staffname7	杆
exp_leg_staffname8	短棍
exp_leg_staffname9	小树枝
exp_leg_staffpropername1	死亡命运
exp_leg_staffpropername2	蛇杖
exp_leg_staffpropername3	加姆班泰因
exp_leg_staffpropername4	常春杖
exp_leg_staffpropername5	阿斯克勒庇俄斯
exp_leg_staffpropername6	审判
exp_leg_staffpropername7	复仇女神
exp_leg_staffpropername8	湼盘净土
exp_leg_swordname1	太刀
exp_leg_swordname2	之刀
exp_leg_swordname3	利刃
exp_leg_swordname4	切割刃
exp_leg_swordname5	之剑
exp_leg_swordname6	利刃
exp_leg_swordpropername1	正宗
exp_leg_swordpropername10	提尔锋
exp_leg_swordpropername11	诸神的黄昏
exp_leg_swordpropername2	村正
exp_leg_swordpropername3	断钢剑
exp_leg_swordpropername4	螺旋剑
exp_leg_swordpropername5	佛拉格拉克
exp_leg_swordpropername6	巴尔蒙
exp_leg_swordpropername7	迦伦提恩
exp_leg_swordpropername8	戴因斯莱夫
exp_leg_swordpropername9	雷万汀
exp_leg_whipname1	长鞭
exp_leg_whipname2	皮鞭
exp_leg_whipname3	盘蛇
exp_leg_whipname4	长蛇
exp_leg_whipname5	毒蛇
exp_leg_whippropername1	尘屠
exp_leg_whippropername2	巨龙之须
exp_leg_whippropername3	布伦希尔德之鞭
exp_leg_whippropername4	玫瑰之荆
exp_leg_whippropername5	八蹄马之鞭
exp_log_eatweapon	#cy#^tag1^#ec#吞噬了你的武器^tag2^！
exp_log_error_noportal_mysterydungeon	你不能在这使用#cc#传送门#ec#！
exp_log_healfountain	#cc#喷泉#ec#回复了你的#cg#生命、体力和能量#ec#！
exp_log_mastery_knowitall	这儿#cy#没有更多值得我所学习的了#ec#……
exp_log_monster_atefood	#cy#^tag1^#ec#带走和吃#cy#^tag2^#ec#的#cg#^tag3^#ec#！
exp_log_powerup_absorb	#cy#^tag1^#ec#吸收了增益物品，恢复#cg#^tag2^#ec#生命值！
exp_log_readcombatbook	你阅读了#cy#战斗传记#ec#，获得了#cc#^tag1^#ec#个笔划！
exp_log_resilientmonster	#cy#^tag1^#ec#剩一丝残血！
exp_log_runestone_gone	#cy#^tag1^#ec#消失了，向你注入了#cg#被遗忘的知识#ec#！
exp_log_shara_floorstocampfire	直到你在#cc#营地休息#ec#之前，#cy#^tag1^#ec#会一直倒在主要道路上！
exp_log_shara_noportal	#cr#这里没有#ec##cy#脱离传送阵#ec##cr#让你逃跑……#ec#
exp_log_shieldshatter	^tag1^'s #cc#能量护盾#ec# 破碎！
exp_map_campfire_shara_name	萨拉营地
exp_mapobj_forbiddance_name	禁忌符文
exp_mapobj_letter_name	信
exp_mapobj_oilslick_name	浮油
exp_mapobj_shadoworb_name	近战法球
exp_mapobj_sparks_name	电火花
exp_mapobj_watervapor_name	朦胧水雾
exp_minidreamcaster_name	迷你梦境仪
exp_misc_bonus	加成！
exp_misc_dominated	支配成功
exp_misc_itemupgraded	你的^tag1^已#cy#升级#ec#！
exp_misc_notenoughgold_upgrade	你#cr#没有足够的#ec##cy#金币#ec#升级该道具！
exp_misc_promptlearnskill_fromitem	学习技能#cc#^$getstring:skilltolearn$^#ec# (#cg#^$getstring:itemskilljpcost$^#ec#职业点数）
exp_misc_repeatbuy	这个技能可以购买多次。
exp_misc_slowed	减速！
exp_mm_brigandboost_desc	^number1^盗贼技能伤害
exp_mm_budokaboost_desc	^number1^武道家技能伤害
exp_mm_budokavalid_desc	它不会影响空手战斗
exp_mm_edgethaneboost_desc	^number1^诗领主技能伤害
exp_mm_floramancerboost_desc	^number1^花巫技能伤害（非召唤物）
exp_mm_gamblerboost_desc	^number1^赌客技能伤害
exp_mm_hunterboost_desc	^number1^猎人技能伤害
exp_mm_husynboost_desc	^number1^符晶师技能伤害
exp_mm_paladinboost_desc	^number1^圣骑士技能伤害
exp_mm_passive_armortraining_desc	身穿重甲时，移动技能造成范围伤害（重甲精通）
exp_mm_passive_bloodtracking_desc	击中时：有^number1^几率进行追踪，提升伤害和视野（血色印记）
exp_mm_passive_fatchance_desc	有^number1^几率在吃食物时无视“饱腹”状态（再来一瓶）
exp_mm_passive_gloriousbattler_desc	击败怪物时增强乐曲并获得充能时间（光辉武者）
exp_mm_passive_hazardsweep_desc	有^number1^几率在踩中障碍格子时自动摧毁障碍（障碍扫荡）
exp_mm_passive_herbforaging_desc	有几率从怪物身上获得治疗草药（觅食）
exp_mm_passive_immunology_desc	有^number1^几率无视减益效果，你的减益效果的持续时间更长（免疫学）
exp_mm_passive_qimastery_desc	暴击时：回复能量（气功精通）
exp_mm_passive_thornedskin_desc	有^number1^几率反弹近战伤害（荆棘之肤）
exp_mm_soulkeeperboost_desc	^number1^魂卫技能伤害（非召唤物）
exp_mm_spellshaperboost_desc	^number1^改造前的塑法师召唤技能伤害
exp_mmod_mm_glide_desc	滑行的冷却时间减少^number1^，可更准确地控制滑行降落格子，不会即时进入冷却刷新。
exp_mmod_mm_inkstorm_desc	以^number2^格范围为代价，舞文弄墨每一击可造成额外^number1^伤害。
exp_mmod_mm_waterscroll_desc	流水卷轴的范围提升^number1^格，但伤害降低^number2^
exp_mon_axewielder_name	强盗重击手
exp_mon_batslime_name	阿科霉
exp_mon_bladefrog_name	布雷徳青蛙
exp_mon_boltspirit_name	霹雳魔
exp_mon_bouldertoad_name	湿地三角蛙
exp_mon_budoka_name	强盗武道家
exp_mon_butterfly_name	蝶皇
exp_mon_chameleon_name	变色蜥蜴
exp_mon_chemist2_name	疯狂天才
exp_mon_chonkfrog_name	塔姆塔姆青蛙
exp_mon_cubeslime_name	方型果冻怪
exp_mon_guardianseeker2_name	守护者海盗
exp_mon_komodon2_name	科摩多巨蜥皇
exp_mon_mimic_name	宝箱怪
exp_mon_minicubeslime_name	迷你方型果冻怪
exp_mon_phasmacannon_name	法斯玛炮
exp_mon_pistolshrimp_name	加农虾
exp_mon_robotmantis_name	机器螳螂
exp_mon_scientist_device_name	未知设备
exp_mon_scientist_summoner_name	英格索尔
exp_mon_shara_finalboss_name	核心守护者
exp_mon_shovelgolem_name	铲子骑士
exp_mon_spiritstag_name	幻鹿
exp_mon_staffbandit_name	强盗棍手
exp_mon_tentacle_name	水下追猎者
exp_mon_toxicslime_name	剧毒史莱姆
exp_mon_venomancer_name	强盗毒法师
exp_mon_xp_heavygolem_name	安全傀儡
exp_mon_xp_powerorbiter_name	守护者卫士
exp_monmaker_banditprefix1	强盗
exp_monmaker_banditprefix2	盗贼
exp_monmaker_banditprefix3	草寇
exp_monmaker_banditprefix4	掠夺者
exp_monmaker_banditprefix5	盗贼
exp_monmaker_banditprefix6	飞鸟
exp_monmaker_banditprefix7	海盗
exp_monmaker_banditsuffix1	侦察兵
exp_monmaker_banditsuffix10	中尉
exp_monmaker_banditsuffix11	军士
exp_monmaker_banditsuffix2	探索兵
exp_monmaker_banditsuffix3	新兵
exp_monmaker_banditsuffix4	瞭望兵
exp_monmaker_banditsuffix5	巡逻兵
exp_monmaker_banditsuffix6	观察手
exp_monmaker_banditsuffix7	游击
exp_monmaker_banditsuffix8	小卒
exp_monmaker_banditsuffix9	新手
exp_monmaker_beastconcatprefix1	警戒
exp_monmaker_beastconcatprefix2	敏锐
exp_monmaker_beastconcatprefix3	利刃
exp_monmaker_beastconcatprefix4	庞大
exp_monmaker_beastconcatprefix5	光滑
exp_monmaker_beastconcatprefix6	刚强
exp_monmaker_beastconcatsuffix1	背
