abil_skill_summonvoidcrystal_name	Leerenkristall beschwören
dialog_shara_preboss2_fight_4	Na endlich, ein Gast mit funktionierendem Verstand. Welch erfrischene Abwechslung.\n\nWillkommen in meiner #cy#Forschungsstation#ec#, nenne mich ruhig #cy#Ingersoll#ec#.\n\nIch bin ein bescheidener Schüler des #cc#Flows#ec#, und um deine unverforene Frage zu beantworten: ja. Ich verstehe das Potential des Flows nur zu gut, und diese wundersame Maschine ist das neueste Ergebnis meiner Forschungen.\n\n
dialog_shara_preboss2_fight_5	Du … hast das mit #cy#Absicht#ec# getan?\n\n
dialog_shara_preboss2_fight_6	Absolut. Die Bedeutung der durch das Experiment erhaltenen Daten ist ein paar #cr#versengte Federn#ec# allemal wert. Und ich werde sie mit dir teilen, denn ich könnte wirklich einen #cy#Assistenten#ec# gebrauchen, der mir hilft, all diese Informationen zu ordnen und vorzubereiten.\n\n
dialog_shara_preboss2_fight_7	#cr#Ich spiele für niemanden die Assistentin#ec#, Ingersoll! Und ich werde nicht zulassen, dass du einem meiner #cy#Flatterjungz#ec# auch noch eine einzige Feder krümmst!\n\n
dialog_shara_preboss2_fight_8	Na gut, dann benutze ich eben Nichtsnutze von einem anderen der Dutzend Banditenbanden da draußen.\n\nIch weiß doch, was in #cg#Tangledeep#ec# vor sich geht. Du bist doch auch nicht bis hierhergekommen, ohne dir die Hände schmutzig zu machen.\n\n
dialog_shara_preboss2_fight_9	Da hast du recht. Ich habe eine #cc#Bestimmung#ec#, und niemand wird mich davon abhalten, diese kaputte Welt zu reparieren. Ich tue, was ich tun muss, aber das heißt nicht, dass du mir dabei nicht behilflich sein könntest. Wenn du dich mir anschließt …\n\n
dialog_shara_preboss2_passage_1	#cc#Bossdame#ec#! Bitte hilf uns! Im Raum dort oben ist so ein Typ, der wo #cy#total durchgeknallt ist#ec#!\n\nEr hat so eine komische Magie und …\n\n
dialog_shara_preboss2_passage_2	Moment, wie hast du mich gerade genannt?\n\n
dialog_shara_preboss2_passage_3	Äh … #cc#Bossdame#ec#, weil du der Boss bist? Und eine Dame? Hör mal, ich nenne dich, wie du willst, solange du uns mit diesem Durchgeknallten hilfst, der einfach so aus dem Nichts furchtbare Kreaturen beschwört!\n\n
dialog_shara_preboss2_passage_4	(Kreaturen #cy#beschwört#ec#? Ob er womöglich Kräfte hat wie ich? Vielleicht sogar ein Verbündeter, der das Gleiche im Sinn hat?\n\nÜber #cg#Tangledeep#ec# wird ein Geheimnis nach dem anderen enthüllt, genau wie ich gehofft hatte! Was könnte …)\n\n
dialog_shara_preboss2_passage_5	Ähm, #cc#Bossdame#ec#? Hallo? Bist du noch da?\n\n
dialog_shara_preboss2_passage_6	Oh! Ja, natürlich. Danke, ihr tapferen Jungz, das war gute Arbeit. Berichtet alles dem Baron. Ich werde der Sache nachgehen.\n\n
dialog_shara_preboss3_part1_1	Was für ein merkwürdiger Ort! Das #cc#Flow#ec# fühlt sich hier so … steril an. Ich hätte nicht erwartet, im Herzen von Tangledeep so viel Metallarbeiten zu finden … #cy#Bestimmt#ec# kommt Ingersolls Maschine von hier.\n\n
dialog_shara_preboss3_part1_10	#cy#NENNE DEINE ABSICHT.#ec#\n\n
dialog_shara_preboss3_part1_11	#cc#Absicht?!?#ec#\n\n
dialog_shara_preboss3_part1_12	Meine #cc#Absicht#ec# ist ganz klar. Schon so lange ich denken kann, werde ich an diesen Ort gerufen, um meine #cy#Kräfte#ec# dazu zu nutzen, diese Welt zu reparieren!\n\n
dialog_shara_preboss3_part1_13	#cy#SHARA_LEBENSFORM, ABSICHT: WIRD FÜR REPARATUREN ZU MONTAGE-EINRICHTUNG GERUFEN. DU WIRST EVALUIERT. BITTE STILLHALTEN.#ec#\n\n
dialog_shara_preboss3_part1_14	#cy#…\n\n……\n\n………#ec#\n\n
dialog_shara_preboss3_part1_15	ÜBEREINSTIMMUNG VON #cy#SHARA_LEBENSFORM MIT REPARATUR-AVATAR: #cr#49 %#cy#\n\nDEINE ABSICHT WURDE ABGELEHNT.\n\n#cr#VERLASSE DIE MONTAGE-EINRICHTUNG UMGEHEND.#ec#\n\n
dialog_shara_preboss3_part1_16	Hierherzukommen, war schon so lange ich denken kann meine Bestimmung, und du sagst mir, dass ich „abgelehnt“ werde?\n\n#cr#Wie kannst du es wagen!#ec#\n\n
dialog_shara_preboss3_part1_17	Wie wäre es mit einem Handel? Ich habe viel über den Wald da unten gelernt und wäre bereit, meine Funde mit dir zu teilen, wenn du bereit wärst, mir mehr über diese #cy#Technologie#ec# zu er…\n\n
dialog_shara_preboss3_part1_18	#cr#SHARA_LEBENSFORM.#ec#\n\n#cy#VERLASSE DIE MONTAGE-EINRICHTUNG UNVERZÜGLICH,#ec# #cr#ODER DU WIRST ENTFERNT WERDEN.\n\n#cr#DIES IST DIE LETZTE WARNUNG.#ec#\n\n
dialog_shara_preboss3_part1_19	Auf #cr#keinen Fall#ec# werde ich gehen!\n\nIch lasse mich von meiner #cc#Bestimmung#ec# nicht abhalten! Diese Welt ist kaputt, die Leute leben in Dunkelheit und Ignoranz, und mit der Technologie, die du vor uns #cy#versteckst#ec#, könnte ich alles wieder reparieren!\n\nDiese Maschine, die Materie aus dem Nichts erschaffen hat, könnte all das #cy#Elend#ec# und all die #cy#Konflikte#ec# über Ressourcen beenden und …\n\n
dialog_shara_preboss3_part1_2	Ja, endlich! #cc#Flow#ec# strömt durch diese Maschine genau wie durch die von #cy#Ingersoll#ec# – aber wer kontrolliert sie bloß?\n\nMoment, die #cy#Energie#ec# baut sich auf!\n\n
dialog_shara_preboss3_part1_20	#cr#SHARA_LEBENSFORM. BEREITE DICH AUF PERMANENTE ABSCHALTUNG UND DEMONTAGE VOR.#ec#\n\n
dialog_shara_preboss3_part1_21	#cr#DU. WIRST. MICH. NICHT AUFHALTEN!#ec#\n\n
dialog_shara_preboss3_part1_3	Was … war das bloß?\n\n
dialog_shara_preboss3_part1_4	Hat die Maschine etwa gerade #cy#Materie#ec# aus dem Nichts erschaffen? Das ist nicht … also es #cy#sollte#ec# nicht möglich sein …\n\nIch muss #cy#sofort#ec# herausfinden, wer die Maschine kontrolliert, und mit ihm ein Wörtchen wechseln.\n\n
dialog_shara_preboss3_part1_5	#cr#EINDRINGLING. EINDRINGLING.#ec#\n\n#cy#HALT. KEIN WEITERES FORTSCHREITEN. NENNE DEINEN NAMEN.#ec#\n\n
dialog_shara_preboss3_part1_6	Diese magsichen Rüstungen können #cy#sprechen#ec#?\n\n
dialog_shara_preboss3_part1_7	Ist da etwa … jemand drin? So jemand müsste schon wirklich sehr klein sein …\n\n
dialog_shara_preboss3_part1_8	#cr#NENNE DEINEN NAMEN.#ec#\n\n
dialog_shara_preboss3_part1_9	Also gut.\n\nHallo, sprechende Rüstung. Mein Name ist Shara. Schön, dich kennenzulernen?\n\n
dialog_waypoint_unlocked_text_shara	#big##cg#Wegpunkt freigeschaltet!#ec##endbig#\n\nDu kannst nun von #cc#Sharas Lager#ec# zu folgendem Ort #cy#blitzreisen#ec#: #cy#^$getstring:fasttravel_destination$^#ec#.\n\nAußerdem kannst du in einem sicheren Seitenbereich dein ^tag5^ verwenden.\n\n
exp_armormaster_statue_name	Statue des Rüstungsmeisters
exp_armormaster_statue_text	Das ist die Statue eines #cy#mächtigen Beschützers#ec#, ein Meister jeder Rüstungs- und Schildart.\n\nEine wohlwollende Aura umgibt das #cc#Flow#ec# hier. Es scheint fast, als ob er mir ein #cg#Fragment seines Wissens#ec# schenken möchte.\n\nSoll ich hier meditieren?\n
exp_bomb_minibombs_desc	Diese Dinger sind so klein und fast zu putzig, um sie zu werfen …
exp_bomb_minibombs_effectdesc	Sprengt einen kleinen Bereich mit Mini-Explosionen, welche physischen Schaden in Höhe von ^number1^ der aktuellen Gesundheit zufügen.
exp_bomb_minibombs_name	Bömbchen
exp_bomb_oildrum_desc	Ob sich der ganze Aufwand wohl lohnt, wenn man erst mal weiß, wo man das Teil hinwerfen soll …?
exp_bomb_oildrum_effectdesc	Erzeugt eine Öllache, die ^number1^ Zg. anhält. Monster, die ins Öl geraten, nehmen ^number2^ Giftschaden, und Feuereffekte entfachen ein Feuer (^number3^ Schaden pro Zug).
exp_bomb_oildrum_name	Ölfass
exp_campaign_select_info_mirai	Mirai lässt sich von großer Neugierde führen. Sie beginnt ihre Reise in Windbach, in einer Gruppe farbenfroher Charaktere, um die Mysterien von Tangledeep zu ergründen.\n\nTangledeeps Hauptgeschichte, #cc#für Spieler aller Fähigkeitsstufen#ec#. Stufe dich durch Erfahrung hoch und verdiene in einzigartigen Jobs wertvolle Jobpunkte (JP), mit denen du dir neue Fähigkeiten aneignen kannst.
exp_campaign_select_info_shara	Shara fühlt sich zu einer wichtigen Bestimmung berufen. Als Kind in der rauen Wildnis ausgesetzt beschließt sie, ihren eigenen Weg zu gehen.\n\nEin #cr#anspruchsvolles Abenteuer#ec# für Tangledeep-Veteranen! Erhöhe deine Werte durch JP, und lerne durch besondere Truhen und Ereignisse #cc#zufällig#ec# auserwählte Fähigkeiten.
exp_campaign_select_label_mirai	Mirais Geschichte
exp_campaign_select_label_shara	Sharas Geschichte
exp_campaign_select_title	<size=60>#cy#Welche Reise wird deine werden?#ec#</size>\n\n„Tangledeep ruft nach mir, und all die dort verborgenen Geheimnisse könnten die Welt verändern …“
exp_choose_shara_ability_text	#big##cc#Lerne eine neue Fähigkeit#ec##endbig#\n\nDein Wissensdurst hat eine neue #cc#Fähigkeit#ec# freigeschaltet. Wähle eine, und wähle mit Bedacht … denn die andere Option könnte sich dir nie wieder anbieten!\n
exp_choose_shara_ability_unique_text	Mit jedem Tag, der vergeht, fühle ich mich meinem Ziel einen Schritt näher. Das #cc#Flow#ec# beherrsche ich immer besser …\n
exp_damage_down	SCHADEN GESENKT!
exp_dialog_learnskill_fromitem_text	Der Stein surrt mit Energie, und du fühlst dich, als ob du kurz davor stehst, längst vergessenes Wissen wiederzuentdecken. Wenn du dich richtig konzentrierst, könntest du das darin wohnende Geheimnis lüften.
exp_dialog_unlocksharamode_txt	<size=50><color=#40b843>GLÜCKWUNSCH!</color></size>\n\nDu hast #cc#Sharas Geschichte#ec# freigeschaltet. Das ist ein eigenständiges Abenteuer durch #cg#Tangledeep#ec#, mit eigener Geschichte und Gameplay.\n\nVon nun an kannst du diese neue Kampagne wählen, wenn du mit einem neuen Charakter #cy#in einem beliebigen Speicherplatz#ec# spielst.\n\n
exp_dualwielder_bonus1	Ermäßigte Strafen für gleichzeitiges Verwenden von zwei Waffen, egal welchen Waffentyps. Energie, Gemüt und Disziplin erhöht.
exp_dualwielder_bonus2	Die Dauer deiner Schriftrollenbeschwörungen wird verdoppelt.
exp_dualwielder_bonus3	Schriftrollen und Tintensturm fügen benachbarten Gegnern +25 % Schaden zu.
exp_dualwielder_jobdesc	Diese Zweihandspezialistin beherrscht sowohl Schwert als auch Feder und verzichtet auf eine solide Abwehr, um sich ganz ihren mächtigen Kombos und Elementarangriffen hinzugeben.
exp_energyshield_add	#cy#^tag1^#ec# wird von einem #cc#Energieschild#ec# umgeben!
exp_fisherman_name	Mysteriöser Wanderer:
exp_item_gem8_name	Platin
exp_item_gem9_name	Diamant
exp_item_runeofknowledge	Weisheitsrune
exp_item_runeofknowledge0_desc	In diesem Stein steckt eine tiefe Weisheit, das kann ich eindeutig spüren! Wenn ich alles Gelernte anwende, um diese Rune zu entziffern, wird sich das bestimmt lohnen.
exp_item_runeofknowledge1_desc	In diesem Stein steckt eine tiefe Weisheit, das kann ich eindeutig spüren! Wenn ich alles Gelernte anwende, um diese Rune zu entziffern, wird sich das bestimmt lohnen.
exp_item_runeofknowledge2_desc	In diesem Stein steckt eine tiefe Weisheit, das kann ich eindeutig spüren! Wenn ich alles Gelernte anwende, um diese Rune zu entziffern, wird sich das bestimmt lohnen.
exp_item_runeofknowledge3_desc	In diesem Stein steckt eine tiefe Weisheit, das kann ich eindeutig spüren! Wenn ich alles Gelernte anwende, um diese Rune zu entziffern, wird sich das bestimmt lohnen.
exp_item_runeofknowledge4_desc	In diesem Stein steckt eine tiefe Weisheit, das kann ich eindeutig spüren! Wenn ich alles Gelernte anwende, um diese Rune zu entziffern, wird sich das bestimmt lohnen.
exp_item_runeofknowledge5_desc	In diesem Stein steckt eine tiefe Weisheit, das kann ich eindeutig spüren! Wenn ich alles Gelernte anwende, um diese Rune zu entziffern, wird sich das bestimmt lohnen.
exp_item_runeofknowledge6_desc	In diesem Stein steckt eine tiefe Weisheit, das kann ich eindeutig spüren! Wenn ich alles Gelernte anwende, um diese Rune zu entziffern, wird sich das bestimmt lohnen.
exp_item_runeofknowledge7_desc	In diesem Stein steckt eine tiefe Weisheit, das kann ich eindeutig spüren! Wenn ich alles Gelernte anwende, um diese Rune zu entziffern, wird sich das bestimmt lohnen.
exp_item_runeofknowledge8_desc	In diesem Stein steckt eine tiefe Weisheit, das kann ich eindeutig spüren! Wenn ich alles Gelernte anwende, um diese Rune zu entziffern, wird sich das bestimmt lohnen.
exp_item_runeofknowledge9_desc	In diesem Stein steckt eine tiefe Weisheit, das kann ich eindeutig spüren! Wenn ich alles Gelernte anwende, um diese Rune zu entziffern, wird sich das bestimmt lohnen.
exp_item_runeofknowledge_extradesc	Bringt dir eine neue #cy#Fähigkeit#ec# bei, zum Preis von ^number1^ JP.
exp_item_sharaorb_desc	Shara ist weg. Ich wünschte wirklich, wir wären zusammen aufgewachsen. Wenn sie bloß wüsste, wie mein Leben vor ihr ausgesehen hat … Ja vielleicht wären die Dinge ganz anders gelaufen. Wenn ich diesen Orb in den Händen halte, spüre ich die Ambitionen und Sehnsüchte, die sie zur ihrer Lebzeit angetrieben haben. Wenn ich auch nur hoffen will, sie jemals wirklich zu verstehen, muss ich ihn zum Traumgießer bringen!
exp_item_sharaorb_name	Sharas Träumereiorb
exp_item_weapon0_name	Rostiges Schwert
exp_job_dualwielder	Kalligrafin
exp_job_SORCERESS_desc1	Du #cr#erhältst keine Erfahrung#ec#. Stattdessen verbesserst du deine Werte, indem du JP ausgibst. Neue Fähigkeiten lernst du, wenn du sie in #cy#Büchsen der Pandora#ec# findest.
exp_job_SORCERESS_jobdesc	Seeking redemption...
exp_jobname_sorceress	Drude
exp_leg_accessoryname1	Juwel
exp_leg_accessoryname10	Kuriosum
exp_leg_accessoryname11	Talisman
exp_leg_accessoryname12	Erbstück
exp_leg_accessoryname13	Entdeckung
exp_leg_accessoryname14	Auszeichnung
exp_leg_accessoryname15	Schnickschnack
exp_leg_accessoryname16	Tand
exp_leg_accessoryname17	Anmut
exp_leg_accessoryname18	Glamour
exp_leg_accessoryname19	Fortuna
exp_leg_accessoryname2	Schmuckstück
exp_leg_accessoryname20	Hoheit
exp_leg_accessoryname21	Erinnerung
exp_leg_accessoryname3	Stein
exp_leg_accessoryname4	Ornament
exp_leg_accessoryname5	Andenken
exp_leg_accessoryname6	Prachtstück
exp_leg_accessoryname7	Amulett
exp_leg_accessoryname8	Wunder
exp_leg_accessoryname9	Eigenartigkeit
exp_leg_accessorypropername1	Agimat
exp_leg_accessorypropername10	Omphalos
exp_leg_accessorypropername2	Sviagris
exp_leg_accessorypropername3	Lyngurium
exp_leg_accessorypropername4	Cintamani
exp_leg_accessorypropername5	Baetylus
exp_leg_accessorypropername6	Nidhi
exp_leg_accessorypropername7	Yliaster
exp_leg_accessorypropername8	Azoth
exp_leg_accessorypropername9	Materia
exp_leg_armorpropername1	Kavacha
exp_leg_armorpropername10	Titan
exp_leg_armorpropername11	Adamantium
exp_leg_armorpropername12	Carmagnole
exp_leg_armorpropername13	Hades
exp_leg_armorpropername14	Heike
exp_leg_armorpropername2	Hephaestus
exp_leg_armorpropername3	Genji
exp_leg_armorpropername4	Maximillian
exp_leg_armorpropername5	Armatura
exp_leg_armorpropername6	Minerva
exp_leg_armorpropername7	Tiamat
exp_leg_armorpropername8	Neptun
exp_leg_armorpropername9	Jupiter
exp_leg_axename1	Axt
exp_leg_axename2	Hacker
exp_leg_axename3	Spalter
exp_leg_axename4	Beil
exp_leg_axename5	Hackbeil
exp_leg_axepropername1	Labrys
exp_leg_axepropername2	Parashu
exp_leg_axepropername3	Ulfhedinn
exp_leg_axepropername4	Rampage
exp_leg_axepropername5	Zeus
exp_leg_axepropername6	Ares
exp_leg_axepropername7	Colossus
exp_leg_bookpropername1	Thoth
exp_leg_bookpropername10	Mazarbul
exp_leg_bookpropername11	Dorgannas Iaur
exp_leg_bookpropername12	Parma Culuina
exp_leg_bookpropername13	Quentale Ardanomion
exp_leg_bookpropername2	Sibylline
exp_leg_bookpropername3	Rauoskinna
exp_leg_bookpropername4	Destiny
exp_leg_bookpropername5	Odyssee
exp_leg_bookpropername6	Galactica
exp_leg_bookpropername7	Quintessenz
exp_leg_bookpropername8	Magicka
exp_leg_bookpropername9	Merlinus
exp_leg_clawname1	Klaue
exp_leg_clawname2	Faust
exp_leg_clawname3	Schlagring
exp_leg_clawname4	Schere
exp_leg_clawname5	Tatze
exp_leg_clawname6	Kralle
exp_leg_clawpropername1	Gotteshand
exp_leg_clawpropername2	Oversoul
exp_leg_clawpropername3	Ehrgeiz
exp_leg_clawpropername4	Warmonger
exp_leg_clawpropername5	Kenkonken
exp_leg_clawpropername6	Verethragna
exp_leg_clawpropername7	Spharai
exp_leg_daggername1	Zacke
exp_leg_daggername2	Spieß
exp_leg_daggername3	Piekser
exp_leg_daggername4	Stocher
exp_leg_daggername5	Reißzahn
exp_leg_daggername6	Stachel
exp_leg_daggername7	Spitze
exp_leg_daggername8	Dolch
exp_leg_daggername9	Messer
exp_leg_daggerpropername1	Carnwennan
exp_leg_daggerpropername2	Merkur
exp_leg_daggerpropername3	Fenrir
exp_leg_daggerpropername4	Danjuro
exp_leg_daggerpropername5	Jamadhar
exp_leg_daggerpropername6	Asura
exp_leg_daggerpropername7	Midnacht
exp_leg_defensename1	Schutz
exp_leg_defensename10	Schutzschicht
exp_leg_defensename11	Abwehr
exp_leg_defensename12	Wächter
exp_leg_defensename13	Verteidiger
exp_leg_defensename14	Garnison
exp_leg_defensename15	Schanze
exp_leg_defensename16	Fort
exp_leg_defensename17	Schloss
exp_leg_defensename2	Behütung
exp_leg_defensename3	Ägide
exp_leg_defensename4	Bastion
exp_leg_defensename5	Bollwerk
exp_leg_defensename6	Festung
exp_leg_defensename7	Mauer
exp_leg_defensename8	Aufsicht
exp_leg_defensename9	Herberge
exp_leg_generaldescriptorname1	(himmlisch)
exp_leg_generaldescriptorname10	(geheiligt)
exp_leg_generaldescriptorname11	(mystisch)
exp_leg_generaldescriptorname12	(unbezwingbar)
exp_leg_generaldescriptorname13	(allmächtig)
exp_leg_generaldescriptorname14	(unbesiegbar)
exp_leg_generaldescriptorname15	(unverwüstbar)
exp_leg_generaldescriptorname16	(endlos)
exp_leg_generaldescriptorname17	(episch)
exp_leg_generaldescriptorname18	(heroisch)
exp_leg_generaldescriptorname19	(gehuldigt)
exp_leg_generaldescriptorname2	(ewig)
exp_leg_generaldescriptorname20	(exquisit)
exp_leg_generaldescriptorname21	(einsam)
exp_leg_generaldescriptorname22	(trist)
exp_leg_generaldescriptorname23	(gewaltig)
exp_leg_generaldescriptorname24	(standhaft)
exp_leg_generaldescriptorname25	(gefürchtet)
exp_leg_generaldescriptorname26	(kolossal)
exp_leg_generaldescriptorname27	(unerschütterlich)
exp_leg_generaldescriptorname28	(unvergesslich)
exp_leg_generaldescriptorname29	(abgründig)
exp_leg_generaldescriptorname3	(prächtig)
exp_leg_generaldescriptorname30	(kryptisch)
exp_leg_generaldescriptorname31	(rätselhaft)
exp_leg_generaldescriptorname4	(unendlich)
exp_leg_generaldescriptorname5	(gesegnet)
exp_leg_generaldescriptorname6	(verdammt)
exp_leg_generaldescriptorname7	(unsterblich)
exp_leg_generaldescriptorname8	(erstklassig)
exp_leg_generaldescriptorname9	(überragend)
exp_leg_genericobjectname1	Artefakt
exp_leg_genericobjectname10	Alptraum
exp_leg_genericobjectname11	Gabe
exp_leg_genericobjectname12	Vermächtnis
exp_leg_genericobjectname13	Odyssee
exp_leg_genericobjectname14	Schicksal
exp_leg_genericobjectname15	Mysterium
exp_leg_genericobjectname16	Eid
exp_leg_genericobjectname17	Berufung
exp_leg_genericobjectname18	Essenz
exp_leg_genericobjectname19	Entschluss
exp_leg_genericobjectname2	Relikt
exp_leg_genericobjectname20	Geheiß
exp_leg_genericobjectname3	Trophäe
exp_leg_genericobjectname4	Würdigung
exp_leg_genericobjectname5	Errungenschaft
exp_leg_genericobjectname6	Enigma
exp_leg_genericobjectname7	Monument
exp_leg_genericobjectname8	Triumph
exp_leg_genericobjectname9	Gedenken
exp_leg_genericweaponname1	Armamenta
exp_leg_genericweaponname10	Händel
exp_leg_genericweaponname11	Redlichkeit
exp_leg_genericweaponname12	Machtwort
exp_leg_genericweaponname13	Verhängnis
exp_leg_genericweaponname14	Verwüstung
exp_leg_genericweaponname15	Zwietracht
exp_leg_genericweaponname2	Sturmlauf
exp_leg_genericweaponname3	Konflikt
exp_leg_genericweaponname4	Fehde
exp_leg_genericweaponname5	Ansturm
exp_leg_genericweaponname6	Konfrontation
exp_leg_genericweaponname7	Zwist
exp_leg_genericweaponname8	Gram
exp_leg_genericweaponname9	Pein
exp_leg_glovename1	Handschuh
exp_leg_glovename2	Stulpe
exp_leg_glovename3	Hand
exp_leg_glovename4	Faust
exp_leg_glovename5	Armschiene
exp_leg_hammername1	Knochenbrecher
exp_leg_hammername2	Brecher
exp_leg_hammername3	Zerhauer
exp_leg_hammername4	Hammer
exp_leg_hammername5	Keule
exp_leg_hammername6	Hauer
exp_leg_hammername7	Zuschläger
exp_leg_hammername8	Verdrescher
exp_leg_hammername9	Klopfer
exp_leg_hammerpropername1	Mjolnir
exp_leg_hammerpropername2	Ukonvasara
exp_leg_hammerpropername3	Sharur
exp_leg_hammerpropername4	Yagrush
exp_leg_hammerpropername5	Ayamur
exp_leg_hammerpropername6	Herkules
exp_leg_hammerpropername7	Juggernaut
exp_leg_heavyarmorname1	Lederanzug
exp_leg_heavyarmorname2	Panzer
exp_leg_heavyarmorname3	Tappert
exp_leg_heavyarmorname4	Kettenrüstung
exp_leg_helmetname1	Helm
exp_leg_helmetname2	Haube
exp_leg_helmetname3	Kappe
exp_leg_helmetname4	Hut
exp_leg_helmetname5	Krone
exp_leg_helmetname6	Haupt
exp_leg_helmetpropername1	Tarnhelm
exp_leg_helmetpropername2	Goswhit
exp_leg_historicname1	Alestanes
exp_leg_historicname10	Wendolins
exp_leg_historicname100	Jazarams
exp_leg_historicname101	Bradywans
exp_leg_historicname11	Hillebrands
exp_leg_historicname12	Mikaelsons
exp_leg_historicname13	Moppets
exp_leg_historicname14	Unaz’
exp_leg_historicname15	Axehans
exp_leg_historicname16	Chaseidors
exp_leg_historicname17	Alderwyns
exp_leg_historicname18	Kreinaks
exp_leg_historicname19	Wardingrovs
exp_leg_historicname2	Lady Wildfire’s
exp_leg_historicname20	Disdonns
exp_leg_historicname21	Patashus
exp_leg_historicname22	Ashabas
exp_leg_historicname23	Seizuis
exp_leg_historicname24	Orshelacks
exp_leg_historicname25	Orpheans
exp_leg_historicname26	Brogas
exp_leg_historicname27	Zoks
exp_leg_historicname28	Hekoreks
exp_leg_historicname29	Avarinnes
exp_leg_historicname3	Bardics
exp_leg_historicname30	Cyflans
exp_leg_historicname31	Jirosus
exp_leg_historicname32	Arovins
exp_leg_historicname33	Yargoths
exp_leg_historicname34	Wingis
exp_leg_historicname35	Deanshers
exp_leg_historicname36	Argus’
exp_leg_historicname37	Kalleinas
exp_leg_historicname38	Umatillas
exp_leg_historicname39	Mukenins
exp_leg_historicname4	Jaemos
exp_leg_historicname40	Imanos
exp_leg_historicname41	Tailorians
exp_leg_historicname42	Veedors
exp_leg_historicname43	Arendors
exp_leg_historicname44	Braudes
exp_leg_historicname45	Duathas
exp_leg_historicname46	Gralmaers
exp_leg_historicname47	Irskeps
exp_leg_historicname48	Maurogs
exp_leg_historicname49	Shepards
exp_leg_historicname5	Xandaz’
exp_leg_historicname50	Koumakans
exp_leg_historicname51	Siltons
exp_leg_historicname52	Talcerases
exp_leg_historicname53	Donovans
exp_leg_historicname54	Jamous’
exp_leg_historicname55	Jaychs
exp_leg_historicname56	Mahares
exp_leg_historicname57	Khuujs
exp_leg_historicname58	Molloks
exp_leg_historicname59	Aedriams
exp_leg_historicname6	Danas
exp_leg_historicname60	Antors
exp_leg_historicname61	Sanas
exp_leg_historicname62	Usagis
exp_leg_historicname63	Naars
exp_leg_historicname64	Hybrys’
exp_leg_historicname65	Pakratos’
exp_leg_historicname66	Balblairs
exp_leg_historicname67	Zagerons
exp_leg_historicname68	Zereths
exp_leg_historicname69	Anubins’
exp_leg_historicname7	Braedans
exp_leg_historicname70	Fenix’
exp_leg_historicname71	Halthrax’
exp_leg_historicname72	Aldarocs
exp_leg_historicname73	Barams
exp_leg_historicname74	Pavels
exp_leg_historicname75	Disdanes’
exp_leg_historicname76	Mogans
exp_leg_historicname77	Temuchins
exp_leg_historicname78	Ronkoteous’
exp_leg_historicname79	Hershos
exp_leg_historicname8	Rollos
exp_leg_historicname80	Eruntalans
exp_leg_historicname81	Erutans
exp_leg_historicname82	Mahakus
exp_leg_historicname83	Frikandels
exp_leg_historicname84	Darahalians
exp_leg_historicname85	Bahnmors
exp_leg_historicname86	Tamricks
exp_leg_historicname87	Clegmirs
exp_leg_historicname88	Zebas
exp_leg_historicname89	Ryuutais
exp_leg_historicname9	Ridokilos’
exp_leg_historicname90	Teldurns
exp_leg_historicname91	Kerviels
exp_leg_historicname92	Draconus’
exp_leg_historicname93	Merkules’
exp_leg_historicname94	Theylas
exp_leg_historicname95	Ataruns
exp_leg_historicname96	Torzelans
exp_leg_historicname97	Phaes
exp_leg_historicname98	Kriyabs
exp_leg_historicname99	Nathias’
exp_leg_instrumentname1	Lied
exp_leg_instrumentname2	Song
exp_leg_instrumentname3	Lobgesang
exp_leg_instrumentname4	Arie
exp_leg_instrumentname5	Ballade
exp_leg_instrumentname6	Hymne
exp_leg_instrumentname7	Choral
exp_leg_instrumentname8	Symphonie
exp_leg_lightarmorname1	Gewand
exp_leg_lightarmorname2	Robe
exp_leg_lightarmorname3	Hemd
exp_leg_lightarmorname4	Umhang
exp_leg_lightarmorname5	Überwurf
exp_leg_lightarmorname6	Tunika
exp_leg_lightarmorname7	Tracht
exp_leg_magicbookname1	Schinken
exp_leg_magicbookname2	Wälzer
exp_leg_magicbookname3	Wörterbuch
exp_leg_magicbookname4	Atlas
exp_leg_magicbookname5	Kodex
exp_leg_magicbookname6	Lexikon
exp_leg_magicbookname7	Grimoire
exp_leg_magicbookname8	Chronik
exp_leg_magicbookname9	Aufzeichnung
exp_leg_magicname1	Hexenhand
exp_leg_magicname2	Prophezeiung
exp_leg_magicname3	Bann
exp_leg_magicname4	Aura
exp_leg_magicname5	Fluch
exp_leg_magicname6	Zauber
exp_leg_magicname7	Hexerei
exp_leg_magicname8	Verzauberung
exp_leg_magicname9	Magie
exp_leg_mediumarmorname1	Kettenhemd
exp_leg_mediumarmorname2	Weste
exp_leg_mediumarmorname3	Jacke
exp_leg_mediumarmorname4	Mantel
exp_leg_mediumarmorname5	Harnisch
exp_leg_mediumarmorname6	Anzug
exp_leg_necklacename1	Amulett
exp_leg_necklacename2	Kette
exp_leg_necklacename3	Halsreif
exp_leg_necklacename4	Anhänger
exp_leg_necklacename5	Talisman
exp_leg_necklacename6	Kropfband
exp_leg_personaldescriptorname1	(wertgeschätzt)
exp_leg_personaldescriptorname10	(geliebt)
exp_leg_personaldescriptorname11	(gestohlen)
exp_leg_personaldescriptorname12	(traut)
exp_leg_personaldescriptorname13	(wiedergefunden)
exp_leg_personaldescriptorname14	(versteckt)
exp_leg_personaldescriptorname15	(zurückgelassen)
